 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2001
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1451
"110002 ARIQUEMES";4236
"110003 CABIXI";407
"110004 CACOAL";4065
"110005 CEREJEIRAS";965
"110006 COLORADO DO OESTE";1237
"110007 CORUMBIARA";540
"110008 COSTA MARQUES";495
"110009 ESPIGAO D'OESTE";1495
"110010 GUAJARA-MIRIM";2190
"110011 JARU";3190
"110012 JI-PARANA";6180
"110013 MACHADINHO D'OESTE";1316
"110014 NOVA BRASILANDIA D'OESTE";1056
"110015 OURO PRETO DO OESTE";2324
"110018 PIMENTA BUENO";1769
"110020 PORTO VELHO";19681
"110025 PRESIDENTE MEDICI";1520
"110026 RIO CRESPO";151
"110028 ROLIM DE MOURA";2675
"110029 SANTA LUZIA D'OESTE";616
"110030 VILHENA";3100
"110032 SAO MIGUEL DO GUAPORE";1187
"110033 NOVA MAMORE";942
"110034 ALVORADA D'OESTE";1118
"110037 ALTO ALEGRE DOS PARECIS";655
"110040 ALTO PARAISO";704
"110045 BURITIS";1551
"110050 NOVO HORIZONTE DO OESTE";661
"110060 CACAULANDIA";282
"110070 CAMPO NOVO DE RONDONIA";622
"110080 CANDEIAS DO JAMARI";731
"110090 CASTANHEIRAS";197
"110092 CHUPINGUAIA";300
"110094 CUJUBIM";391
"110100 GOVERNADOR JORGE TEIXEIRA";723
"110110 ITAPUA DO OESTE";364
"110120 MINISTRO ANDREAZZA";630
"110130 MIRANTE DA SERRA";716
"110140 MONTE NEGRO";689
"110143 NOVA UNIAO";468
"110145 PARECIS";197
"110146 PIMENTEIRAS DO OESTE";117
"110147 PRIMAVERA DE RONDONIA";203
"110148 SAO FELIPE D'OESTE";401
"110149 SAO FRANCISCO DO GUAPORE";636
"110150 SERINGUEIRAS";612
"110155 TEIXEIROPOLIS";277
"110160 THEOBROMA";623
"110170 URUPA";874
"110175 VALE DO ANARI";409
"110180 VALE DO PARAISO";531
"120001 ACRELANDIA";495
"120005 ASSIS BRASIL";268
"120010 BRASILEIA";921
"120013 BUJARI";340
"120017 CAPIXABA";247
"120020 CRUZEIRO DO SUL";4605
"120025 EPITACIOLANDIA";664
"120030 FEIJO";1846
"120032 JORDAO";245
"120033 MANCIO LIMA";691
"120034 MANOEL URBANO";388
"120035 MARECHAL THAUMATURGO";489
"120038 PLACIDO DE CASTRO";839
"120039 PORTO WALTER";351
"120040 RIO BRANCO";15687
"120042 RODRIGUES ALVES";529
"120043 SANTA ROSA DO PURUS";135
"120045 SENADOR GUIOMARD";966
"120050 SENA MADUREIRA";1780
"120060 TARAUACA";1652
"120070 XAPURI";687
"120080 PORTO ACRE";559
"130002 ALVARAES";702
"130006 AMATURA";422
"130008 ANAMA";407
"130010 ANORI";670
"130014 APUI";777
"130020 ATALAIA DO NORTE";589
"130030 AUTAZES";1397
"130040 BARCELOS";1400
"130050 BARREIRINHA";1233
"130060 BENJAMIN CONSTANT";1462
"130063 BERURI";678
"130068 BOA VISTA DO RAMOS";607
"130070 BOCA DO ACRE";1569
"130080 BORBA";1686
"130083 CAAPIRANGA";518
"130090 CANUTAMA";704
"130100 CARAUARI";1386
"130110 CAREIRO";1675
"130115 CAREIRO DA VARZEA";951
"130120 COARI";4127
"130130 CODAJAS";1079
"130140 EIRUNEPE";1577
"130150 ENVIRA";812
"130160 FONTE BOA";1695
"130165 GUAJARA";660
"130170 HUMAITA";2017
"130180 IPIXUNA";879
"130185 IRANDUBA";1971
"130190 ITACOATIARA";4400
"130195 ITAMARATI";518
"130200 ITAPIRANGA";441
"130210 JAPURA";747
"130220 JURUA";418
"130230 JUTAI";1231
"130240 LABREA";1745
"130250 MANACAPURU";4514
"130255 MANAQUIRI";770
"130260 MANAUS";85360
"130270 MANICORE";2257
"130280 MARAA";1034
"130290 MAUES";2263
"130300 NHAMUNDA";907
"130310 NOVA OLINDA DO NORTE";1401
"130320 NOVO AIRAO";615
"130330 NOVO ARIPUANA";1030
"130340 PARINTINS";5663
"130350 PAUINI";1123
"130353 PRESIDENTE FIGUEIREDO";952
"130356 RIO PRETO DA EVA";1062
"130360 SANTA ISABEL DO RIO NEGRO";606
"130370 SANTO ANTONIO DO ICA";1567
"130380 SAO GABRIEL DA CACHOEIRA";1647
"130390 SAO PAULO DE OLIVENCA";1318
"130395 SAO SEBASTIAO DO UATUMA";425
"130400 SILVES";396
"130406 TABATINGA";2384
"130410 TAPAUA";1262
"130420 TEFE";4090
"130423 TONANTINS";868
"130426 UARINI";583
"130430 URUCARA";1015
"130440 URUCURITUBA";681
"140002 AMAJARI";254
"140005 ALTO ALEGRE";1056
"140010 BOA VISTA";12440
"140015 BONFIM";432
"140017 CANTA";434
"140020 CARACARAI";807
"140023 CAROEBE";356
"140028 IRACEMA";278
"140030 MUCAJAI";658
"140040 NORMANDIA";348
"140045 PACARAIMA";374
"140047 RORAINOPOLIS";1049
"140050 SAO JOAO DA BALIZA";326
"140060 SAO LUIZ";324
"140070 UIRAMUTA";340
"150010 ABAETETUBA";7469
"150013 ABEL FIGUEIREDO";368
"150020 ACARA";2920
"150030 AFUA";1702
"150034 AGUA AZUL DO NORTE";1235
"150040 ALENQUER";2815
"150050 ALMEIRIM";1937
"150060 ALTAMIRA";4852
"150070 ANAJAS";1111
"150080 ANANINDEUA";24240
"150085 ANAPU";642
"150090 AUGUSTO CORREA";1911
"150095 AURORA DO PARA";1183
"150100 AVEIRO";800
"150110 BAGRE";831
"150120 BAIAO";1357
"150125 BANNACH";223
"150130 BARCARENA";4033
"150140 BELEM";76054
"150145 BELTERRA";788
"150150 BENEVIDES";2225
"150157 BOM JESUS DO TOCANTINS";768
"150160 BONITO";606
"150170 BRAGANCA";5968
"150172 BRASIL NOVO";949
"150175 BREJO GRANDE DO ARAGUAIA";443
"150178 BREU BRANCO";1964
"150180 BREVES";4701
"150190 BUJARU";1209
"150195 CACHOEIRA DO PIRIA";895
"150200 CACHOEIRA DO ARARI";909
"150210 CAMETA";5847
"150215 CANAA DOS CARAJAS";725
"150220 CAPANEMA";3641
"150230 CAPITAO POCO";2929
"150240 CASTANHAL";8645
"150250 CHAVES";926
"150260 COLARES";642
"150270 CONCEICAO DO ARAGUAIA";2504
"150275 CONCORDIA DO PARA";1310
"150276 CUMARU DO NORTE";329
"150277 CURIONOPOLIS";1051
"150280 CURRALINHO";1174
"150285 CURUA";519
"150290 CURUCA";1487
"150293 DOM ELISEU";2478
"150295 ELDORADO DOS CARAJAS";1684
"150300 FARO";551
"150304 FLORESTA DO ARAGUAIA";777
"150307 GARRAFAO DO NORTE";1364
"150309 GOIANESIA DO PARA";1505
"150310 GURUPA";1303
"150320 IGARAPE-ACU";1992
"150330 IGARAPE-MIRI";3156
"150340 INHANGAPI";462
"150345 IPIXUNA DO PARA";1531
"150350 IRITUIA";1768
"150360 ITAITUBA";5729
"150370 ITUPIRANGA";2889
"150375 JACAREACANGA";1134
"150380 JACUNDA";2564
"150390 JURUTI";1886
"150400 LIMOEIRO DO AJURU";1114
"150405 MAE DO RIO";1608
"150410 MAGALHAES BARATA";446
"150420 MARABA";10888
"150430 MARACANA";1419
"150440 MARAPANIM";1320
"150442 MARITUBA";4540
"150445 MEDICILANDIA";1290
"150450 MELGACO";1214
"150460 MOCAJUBA";1231
"150470 MOJU";3225
"150475 MOJUI DOS CAMPOS";757
"150480 MONTE ALEGRE";2987
"150490 MUANA";1494
"150495 NOVA ESPERANCA DO PIRIA";1132
"150497 NOVA IPIXUNA";681
"150500 NOVA TIMBOTEUA";699
"150503 NOVO PROGRESSO";1113
"150506 NOVO REPARTIMENTO";2522
"150510 OBIDOS";2869
"150520 OEIRAS DO PARA";1377
"150530 ORIXIMINA";3007
"150540 OUREM";898
"150543 OURILANDIA DO NORTE";1196
"150548 PACAJA";1756
"150549 PALESTINA DO PARA";450
"150550 PARAGOMINAS";4977
"150553 PARAUAPEBAS";4907
"150555 PAU D'ARCO";369
"150560 PEIXE-BOI";465
"150563 PICARRA";658
"150565 PLACAS";893
"150570 PONTA DE PEDRAS";1121
"150580 PORTEL";2238
"150590 PORTO DE MOZ";1451
"150600 PRAINHA";1667
"150610 PRIMAVERA";546
"150611 QUATIPURU";651
"150613 REDENCAO";3831
"150616 RIO MARIA";1006
"150618 RONDON DO PARA";2571
"150619 RUROPOLIS";1589
"150620 SALINOPOLIS";2042
"150630 SALVATERRA";796
"150635 SANTA BARBARA DO PARA";704
"150640 SANTA CRUZ DO ARARI";316
"150650 SANTA IZABEL DO PARA";2676
"150655 SANTA LUZIA DO PARA";1184
"150658 SANTA MARIA DAS BARREIRAS";563
"150660 SANTA MARIA DO PARA";1298
"150670 SANTANA DO ARAGUAIA";1826
"150680 SANTAREM";15872
"150690 SANTAREM NOVO";325
"150700 SANTO ANTONIO DO TAUA";1220
"150710 SAO CAETANO DE ODIVELAS";882
"150715 SAO DOMINGOS DO ARAGUAIA";1218
"150720 SAO DOMINGOS DO CAPIM";1578
"150730 SAO FELIX DO XINGU";2336
"150740 SAO FRANCISCO DO PARA";828
"150745 SAO GERALDO DO ARAGUAIA";1626
"150746 SAO JOAO DA PONTA";215
"150747 SAO JOAO DE PIRABAS";943
"150750 SAO JOAO DO ARAGUAIA";692
"150760 SAO MIGUEL DO GUAMA";2561
"150770 SAO SEBASTIAO DA BOA VISTA";1124
"150775 SAPUCAIA";233
"150780 SENADOR JOSE PORFIRIO";777
"150790 SOURE";1130
"150795 TAILANDIA";2556
"150796 TERRA ALTA";460
