 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2007
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1290
"110002 ARIQUEMES";4579
"110003 CABIXI";320
"110004 CACOAL";4042
"110005 CEREJEIRAS";909
"110006 COLORADO DO OESTE";978
"110007 CORUMBIARA";474
"110008 COSTA MARQUES";643
"110009 ESPIGAO D'OESTE";1410
"110010 GUAJARA-MIRIM";2170
"110011 JARU";2731
"110012 JI-PARANA";6019
"110013 MACHADINHO D'OESTE";1464
"110014 NOVA BRASILANDIA D'OESTE";1020
"110015 OURO PRETO DO OESTE";2062
"110018 PIMENTA BUENO";1719
"110020 PORTO VELHO";21635
"110025 PRESIDENTE MEDICI";1169
"110026 RIO CRESPO";155
"110028 ROLIM DE MOURA";2671
"110029 SANTA LUZIA D'OESTE";478
"110030 VILHENA";3757
"110032 SAO MIGUEL DO GUAPORE";1180
"110033 NOVA MAMORE";1057
"110034 ALVORADA D'OESTE";873
"110037 ALTO ALEGRE DOS PARECIS";628
"110040 ALTO PARAISO";770
"110045 BURITIS";1621
"110050 NOVO HORIZONTE DO OESTE";530
"110060 CACAULANDIA";273
"110070 CAMPO NOVO DE RONDONIA";618
"110080 CANDEIAS DO JAMARI";937
"110090 CASTANHEIRAS";191
"110092 CHUPINGUAIA";393
"110094 CUJUBIM";653
"110100 GOVERNADOR JORGE TEIXEIRA";585
"110110 ITAPUA DO OESTE";408
"110120 MINISTRO ANDREAZZA";562
"110130 MIRANTE DA SERRA";619
"110140 MONTE NEGRO";681
"110143 NOVA UNIAO";393
"110145 PARECIS";242
"110146 PIMENTEIRAS DO OESTE";108
"110147 PRIMAVERA DE RONDONIA";164
"110148 SAO FELIPE D'OESTE";309
"110149 SAO FRANCISCO DO GUAPORE";781
"110150 SERINGUEIRAS";616
"110155 TEIXEIROPOLIS";242
"110160 THEOBROMA";512
"110170 URUPA";708
"110175 VALE DO ANARI";458
"110180 VALE DO PARAISO";441
"120001 ACRELANDIA";607
"120005 ASSIS BRASIL";300
"120010 BRASILEIA";1052
"120013 BUJARI";407
"120017 CAPIXABA";363
"120020 CRUZEIRO DO SUL";4273
"120025 EPITACIOLANDIA";740
"120030 FEIJO";1750
"120032 JORDAO";320
"120033 MANCIO LIMA";756
"120034 MANOEL URBANO";395
"120035 MARECHAL THAUMATURGO";711
"120038 PLACIDO DE CASTRO";802
"120039 PORTO WALTER";410
"120040 RIO BRANCO";16644
"120042 RODRIGUES ALVES";669
"120043 SANTA ROSA DO PURUS";212
"120045 SENADOR GUIOMARD";1009
"120050 SENA MADUREIRA";1916
"120060 TARAUACA";1800
"120070 XAPURI";768
"120080 PORTO ACRE";698
"130002 ALVARAES";746
"130006 AMATURA";524
"130008 ANAMA";516
"130010 ANORI";852
"130014 APUI";938
"130020 ATALAIA DO NORTE";848
"130030 AUTAZES";1558
"130040 BARCELOS";1554
"130050 BARREIRINHA";1369
"130060 BENJAMIN CONSTANT";1766
"130063 BERURI";742
"130068 BOA VISTA DO RAMOS";764
"130070 BOCA DO ACRE";1567
"130080 BORBA";1893
"130083 CAAPIRANGA";567
"130090 CANUTAMA";715
"130100 CARAUARI";1435
"130110 CAREIRO";1709
"130115 CAREIRO DA VARZEA";1165
"130120 COARI";4481
"130130 CODAJAS";1298
"130140 EIRUNEPE";1704
"130150 ENVIRA";880
"130160 FONTE BOA";1430
"130165 GUAJARA";752
"130170 HUMAITA";2314
"130180 IPIXUNA";1058
"130185 IRANDUBA";2030
"130190 ITACOATIARA";4413
"130195 ITAMARATI";450
"130200 ITAPIRANGA";449
"130210 JAPURA";537
"130220 JURUA";544
"130230 JUTAI";1104
"130240 LABREA";1965
"130250 MANACAPURU";4666
"130255 MANAQUIRI";1082
"130260 MANAUS";86442
"130270 MANICORE";2567
"130280 MARAA";1031
"130290 MAUES";2669
"130300 NHAMUNDA";970
"130310 NOVA OLINDA DO NORTE";1724
"130320 NOVO AIRAO";747
"130330 NOVO ARIPUANA";1160
"130340 PARINTINS";5494
"130350 PAUINI";987
"130353 PRESIDENTE FIGUEIREDO";1216
"130356 RIO PRETO DA EVA";1282
"130360 SANTA ISABEL DO RIO NEGRO";820
"130370 SANTO ANTONIO DO ICA";1581
"130380 SAO GABRIEL DA CACHOEIRA";1800
"130390 SAO PAULO DE OLIVENCA";1645
"130395 SAO SEBASTIAO DO UATUMA";543
"130400 SILVES";427
"130406 TABATINGA";2733
"130410 TAPAUA";1151
"130420 TEFE";3563
"130423 TONANTINS";965
"130426 UARINI";665
"130430 URUCARA";983
"130440 URUCURITUBA";937
"140002 AMAJARI";346
"140005 ALTO ALEGRE";884
"140010 BOA VISTA";13774
"140015 BONFIM";496
"140017 CANTA";564
"140020 CARACARAI";893
"140023 CAROEBE";398
"140028 IRACEMA";384
"140030 MUCAJAI";697
"140040 NORMANDIA";396
"140045 PACARAIMA";495
"140047 RORAINOPOLIS";1252
"140050 SAO JOAO DA BALIZA";320
"140060 SAO LUIZ";364
"140070 UIRAMUTA";391
"150010 ABAETETUBA";7926
"150013 ABEL FIGUEIREDO";332
"150020 ACARA";2988
"150030 AFUA";1859
"150034 AGUA AZUL DO NORTE";1296
"150040 ALENQUER";2727
"150050 ALMEIRIM";1874
"150060 ALTAMIRA";5009
"150070 ANAJAS";1311
"150080 ANANINDEUA";23198
"150085 ANAPU";1004
"150090 AUGUSTO CORREA";2112
"150095 AURORA DO PARA";1448
"150100 AVEIRO";843
"150110 BAGRE";1266
"150120 BAIAO";1765
"150125 BANNACH";159
"150130 BARCARENA";5039
"150140 BELEM";65998
"150145 BELTERRA";782
"150150 BENEVIDES";2473
"150157 BOM JESUS DO TOCANTINS";726
"150160 BONITO";688
"150170 BRAGANCA";6100
"150172 BRASIL NOVO";824
"150175 BREJO GRANDE DO ARAGUAIA";417
"150178 BREU BRANCO";2648
"150180 BREVES";4986
"150190 BUJARU";1350
"150195 CACHOEIRA DO PIRIA";1276
"150200 CACHOEIRA DO ARARI";1050
"150210 CAMETA";6713
"150215 CANAA DOS CARAJAS";1237
"150220 CAPANEMA";3322
"150230 CAPITAO POCO";2973
"150240 CASTANHAL";8949
"150250 CHAVES";1030
"150260 COLARES";611
"150270 CONCEICAO DO ARAGUAIA";2184
"150275 CONCORDIA DO PARA";1554
"150276 CUMARU DO NORTE";383
"150277 CURIONOPOLIS";1012
"150280 CURRALINHO";1491
"150285 CURUA";607
"150290 CURUCA";1687
"150293 DOM ELISEU";2584
"150295 ELDORADO DOS CARAJAS";1740
"150300 FARO";478
"150304 FLORESTA DO ARAGUAIA";895
"150307 GARRAFAO DO NORTE";1436
"150309 GOIANESIA DO PARA";1814
"150310 GURUPA";1546
"150320 IGARAPE-ACU";1989
"150330 IGARAPE-MIRI";3378
"150340 INHANGAPI";543
"150345 IPIXUNA DO PARA";2332
"150350 IRITUIA";1686
"150360 ITAITUBA";5322
"150370 ITUPIRANGA";2798
"150375 JACAREACANGA";759
"150380 JACUNDA";2803
"150390 JURUTI";2404
"150400 LIMOEIRO DO AJURU";1378
"150405 MAE DO RIO";1543
"150410 MAGALHAES BARATA";427
"150420 MARABA";11998
"150430 MARACANA";1534
"150440 MARAPANIM";1397
"150442 MARITUBA";5216
"150445 MEDICILANDIA";1342
"150450 MELGACO";1359
"150460 MOCAJUBA";1444
"150470 MOJU";3771
"150475 MOJUI DOS CAMPOS";740
"150480 MONTE ALEGRE";2993
"150490 MUANA";1761
"150495 NOVA ESPERANCA DO PIRIA";1107
"150497 NOVA IPIXUNA";730
"150500 NOVA TIMBOTEUA";643
"150503 NOVO PROGRESSO";1184
"150506 NOVO REPARTIMENTO";3184
"150510 OBIDOS";2520
"150520 OEIRAS DO PARA";1467
"150530 ORIXIMINA";3210
"150540 OUREM";853
"150543 OURILANDIA DO NORTE";1465
"150548 PACAJA";2043
"150549 PALESTINA DO PARA";399
"150550 PARAGOMINAS";5199
"150553 PARAUAPEBAS";7565
"150555 PAU D'ARCO";346
"150560 PEIXE-BOI";401
"150563 PICARRA";663
"150565 PLACAS";1176
"150570 PONTA DE PEDRAS";1318
"150580 PORTEL";2614
"150590 PORTO DE MOZ";1796
"150600 PRAINHA";1616
