 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2004
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1341
"110002 ARIQUEMES";4421
"110003 CABIXI";357
"110004 CACOAL";4059
"110005 CEREJEIRAS";940
"110006 COLORADO DO OESTE";1077
"110007 CORUMBIARA";495
"110008 COSTA MARQUES";592
"110009 ESPIGAO D'OESTE";1426
"110010 GUAJARA-MIRIM";2153
"110011 JARU";2888
"110012 JI-PARANA";6066
"110013 MACHADINHO D'OESTE";1389
"110014 NOVA BRASILANDIA D'OESTE";1001
"110015 OURO PRETO DO OESTE";2181
"110018 PIMENTA BUENO";1727
"110020 PORTO VELHO";21138
"110025 PRESIDENTE MEDICI";1279
"110026 RIO CRESPO";152
"110028 ROLIM DE MOURA";2700
"110029 SANTA LUZIA D'OESTE";519
"110030 VILHENA";3534
"110032 SAO MIGUEL DO GUAPORE";1166
"110033 NOVA MAMORE";982
"110034 ALVORADA D'OESTE";922
"110037 ALTO ALEGRE DOS PARECIS";624
"110040 ALTO PARAISO";714
"110045 BURITIS";1555
"110050 NOVO HORIZONTE DO OESTE";567
"110060 CACAULANDIA";274
"110070 CAMPO NOVO DE RONDONIA";620
"110080 CANDEIAS DO JAMARI";846
"110090 CASTANHEIRAS";190
"110092 CHUPINGUAIA";360
"110094 CUJUBIM";503
"110100 GOVERNADOR JORGE TEIXEIRA";633
"110110 ITAPUA DO OESTE";388
"110120 MINISTRO ANDREAZZA";566
"110130 MIRANTE DA SERRA";643
"110140 MONTE NEGRO";675
"110143 NOVA UNIAO";393
"110145 PARECIS";232
"110146 PIMENTEIRAS DO OESTE";115
"110147 PRIMAVERA DE RONDONIA";182
"110148 SAO FELIPE D'OESTE";338
"110149 SAO FRANCISCO DO GUAPORE";712
"110150 SERINGUEIRAS";597
"110155 TEIXEIROPOLIS";249
"110160 THEOBROMA";535
"110170 URUPA";767
"110175 VALE DO ANARI";437
"110180 VALE DO PARAISO";466
"120001 ACRELANDIA";565
"120005 ASSIS BRASIL";276
"120010 BRASILEIA";999
"120013 BUJARI";399
"120017 CAPIXABA";305
"120020 CRUZEIRO DO SUL";4294
"120025 EPITACIOLANDIA";688
"120030 FEIJO";1793
"120032 JORDAO";285
"120033 MANCIO LIMA";720
"120034 MANOEL URBANO";391
"120035 MARECHAL THAUMATURGO";612
"120038 PLACIDO DE CASTRO";814
"120039 PORTO WALTER";391
"120040 RIO BRANCO";15961
"120042 RODRIGUES ALVES";598
"120043 SANTA ROSA DO PURUS";184
"120045 SENADOR GUIOMARD";992
"120050 SENA MADUREIRA";1814
"120060 TARAUACA";1702
"120070 XAPURI";725
"120080 PORTO ACRE";658
"130002 ALVARAES";725
"130006 AMATURA";486
"130008 ANAMA";480
"130010 ANORI";772
"130014 APUI";942
"130020 ATALAIA DO NORTE";739
"130030 AUTAZES";1483
"130040 BARCELOS";1538
"130050 BARREIRINHA";1310
"130060 BENJAMIN CONSTANT";1597
"130063 BERURI";696
"130068 BOA VISTA DO RAMOS";711
"130070 BOCA DO ACRE";1544
"130080 BORBA";1815
"130083 CAAPIRANGA";548
"130090 CANUTAMA";721
"130100 CARAUARI";1413
"130110 CAREIRO";1723
"130115 CAREIRO DA VARZEA";1056
"130120 COARI";4338
"130130 CODAJAS";1208
"130140 EIRUNEPE";1636
"130150 ENVIRA";837
"130160 FONTE BOA";1568
"130165 GUAJARA";699
"130170 HUMAITA";2180
"130180 IPIXUNA";993
"130185 IRANDUBA";1973
"130190 ITACOATIARA";4344
"130195 ITAMARATI";496
"130200 ITAPIRANGA";427
"130210 JAPURA";643
"130220 JURUA";469
"130230 JUTAI";1208
"130240 LABREA";1868
"130250 MANACAPURU";4622
"130255 MANAQUIRI";950
"130260 MANAUS";84230
"130270 MANICORE";2448
"130280 MARAA";1083
"130290 MAUES";2557
"130300 NHAMUNDA";932
