 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2014
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1051
"110002 ARIQUEMES";4797
"110003 CABIXI";234
"110004 CACOAL";3782
"110005 CEREJEIRAS";747
"110006 COLORADO DO OESTE";735
"110007 CORUMBIARA";360
"110008 COSTA MARQUES";832
"110009 ESPIGAO D'OESTE";1411
"110010 GUAJARA-MIRIM";2125
"110011 JARU";2423
"110012 JI-PARANA";5494
"110013 MACHADINHO D'OESTE";1674
"110014 NOVA BRASILANDIA D'OESTE";901
"110015 OURO PRETO DO OESTE";1688
"110018 PIMENTA BUENO";1610
"110020 PORTO VELHO";22334
"110025 PRESIDENTE MEDICI";855
"110026 RIO CRESPO";173
"110028 ROLIM DE MOURA";2438
"110029 SANTA LUZIA D'OESTE";325
"110030 VILHENA";4064
"110032 SAO MIGUEL DO GUAPORE";1113
"110033 NOVA MAMORE";1288
"110034 ALVORADA D'OESTE";695
"110037 ALTO ALEGRE DOS PARECIS";600
"110040 ALTO PARAISO";937
"110045 BURITIS";1748
"110050 NOVO HORIZONTE DO OESTE";423
"110060 CACAULANDIA";295
"110070 CAMPO NOVO DE RONDONIA";624
"110080 CANDEIAS DO JAMARI";1161
"110090 CASTANHEIRAS";160
"110092 CHUPINGUAIA";472
"110094 CUJUBIM";1049
"110100 GOVERNADOR JORGE TEIXEIRA";422
"110110 ITAPUA DO OESTE";448
"110120 MINISTRO ANDREAZZA";503
"110130 MIRANTE DA SERRA";577
"110140 MONTE NEGRO";717
"110143 NOVA UNIAO";322
"110145 PARECIS";228
"110146 PIMENTEIRAS DO OESTE";105
"110147 PRIMAVERA DE RONDONIA";160
"110148 SAO FELIPE D'OESTE";252
"110149 SAO FRANCISCO DO GUAPORE";897
"110150 SERINGUEIRAS";579
"110155 TEIXEIROPOLIS";211
"110160 THEOBROMA";463
"110170 URUPA";536
"110175 VALE DO ANARI";465
"110180 VALE DO PARAISO";365
"120001 ACRELANDIA";738
"120005 ASSIS BRASIL";352
"120010 BRASILEIA";1216
"120013 BUJARI";458
"120017 CAPIXABA";585
"120020 CRUZEIRO DO SUL";4683
"120025 EPITACIOLANDIA";891
"120030 FEIJO";1871
"120032 JORDAO";439
"120033 MANCIO LIMA";927
"120034 MANOEL URBANO";445
"120035 MARECHAL THAUMATURGO";972
"120038 PLACIDO DE CASTRO";963
"120039 PORTO WALTER";609
"120040 RIO BRANCO";19099
"120042 RODRIGUES ALVES";965
"120043 SANTA ROSA DO PURUS";307
"120045 SENADOR GUIOMARD";1120
"120050 SENA MADUREIRA";2259
"120060 TARAUACA";2122
"120070 XAPURI";908
"120080 PORTO ACRE";853
"130002 ALVARAES";813
"130006 AMATURA";620
"130008 ANAMA";620
"130010 ANORI";1068
"130014 APUI";1077
"130020 ATALAIA DO NORTE";963
"130030 AUTAZES";1847
"130040 BARCELOS";1576
"130050 BARREIRINHA";1594
"130060 BENJAMIN CONSTANT";1992
"130063 BERURI";967
"130068 BOA VISTA DO RAMOS";975
"130070 BOCA DO ACRE";1713
"130080 BORBA";2069
"130083 CAAPIRANGA";663
"130090 CANUTAMA";725
"130100 CARAUARI";1591
"130110 CAREIRO";1930
"130115 CAREIRO DA VARZEA";1331
"130120 COARI";4589
"130130 CODAJAS";1462
"130140 EIRUNEPE";1782
"130150 ENVIRA";1074
"130160 FONTE BOA";1129
"130165 GUAJARA";901
"130170 HUMAITA";2757
"130180 IPIXUNA";1385
"130185 IRANDUBA";2312
"130190 ITACOATIARA";4924
"130195 ITAMARATI";457
"130200 ITAPIRANGA";455
"130210 JAPURA";307
"130220 JURUA";747
"130230 JUTAI";859
"130240 LABREA";2247
"130250 MANACAPURU";5039
"130255 MANAQUIRI";1495
"130260 MANAUS";99416
"130270 MANICORE";2860
"130280 MARAA";1021
"130290 MAUES";3096
"130300 NHAMUNDA";1037
"130310 NOVA OLINDA DO NORTE";1963
"130320 NOVO AIRAO";881
"130330 NOVO ARIPUANA";1249
"130340 PARINTINS";5951
"130350 PAUINI";1044
"130353 PRESIDENTE FIGUEIREDO";1712
"130356 RIO PRETO DA EVA";1529
"130360 SANTA ISABEL DO RIO NEGRO";1157
"130370 SANTO ANTONIO DO ICA";1295
"130380 SAO GABRIEL DA CACHOEIRA";2267
"130390 SAO PAULO DE OLIVENCA";1958
"130395 SAO SEBASTIAO DO UATUMA";676
"130400 SILVES";437
"130406 TABATINGA";3125
"130410 TAPAUA";941
"130420 TEFE";3321
"130423 TONANTINS";1060
"130426 UARINI";660
"130430 URUCARA";883
"130440 URUCURITUBA";1121
"140002 AMAJARI";538
"140005 ALTO ALEGRE";729
"140010 BOA VISTA";16546
"140015 BONFIM";594
"140017 CANTA";811
"140020 CARACARAI";1112
"140023 CAROEBE";421
"140028 IRACEMA";526
"140030 MUCAJAI";798
"140040 NORMANDIA";552
"140045 PACARAIMA";653
"140047 RORAINOPOLIS";1518
"140050 SAO JOAO DA BALIZA";393
"140060 SAO LUIZ";383
"140070 UIRAMUTA";508
"150010 ABAETETUBA";7948
"150013 ABEL FIGUEIREDO";345
"150020 ACARA";2864
"150030 AFUA";2153
"150034 AGUA AZUL DO NORTE";1302
"150040 ALENQUER";2817
"150050 ALMEIRIM";1826
"150060 ALTAMIRA";5495
"150070 ANAJAS";1468
"150080 ANANINDEUA";23963
"150085 ANAPU";1194
"150090 AUGUSTO CORREA";2287
"150095 AURORA DO PARA";1681
"150100 AVEIRO";915
"150110 BAGRE";1726
"150120 BAIAO";2263
"150125 BANNACH";150
"150130 BARCARENA";5976
"150140 BELEM";63518
"150145 BELTERRA";822
"150150 BENEVIDES";2896
"150157 BOM JESUS DO TOCANTINS";812
"150160 BONITO";721
"150170 BRAGANCA";6172
"150172 BRASIL NOVO";737
"150175 BREJO GRANDE DO ARAGUAIA";357
"150178 BREU BRANCO";3336
"150180 BREVES";5544
"150190 BUJARU";1425
"150195 CACHOEIRA DO PIRIA";1687
"150200 CACHOEIRA DO ARARI";1101
"150210 CAMETA";7056
"150215 CANAA DOS CARAJAS";1752
"150220 CAPANEMA";3196
"150230 CAPITAO POCO";2899
"150240 CASTANHAL";9251
"150250 CHAVES";1193
"150260 COLARES";565
"150270 CONCEICAO DO ARAGUAIA";2225
"150275 CONCORDIA DO PARA";1630
"150276 CUMARU DO NORTE";533
"150277 CURIONOPOLIS";922
"150280 CURRALINHO";1784
"150285 CURUA";709
"150290 CURUCA";1810
"150293 DOM ELISEU";2881
"150295 ELDORADO DOS CARAJAS";1684
"150300 FARO";408
"150304 FLORESTA DO ARAGUAIA";936
"150307 GARRAFAO DO NORTE";1421
"150309 GOIANESIA DO PARA";1966
"150310 GURUPA";1730
"150320 IGARAPE-ACU";1870
"150330 IGARAPE-MIRI";3127
"150340 INHANGAPI";547
"150345 IPIXUNA DO PARA";3305
"150350 IRITUIA";1534
"150360 ITAITUBA";5422
"150370 ITUPIRANGA";2726
"150375 JACAREACANGA";532
"150380 JACUNDA";3020
"150390 JURUTI";2849
"150400 LIMOEIRO DO AJURU";1494
"150405 MAE DO RIO";1514
"150410 MAGALHAES BARATA";405
"150420 MARABA";13029
"150430 MARACANA";1508
"150440 MARAPANIM";1331
"150442 MARITUBA";5994
"150445 MEDICILANDIA";1412
"150450 MELGACO";1481
"150460 MOCAJUBA";1547
"150470 MOJU";4114
"150475 MOJUI DOS CAMPOS";739
"150480 MONTE ALEGRE";2985
"150490 MUANA";1984
"150495 NOVA ESPERANCA DO PIRIA";1160
"150497 NOVA IPIXUNA";781
"150500 NOVA TIMBOTEUA";659
"150503 NOVO PROGRESSO";1413
"150506 NOVO REPARTIMENTO";3613
"150510 OBIDOS";2447
"150520 OEIRAS DO PARA";1674
"150530 ORIXIMINA";3663
"150540 OUREM";836
"150543 OURILANDIA DO NORTE";1642
"150548 PACAJA";2185
"150549 PALESTINA DO PARA";376
"150550 PARAGOMINAS";5697
"150553 PARAUAPEBAS";9673
"150555 PAU D'ARCO";278
"150560 PEIXE-BOI";383
"150563 PICARRA";643
"150565 PLACAS";1409
"150570 PONTA DE PEDRAS";1474
"150580 PORTEL";3426
"150590 PORTO DE MOZ";2239
"150600 PRAINHA";1661
"150610 PRIMAVERA";531
"150611 QUATIPURU";643
"150613 REDENCAO";4142
"150616 RIO MARIA";829
"150618 RONDON DO PARA";2466
"150619 RUROPOLIS";2356
"150620 SALINOPOLIS";2009
"150630 SALVATERRA";1093
"150635 SANTA BARBARA DO PARA";996
"150640 SANTA CRUZ DO ARARI";504
"150650 SANTA IZABEL DO PARA";3060
"150655 SANTA LUZIA DO PARA";1044
"150658 SANTA MARIA DAS BARREIRAS";885
"150660 SANTA MARIA DO PARA";1178
"150670 SANTANA DO ARAGUAIA";3492
"150680 SANTAREM";15087
"150690 SANTAREM NOVO";337
"150700 SANTO ANTONIO DO TAUA";1498
"150710 SAO CAETANO DE ODIVELAS";851
"150715 SAO DOMINGOS DO ARAGUAIA";1231
"150720 SAO DOMINGOS DO CAPIM";1628
"150730 SAO FELIX DO XINGU";5613
"150740 SAO FRANCISCO DO PARA";738
"150745 SAO GERALDO DO ARAGUAIA";1311
"150746 SAO JOAO DA PONTA";257
"150747 SAO JOAO DE PIRABAS";1103
"150750 SAO JOAO DO ARAGUAIA";659
"150760 SAO MIGUEL DO GUAMA";2883
"150770 SAO SEBASTIAO DA BOA VISTA";1290
"150775 SAPUCAIA";253
"150780 SENADOR JOSE PORFIRIO";664
"150790 SOURE";1245
"150795 TAILANDIA";5458
"150796 TERRA ALTA";592
"150797 TERRA SANTA";896
"150800 TOME-ACU";3112
"150803 TRACUATEUA";1522
"150805 TRAIRAO";889
"150808 TUCUMA";1806
"150810 TUCURUI";5779
"150812 ULIANOPOLIS";2875
"150815 URUARA";2341
"150820 VIGIA";2465
"150830 VISEU";3142
"150835 VITORIA DO XINGU";734
"150840 XINGUARA";2208
"160005 SERRA DO NAVIO";241
"160010 AMAPA";456
"160015 PEDRA BRANCA DO AMAPARI";710
"160020 CALCOENE";505
"160021 CUTIAS";295
"160023 FERREIRA GOMES";367
"160025 ITAUBAL";248
"160027 LARANJAL DO JARI";2515
"160030 MACAPA";23927
"160040 MAZAGAO";1078
"160050 OIAPOQUE";1201
"160053 PORTO GRANDE";1010
"160055 PRACUUBA";216
"160060 SANTANA";5999
"160070 TARTARUGALZINHO";775
"160080 VITORIA DO JARI";821
"170025 ABREULANDIA";114
"170030 AGUIARNOPOLIS";309
"170035 ALIANCA DO TOCANTINS";241
"170040 ALMAS";360
"170070 ALVORADA";372
"170100 ANANAS";501
"170105 ANGICO";146
"170110 APARECIDA DO RIO NEGRO";203
"170130 ARAGOMINAS";256
"170190 ARAGUACEMA";317
"170200 ARAGUACU";350
"170210 ARAGUAINA";8199
"170215 ARAGUANA";295
