 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2015
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";997
"110002 ARIQUEMES";4831
"110003 CABIXI";221
"110004 CACOAL";3724
"110005 CEREJEIRAS";716
"110006 COLORADO DO OESTE";690
"110007 CORUMBIARA";334
"110008 COSTA MARQUES";873
"110009 ESPIGAO D'OESTE";1405
"110010 GUAJARA-MIRIM";2104
"110011 JARU";2367
"110012 JI-PARANA";5375
"110013 MACHADINHO D'OESTE";1709
"110014 NOVA BRASILANDIA D'OESTE";859
"110015 OURO PRETO DO OESTE";1622
"110018 PIMENTA BUENO";1583
"110020 PORTO VELHO";22550
"110025 PRESIDENTE MEDICI";788
"110026 RIO CRESPO";177
"110028 ROLIM DE MOURA";2398
"110029 SANTA LUZIA D'OESTE";289
"110030 VILHENA";4124
"110032 SAO MIGUEL DO GUAPORE";1090
"110033 NOVA MAMORE";1326
"110034 ALVORADA D'OESTE";644
"110037 ALTO ALEGRE DOS PARECIS";589
"110040 ALTO PARAISO";960
"110045 BURITIS";1757
"110050 NOVO HORIZONTE DO OESTE";398
"110060 CACAULANDIA";298
"110070 CAMPO NOVO DE RONDONIA";627
"110080 CANDEIAS DO JAMARI";1199
"110090 CASTANHEIRAS";150
"110092 CHUPINGUAIA";488
"110094 CUJUBIM";1107
"110100 GOVERNADOR JORGE TEIXEIRA";387
"110110 ITAPUA DO OESTE";454
"110120 MINISTRO ANDREAZZA";483
"110130 MIRANTE DA SERRA";565
"110140 MONTE NEGRO";722
"110143 NOVA UNIAO";295
"110145 PARECIS";226
"110146 PIMENTEIRAS DO OESTE";106
"110147 PRIMAVERA DE RONDONIA";163
"110148 SAO FELIPE D'OESTE";234
"110149 SAO FRANCISCO DO GUAPORE";911
"110150 SERINGUEIRAS";561
"110155 TEIXEIROPOLIS";202
"110160 THEOBROMA";449
"110170 URUPA";502
"110175 VALE DO ANARI";463
"110180 VALE DO PARAISO";337
"120001 ACRELANDIA";758
"120005 ASSIS BRASIL";355
"120010 BRASILEIA";1239
"120013 BUJARI";472
"120017 CAPIXABA";623
"120020 CRUZEIRO DO SUL";4720
"120025 EPITACIOLANDIA";906
"120030 FEIJO";1895
"120032 JORDAO";458
"120033 MANCIO LIMA";953
"120034 MANOEL URBANO";453
"120035 MARECHAL THAUMATURGO";1009
"120038 PLACIDO DE CASTRO";998
"120039 PORTO WALTER";653
"120040 RIO BRANCO";19356
"120042 RODRIGUES ALVES";1015
"120043 SANTA ROSA DO PURUS";324
"120045 SENADOR GUIOMARD";1136
"120050 SENA MADUREIRA";2294
"120060 TARAUACA";2157
"120070 XAPURI";925
"120080 PORTO ACRE";883
"130002 ALVARAES";813
"130006 AMATURA";628
"130008 ANAMA";633
"130010 ANORI";1089
"130014 APUI";1118
"130020 ATALAIA DO NORTE";955
"130030 AUTAZES";1875
"130040 BARCELOS";1570
"130050 BARREIRINHA";1615
"130060 BENJAMIN CONSTANT";1973
"130063 BERURI";994
"130068 BOA VISTA DO RAMOS";1007
"130070 BOCA DO ACRE";1712
"130080 BORBA";2069
"130083 CAAPIRANGA";673
"130090 CANUTAMA";721
"130100 CARAUARI";1602
"130110 CAREIRO";1968
"130115 CAREIRO DA VARZEA";1325
"130120 COARI";4520
"130130 CODAJAS";1463
"130140 EIRUNEPE";1757
"130150 ENVIRA";1094
"130160 FONTE BOA";1070
"130165 GUAJARA";910
"130170 HUMAITA";2798
"130180 IPIXUNA";1437
"130185 IRANDUBA";2327
"130190 ITACOATIARA";4944
"130195 ITAMARATI";467
"130200 ITAPIRANGA";440
"130210 JAPURA";270
"130220 JURUA";765
"130230 JUTAI";819
"130240 LABREA";2263
"130250 MANACAPURU";5050
"130255 MANAQUIRI";1549
"130260 MANAUS";100222
"130270 MANICORE";2870
"130280 MARAA";1029
"130290 MAUES";3152
"130300 NHAMUNDA";1027
"130310 NOVA OLINDA DO NORTE";1971
"130320 NOVO AIRAO";887
"130330 NOVO ARIPUANA";1248
"130340 PARINTINS";5929
"130350 PAUINI";1065
"130353 PRESIDENTE FIGUEIREDO";1781
"130356 RIO PRETO DA EVA";1565
"130360 SANTA ISABEL DO RIO NEGRO";1188
"130370 SANTO ANTONIO DO ICA";1248
"130380 SAO GABRIEL DA CACHOEIRA";2310
"130390 SAO PAULO DE OLIVENCA";1987
"130395 SAO SEBASTIAO DO UATUMA";685
"130400 SILVES";427
"130406 TABATINGA";3119
"130410 TAPAUA";890
"130420 TEFE";3258
"130423 TONANTINS";1060
"130426 UARINI";654
"130430 URUCARA";852
"130440 URUCURITUBA";1132
"140002 AMAJARI";566
"140005 ALTO ALEGRE";716
"140010 BOA VISTA";16671
"140015 BONFIM";602
"140017 CANTA";846
"140020 CARACARAI";1130
"140023 CAROEBE";419
"140028 IRACEMA";538
"140030 MUCAJAI";804
"140040 NORMANDIA";568
"140045 PACARAIMA";675
"140047 RORAINOPOLIS";1555
"140050 SAO JOAO DA BALIZA";403
"140060 SAO LUIZ";387
"140070 UIRAMUTA";514
"150010 ABAETETUBA";7831
"150013 ABEL FIGUEIREDO";348
"150020 ACARA";2825
"150030 AFUA";2181
"150034 AGUA AZUL DO NORTE";1321
"150040 ALENQUER";2804
"150050 ALMEIRIM";1807
"150060 ALTAMIRA";5512
"150070 ANAJAS";1484
"150080 ANANINDEUA";23894
"150085 ANAPU";1200
"150090 AUGUSTO CORREA";2294
"150095 AURORA DO PARA";1732
"150100 AVEIRO";930
"150110 BAGRE";1783
"150120 BAIAO";2354
"150125 BANNACH";151
"150130 BARCARENA";6105
"150140 BELEM";62526
"150145 BELTERRA";825
"150150 BENEVIDES";2911
"150157 BOM JESUS DO TOCANTINS";827
"150160 BONITO";711
"150170 BRAGANCA";6129
"150172 BRASIL NOVO";718
"150175 BREJO GRANDE DO ARAGUAIA";342
"150178 BREU BRANCO";3436
"150180 BREVES";5600
"150190 BUJARU";1419
"150195 CACHOEIRA DO PIRIA";1784
"150200 CACHOEIRA DO ARARI";1103
"150210 CAMETA";7083
"150215 CANAA DOS CARAJAS";1836
"150220 CAPANEMA";3152
"150230 CAPITAO POCO";2873
"150240 CASTANHAL";9172
"150250 CHAVES";1221
"150260 COLARES";547
"150270 CONCEICAO DO ARAGUAIA";2211
"150275 CONCORDIA DO PARA";1620
"150276 CUMARU DO NORTE";562
"150277 CURIONOPOLIS";893
"150280 CURRALINHO";1802
"150285 CURUA";729
"150290 CURUCA";1826
"150293 DOM ELISEU";2948
"150295 ELDORADO DOS CARAJAS";1678
"150300 FARO";388
"150304 FLORESTA DO ARAGUAIA";942
"150307 GARRAFAO DO NORTE";1410
"150309 GOIANESIA DO PARA";2009
"150310 GURUPA";1742
"150320 IGARAPE-ACU";1812
"150330 IGARAPE-MIRI";3052
"150340 INHANGAPI";545
"150345 IPIXUNA DO PARA";3480
"150350 IRITUIA";1514
"150360 ITAITUBA";5411
"150370 ITUPIRANGA";2728
"150375 JACAREACANGA";520
"150380 JACUNDA";3032
"150390 JURUTI";2933
"150400 LIMOEIRO DO AJURU";1491
"150405 MAE DO RIO";1494
"150410 MAGALHAES BARATA";403
"150420 MARABA";13168
"150430 MARACANA";1485
"150440 MARAPANIM";1307
"150442 MARITUBA";6140
"150445 MEDICILANDIA";1392
"150450 MELGACO";1490
"150460 MOCAJUBA";1558
"150470 MOJU";4139
"150475 MOJUI DOS CAMPOS";724
"150480 MONTE ALEGRE";2947
"150490 MUANA";2014
"150495 NOVA ESPERANCA DO PIRIA";1160
"150497 NOVA IPIXUNA";780
"150500 NOVA TIMBOTEUA";665
"150503 NOVO PROGRESSO";1468
"150506 NOVO REPARTIMENTO";3673
"150510 OBIDOS";2412
"150520 OEIRAS DO PARA";1710
"150530 ORIXIMINA";3701
"150540 OUREM";822
"150543 OURILANDIA DO NORTE";1653
"150548 PACAJA";2189
"150549 PALESTINA DO PARA";366
"150550 PARAGOMINAS";5780
"150553 PARAUAPEBAS";9994
"150555 PAU D'ARCO";266
"150560 PEIXE-BOI";379
"150563 PICARRA";643
"150565 PLACAS";1452
"150570 PONTA DE PEDRAS";1470
"150580 PORTEL";3583
"150590 PORTO DE MOZ";2273
"150600 PRAINHA";1672
"150610 PRIMAVERA";529
"150611 QUATIPURU";631
"150613 REDENCAO";4140
"150616 RIO MARIA";819
"150618 RONDON DO PARA";2453
"150619 RUROPOLIS";2407
"150620 SALINOPOLIS";1980
"150630 SALVATERRA";1084
"150635 SANTA BARBARA DO PARA";1016
"150640 SANTA CRUZ DO ARARI";507
