 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2011
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1200
"110002 ARIQUEMES";4675
"110003 CABIXI";271
"110004 CACOAL";3904
"110005 CEREJEIRAS";838
"110006 COLORADO DO OESTE";859
"110007 CORUMBIARA";433
"110008 COSTA MARQUES";700
"110009 ESPIGAO D'OESTE";1400
"110010 GUAJARA-MIRIM";2163
"110011 JARU";2563
"110012 JI-PARANA";5798
"110013 MACHADINHO D'OESTE";1550
"110014 NOVA BRASILANDIA D'OESTE";1020
"110015 OURO PRETO DO OESTE";1864
"110018 PIMENTA BUENO";1675
"110020 PORTO VELHO";21495
"110025 PRESIDENTE MEDICI";1045
"110026 RIO CRESPO";159
"110028 ROLIM DE MOURA";2536
"110029 SANTA LUZIA D'OESTE";426
"110030 VILHENA";3864
"110032 SAO MIGUEL DO GUAPORE";1177
"110033 NOVA MAMORE";1165
"110034 ALVORADA D'OESTE";840
"110037 ALTO ALEGRE DOS PARECIS";628
"110040 ALTO PARAISO";860
"110045 BURITIS";1703
"110050 NOVO HORIZONTE DO OESTE";488
"110060 CACAULANDIA";278
"110070 CAMPO NOVO DE RONDONIA";610
"110080 CANDEIAS DO JAMARI";1037
"110090 CASTANHEIRAS";188
"110092 CHUPINGUAIA";420
"110094 CUJUBIM";866
"110100 GOVERNADOR JORGE TEIXEIRA";519
"110110 ITAPUA DO OESTE";426
"110120 MINISTRO ANDREAZZA";560
"110130 MIRANTE DA SERRA";602
"110140 MONTE NEGRO";693
"110143 NOVA UNIAO";399
"110145 PARECIS";233
"110146 PIMENTEIRAS DO OESTE";99
"110147 PRIMAVERA DE RONDONIA";149
"110148 SAO FELIPE D'OESTE";281
"110149 SAO FRANCISCO DO GUAPORE";847
"110150 SERINGUEIRAS";627
"110155 TEIXEIROPOLIS";235
"110160 THEOBROMA";501
"110170 URUPA";630
"110175 VALE DO ANARI";467
"110180 VALE DO PARAISO";411
"120001 ACRELANDIA";669
"120005 ASSIS BRASIL";340
"120010 BRASILEIA";1134
"120013 BUJARI";412
"120017 CAPIXABA";467
"120020 CRUZEIRO DO SUL";4529
"120025 EPITACIOLANDIA";837
"120030 FEIJO";1777
"120032 JORDAO";378
"120033 MANCIO LIMA";837
