 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2008
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1279
"110002 ARIQUEMES";4617
"110003 CABIXI";308
"110004 CACOAL";4025
"110005 CEREJEIRAS";890
"110006 COLORADO DO OESTE";952
"110007 CORUMBIARA";469
"110008 COSTA MARQUES";650
"110009 ESPIGAO D'OESTE";1410
"110010 GUAJARA-MIRIM";2178
"110011 JARU";2696
"110012 JI-PARANA";5996
"110013 MACHADINHO D'OESTE";1483
"110014 NOVA BRASILANDIA D'OESTE";1035
"110015 OURO PRETO DO OESTE";2020
"110018 PIMENTA BUENO";1716
"110020 PORTO VELHO";21566
"110025 PRESIDENTE MEDICI";1150
"110026 RIO CRESPO";155
"110028 ROLIM DE MOURA";2641
"110029 SANTA LUZIA D'OESTE";473
"110030 VILHENA";3784
"110032 SAO MIGUEL DO GUAPORE";1187
"110033 NOVA MAMORE";1083
"110034 ALVORADA D'OESTE";879
"110037 ALTO ALEGRE DOS PARECIS";632
"110040 ALTO PARAISO";794
"110045 BURITIS";1649
"110050 NOVO HORIZONTE DO OESTE";524
"110060 CACAULANDIA";274
"110070 CAMPO NOVO DE RONDONIA";615
"110080 CANDEIAS DO JAMARI";959
"110090 CASTANHEIRAS";194
"110092 CHUPINGUAIA";397
"110094 CUJUBIM";708
"110100 GOVERNADOR JORGE TEIXEIRA";575
"110110 ITAPUA DO OESTE";413
"110120 MINISTRO ANDREAZZA";569
"110130 MIRANTE DA SERRA";618
"110140 MONTE NEGRO";684
"110143 NOVA UNIAO";404
"110145 PARECIS";241
"110146 PIMENTEIRAS DO OESTE";105
"110147 PRIMAVERA DE RONDONIA";158
"110148 SAO FELIPE D'OESTE";304
"110149 SAO FRANCISCO DO GUAPORE";800
"110150 SERINGUEIRAS";627
"110155 TEIXEIROPOLIS";243
"110160 THEOBROMA";514
"110170 URUPA";694
"110175 VALE DO ANARI";463
"110180 VALE DO PARAISO";438
"120001 ACRELANDIA";619
"120005 ASSIS BRASIL";312
"120010 BRASILEIA";1069
"120013 BUJARI";403
"120017 CAPIXABA";385
"120020 CRUZEIRO DO SUL";4333
"120025 EPITACIOLANDIA";765
"120030 FEIJO";1744
"120032 JORDAO";332
"120033 MANCIO LIMA";772
"120034 MANOEL URBANO";398
"120035 MARECHAL THAUMATURGO";743
"120038 PLACIDO DE CASTRO";803
"120039 PORTO WALTER";413
"120040 RIO BRANCO";17004
"120042 RODRIGUES ALVES";695
"120043 SANTA ROSA DO PURUS";218
"120045 SENADOR GUIOMARD";1017
"120050 SENA MADUREIRA";1969
"120060 TARAUACA";1848
"120070 XAPURI";786
"120080 PORTO ACRE";705
"130002 ALVARAES";754
"130006 AMATURA";534
"130008 ANAMA";522
"130010 ANORI";877
"130014 APUI";910
"130020 ATALAIA DO NORTE";879
"130030 AUTAZES";1583
"130040 BARCELOS";1540
"130050 BARREIRINHA";1386
"130060 BENJAMIN CONSTANT";1830
"130063 BERURI";763
"130068 BOA VISTA DO RAMOS";774
"130070 BOCA DO ACRE";1585
"130080 BORBA";1914
"130083 CAAPIRANGA";573
"130090 CANUTAMA";709
"130100 CARAUARI";1443
"130110 CAREIRO";1698
"130115 CAREIRO DA VARZEA";1204
"130120 COARI";4523
"130130 CODAJAS";1324
"130140 EIRUNEPE";1731
"130150 ENVIRA";898
"130160 FONTE BOA";1385
"130165 GUAJARA";774
"130170 HUMAITA";2358
"130180 IPIXUNA";1074
"130185 IRANDUBA";2062
"130190 ITACOATIARA";4465
"130195 ITAMARATI";430
"130200 ITAPIRANGA";463
"130210 JAPURA";502
"130220 JURUA";574
"130230 JUTAI";1057
"130240 LABREA";1996
"130250 MANACAPURU";4681
"130255 MANAQUIRI";1121
"130260 MANAUS";87899
"130270 MANICORE";2599
"130280 MARAA";997
"130290 MAUES";2680
"130300 NHAMUNDA";987
"130310 NOVA OLINDA DO NORTE";1757
"130320 NOVO AIRAO";768
"130330 NOVO ARIPUANA";1168
"130340 PARINTINS";5570
"130350 PAUINI";959
