 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 15 a 19 anos
Período:2019
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";868
"110002 ARIQUEMES";4914
"110003 CABIXI";168
"110004 CACOAL";3385
"110005 CEREJEIRAS";600
"110006 COLORADO DO OESTE";552
"110007 CORUMBIARA";251
"110008 COSTA MARQUES";854
"110009 ESPIGAO D'OESTE";1324
"110010 GUAJARA-MIRIM";2079
"110011 JARU";2189
"110012 JI-PARANA";5234
"110013 MACHADINHO D'OESTE";1626
"110014 NOVA BRASILANDIA D'OESTE";792
"110015 OURO PRETO DO OESTE";1434
"110018 PIMENTA BUENO";1529
"110020 PORTO VELHO";22696
"110025 PRESIDENTE MEDICI";675
"110026 RIO CRESPO";153
"110028 ROLIM DE MOURA";2285
"110029 SANTA LUZIA D'OESTE";208
"110030 VILHENA";4240
"110032 SAO MIGUEL DO GUAPORE";940
"110033 NOVA MAMORE";1393
"110034 ALVORADA D'OESTE";541
"110037 ALTO ALEGRE DOS PARECIS";583
"110040 ALTO PARAISO";932
"110045 BURITIS";1828
"110050 NOVO HORIZONTE DO OESTE";283
"110060 CACAULANDIA";284
"110070 CAMPO NOVO DE RONDONIA";593
"110080 CANDEIAS DO JAMARI";1205
"110090 CASTANHEIRAS";117
"110092 CHUPINGUAIA";499
"110094 CUJUBIM";1283
"110100 GOVERNADOR JORGE TEIXEIRA";304
"110110 ITAPUA DO OESTE";400
"110120 MINISTRO ANDREAZZA";388
"110130 MIRANTE DA SERRA";483
"110140 MONTE NEGRO";686
"110143 NOVA UNIAO";239
"110145 PARECIS";246
"110146 PIMENTEIRAS DO OESTE";86
"110147 PRIMAVERA DE RONDONIA";106
"110148 SAO FELIPE D'OESTE";181
"110149 SAO FRANCISCO DO GUAPORE";850
"110150 SERINGUEIRAS";503
"110155 TEIXEIROPOLIS";150
"110160 THEOBROMA";391
"110170 URUPA";420
"110175 VALE DO ANARI";456
"110180 VALE DO PARAISO";264
"120001 ACRELANDIA";729
"120005 ASSIS BRASIL";389
"120010 BRASILEIA";1261
"120013 BUJARI";472
"120017 CAPIXABA";602
"120020 CRUZEIRO DO SUL";4701
"120025 EPITACIOLANDIA";899
"120030 FEIJO";1921
"120032 JORDAO";517
"120033 MANCIO LIMA";944
"120034 MANOEL URBANO";449
"120035 MARECHAL THAUMATURGO";1131
"120038 PLACIDO DE CASTRO";904
"120039 PORTO WALTER";676
"120040 RIO BRANCO";20666
"120042 RODRIGUES ALVES";1082
"120043 SANTA ROSA DO PURUS";385
"120045 SENADOR GUIOMARD";1136
"120050 SENA MADUREIRA";2366
"120060 TARAUACA";2366
"120070 XAPURI";940
"120080 PORTO ACRE";887
"130002 ALVARAES";795
"130006 AMATURA";542
"130008 ANAMA";646
"130010 ANORI";994
"130014 APUI";996
"130020 ATALAIA DO NORTE";1022
"130030 AUTAZES";1771
"130040 BARCELOS";1313
"130050 BARREIRINHA";1485
"130060 BENJAMIN CONSTANT";2037
"130063 BERURI";977
"130068 BOA VISTA DO RAMOS";942
"130070 BOCA DO ACRE";1532
"130080 BORBA";1907
"130083 CAAPIRANGA";643
"130090 CANUTAMA";633
"130100 CARAUARI";1395
"130110 CAREIRO";1732
"130115 CAREIRO DA VARZEA";1181
"130120 COARI";4167
"130130 CODAJAS";1429
"130140 EIRUNEPE";1678
"130150 ENVIRA";961
"130160 FONTE BOA";860
"130165 GUAJARA";836
"130170 HUMAITA";2598
"130180 IPIXUNA";1593
"130185 IRANDUBA";2290
"130190 ITACOATIARA";4498
"130195 ITAMARATI";369
"130200 ITAPIRANGA";402
"130210 JAPURA";141
"130220 JURUA";798
"130230 JUTAI";674
"130240 LABREA";2200
"130250 MANACAPURU";4609
"130255 MANAQUIRI";1651
"130260 MANAUS";99022
"130270 MANICORE";2557
"130280 MARAA";924
"130290 MAUES";2913
"130300 NHAMUNDA";931
"130310 NOVA OLINDA DO NORTE";1837
"130320 NOVO AIRAO";866
"130330 NOVO ARIPUANA";1154
"130340 PARINTINS";5283
"130350 PAUINI";991
"130353 PRESIDENTE FIGUEIREDO";1721
"130356 RIO PRETO DA EVA";1576
"130360 SANTA ISABEL DO RIO NEGRO";1292
"130370 SANTO ANTONIO DO ICA";1055
"130380 SAO GABRIEL DA CACHOEIRA";2264
"130390 SAO PAULO DE OLIVENCA";1941
"130395 SAO SEBASTIAO DO UATUMA";691
"130400 SILVES";379
"130406 TABATINGA";3421
"130410 TAPAUA";764
"130420 TEFE";2975
"130423 TONANTINS";937
"130426 UARINI";668
"130430 URUCARA";729
"130440 URUCURITUBA";1047
"140002 AMAJARI";616
"140005 ALTO ALEGRE";635
"140010 BOA VISTA";17626
"140015 BONFIM";514
"140017 CANTA";693
"140020 CARACARAI";918
"140023 CAROEBE";390
"140028 IRACEMA";505
"140030 MUCAJAI";714
"140040 NORMANDIA";544
"140045 PACARAIMA";767
"140047 RORAINOPOLIS";1278
"140050 SAO JOAO DA BALIZA";366
"140060 SAO LUIZ";293
"140070 UIRAMUTA";532
"150010 ABAETETUBA";7042
"150013 ABEL FIGUEIREDO";320
"150020 ACARA";2588
"150030 AFUA";2031
"150034 AGUA AZUL DO NORTE";1375
"150040 ALENQUER";2562
"150050 ALMEIRIM";1612
"150060 ALTAMIRA";5530
"150070 ANAJAS";1558
"150080 ANANINDEUA";23635
"150085 ANAPU";1246
"150090 AUGUSTO CORREA";2222
"150095 AURORA DO PARA";1575
"150100 AVEIRO";757
"150110 BAGRE";1755
"150120 BAIAO";2330
"150125 BANNACH";128
"150130 BARCARENA";5877
"150140 BELEM";61076
"150145 BELTERRA";787
"150150 BENEVIDES";2953
"150157 BOM JESUS DO TOCANTINS";761
"150160 BONITO";767
"150170 BRAGANCA";5889
"150172 BRASIL NOVO";576
"150175 BREJO GRANDE DO ARAGUAIA";286
"150178 BREU BRANCO";3405
"150180 BREVES";5215
"150190 BUJARU";1396
"150195 CACHOEIRA DO PIRIA";2086
"150200 CACHOEIRA DO ARARI";1020
"150210 CAMETA";6457
"150215 CANAA DOS CARAJAS";1976
"150220 CAPANEMA";2861
"150230 CAPITAO POCO";2530
"150240 CASTANHAL";9227
"150250 CHAVES";1190
"150260 COLARES";475
"150270 CONCEICAO DO ARAGUAIA";2015
"150275 CONCORDIA DO PARA";1547
"150276 CUMARU DO NORTE";588
"150277 CURIONOPOLIS";761
"150280 CURRALINHO";1784
"150285 CURUA";717
"150290 CURUCA";1798
"150293 DOM ELISEU";2906
"150295 ELDORADO DOS CARAJAS";1500
"150300 FARO";345
"150304 FLORESTA DO ARAGUAIA";832
"150307 GARRAFAO DO NORTE";1276
"150309 GOIANESIA DO PARA";1909
"150310 GURUPA";1711
"150320 IGARAPE-ACU";1660
"150330 IGARAPE-MIRI";2798
"150340 INHANGAPI";515
"150345 IPIXUNA DO PARA";3485
"150350 IRITUIA";1410
"150360 ITAITUBA";4825
"150370 ITUPIRANGA";2474
"150375 JACAREACANGA";432
"150380 JACUNDA";2912
"150390 JURUTI";2832
"150400 LIMOEIRO DO AJURU";1481
"150405 MAE DO RIO";1424
"150410 MAGALHAES BARATA";340
"150420 MARABA";13408
"150430 MARACANA";1325
"150440 MARAPANIM";1117
"150442 MARITUBA";6273
"150445 MEDICILANDIA";1376
"150450 MELGACO";1437
"150460 MOCAJUBA";1492
"150470 MOJU";3981
"150475 MOJUI DOS CAMPOS";636
"150480 MONTE ALEGRE";2525
"150490 MUANA";2020
"150495 NOVA ESPERANCA DO PIRIA";1086
"150497 NOVA IPIXUNA";772
"150500 NOVA TIMBOTEUA";598
"150503 NOVO PROGRESSO";1441
"150506 NOVO REPARTIMENTO";3575
"150510 OBIDOS";2269
"150520 OEIRAS DO PARA";1635
"150530 ORIXIMINA";3617
"150540 OUREM";733
"150543 OURILANDIA DO NORTE";1678
"150548 PACAJA";1997
"150549 PALESTINA DO PARA";320
"150550 PARAGOMINAS";5909
"150553 PARAUAPEBAS";11185
"150555 PAU D'ARCO";212
"150560 PEIXE-BOI";339
"150563 PICARRA";561
"150565 PLACAS";1534
"150570 PONTA DE PEDRAS";1529
"150580 PORTEL";3424
"150590 PORTO DE MOZ";2272
"150600 PRAINHA";1447
"150610 PRIMAVERA";475
"150611 QUATIPURU";621
"150613 REDENCAO";3943
"150616 RIO MARIA";774
"150618 RONDON DO PARA";2271
"150619 RUROPOLIS";2446
"150620 SALINOPOLIS";1746
"150630 SALVATERRA";1057
"150635 SANTA BARBARA DO PARA";918
"150640 SANTA CRUZ DO ARARI";446
"150650 SANTA IZABEL DO PARA";2927
"150655 SANTA LUZIA DO PARA";943
"150658 SANTA MARIA DAS BARREIRAS";884
"150660 SANTA MARIA DO PARA";1109
"150670 SANTANA DO ARAGUAIA";4030
"150680 SANTAREM";14326
"150690 SANTAREM NOVO";289
"150700 SANTO ANTONIO DO TAUA";1350
"150710 SAO CAETANO DE ODIVELAS";742
"150715 SAO DOMINGOS DO ARAGUAIA";1113
"150720 SAO DOMINGOS DO CAPIM";1461
"150730 SAO FELIX DO XINGU";6438
"150740 SAO FRANCISCO DO PARA";645
"150745 SAO GERALDO DO ARAGUAIA";1146
"150746 SAO JOAO DA PONTA";259
"150747 SAO JOAO DE PIRABAS";984
"150750 SAO JOAO DO ARAGUAIA";568
"150760 SAO MIGUEL DO GUAMA";2881
"150770 SAO SEBASTIAO DA BOA VISTA";1314
"150775 SAPUCAIA";252
"150780 SENADOR JOSE PORFIRIO";559
"150790 SOURE";1119
"150795 TAILANDIA";6287
"150796 TERRA ALTA";484
"150797 TERRA SANTA";860
"150800 TOME-ACU";2950
"150803 TRACUATEUA";1352
"150805 TRAIRAO";829
"150808 TUCUMA";1813
"150810 TUCURUI";5749
"150812 ULIANOPOLIS";3409
"150815 URUARA";2286
"150820 VIGIA";2281
"150830 VISEU";2876
"150835 VITORIA DO XINGU";638
"150840 XINGUARA";2095
"160005 SERRA DO NAVIO";247
"160010 AMAPA";452
"160015 PEDRA BRANCA DO AMAPARI";844
"160020 CALCOENE";522
"160021 CUTIAS";302
"160023 FERREIRA GOMES";350
"160025 ITAUBAL";273
"160027 LARANJAL DO JARI";2660
"160030 MACAPA";24914
"160040 MAZAGAO";1086
"160050 OIAPOQUE";1429
"160053 PORTO GRANDE";1133
"160055 PRACUUBA";281
"160060 SANTANA";6047
"160070 TARTARUGALZINHO";850
"160080 VITORIA DO JARI";785
"170025 ABREULANDIA";121
"170030 AGUIARNOPOLIS";333
"170035 ALIANCA DO TOCANTINS";195
"170040 ALMAS";274
"170070 ALVORADA";368
"170100 ANANAS";406
"170105 ANGICO";128
"170110 APARECIDA DO RIO NEGRO";193
"170130 ARAGOMINAS";189
"170190 ARAGUACEMA";301
"170200 ARAGUACU";272
"170210 ARAGUAINA";8378
"170215 ARAGUANA";261
"170220 ARAGUATINS";1582
"170230 ARAPOEMA";275
"170240 ARRAIAS";400
"170255 AUGUSTINOPOLIS";811
"170270 AURORA DO TOCANTINS";142
"170290 AXIXA DO TOCANTINS";439
"170300 BABACULANDIA";383
"170305 BANDEIRANTES DO TOCANTINS";147
"170307 BARRA DO OURO";188
"170310 BARROLANDIA";239
"170320 BERNARDO SAYAO";175
"170330 BOM JESUS DO TOCANTINS";203
"170360 BRASILANDIA DO TOCANTINS";103
"170370 BREJINHO DE NAZARE";231
"170380 BURITI DO TOCANTINS";451
"170382 CACHOEIRINHA";78
"170384 CAMPOS LINDOS";512
"170386 CARIRI DO TOCANTINS";163
"170388 CARMOLANDIA";104
"170389 CARRASCO BONITO";192
"170390 CASEARA";214
"170410 CENTENARIO";120
"170460 CHAPADA DE AREIA";48
"170510 CHAPADA DA NATIVIDADE";124
"170550 COLINAS DO TOCANTINS";1513
"170555 COMBINADO";186
"170560 CONCEICAO DO TOCANTINS";155
"170600 COUTO MAGALHAES";217
"170610 CRISTALANDIA";274
"170625 CRIXAS DO TOCANTINS";77
"170650 DARCINOPOLIS";235
"170700 DIANOPOLIS";955
"170710 DIVINOPOLIS DO TOCANTINS";273
"170720 DOIS IRMAOS DO TOCANTINS";222
"170730 DUERE";180
"170740 ESPERANTINA";497
"170755 FATIMA";172
"170765 FIGUEIROPOLIS";181
"170770 FILADELFIA";355
"170820 FORMOSO DO ARAGUAIA";736
"170825 FORTALEZA DO TABOCAO";97
"170830 GOIANORTE";194
"170900 GOIATINS";585
"170930 GUARAI";1052
"170950 GURUPI";3692
"170980 IPUEIRAS";77
"171050 ITACAJA";284
"171070 ITAGUATINS";220
"171090 ITAPIRATINS";142
"171110 ITAPORA DO TOCANTINS";91
"171150 JAU DO TOCANTINS";151
"171180 JUARINA";83
"171190 LAGOA DA CONFUSAO";587
"171195 LAGOA DO TOCANTINS";191
"171200 LAJEADO";131
"171215 LAVANDEIRA";74
"171240 LIZARDA";127
"171245 LUZINOPOLIS";129
"171250 MARIANOPOLIS DO TOCANTINS";210
"171270 MATEIROS";108
"171280 MAURILANDIA DO TOCANTINS";124
"171320 MIRACEMA DO TOCANTINS";832
"171330 MIRANORTE";528
"171360 MONTE DO CARMO";250
"171370 MONTE SANTO DO TOCANTINS";88
"171380 PALMEIRAS DO TOCANTINS";261
"171395 MURICILANDIA";143
"171420 NATIVIDADE";315
"171430 NAZARE";127
"171488 NOVA OLINDA";503
"171500 NOVA ROSALANDIA";145
"171510 NOVO ACORDO";164
"171515 NOVO ALEGRE";81
"171525 NOVO JARDIM";134
"171550 OLIVEIRA DE FATIMA";45
"171570 PALMEIRANTE";236
"171575 PALMEIROPOLIS";291
"171610 PARAISO DO TOCANTINS";2112
"171620 PARANA";385
"171630 PAU D'ARCO";169
"171650 PEDRO AFONSO";520
"171660 PEIXE";434
"171665 PEQUIZEIRO";225
"171670 COLMEIA";304
"171700 PINDORAMA DO TOCANTINS";166
"171720 PIRAQUE";94
"171750 PIUM";295
"171780 PONTE ALTA DO BOM JESUS";143
"171790 PONTE ALTA DO TOCANTINS";299
"171800 PORTO ALEGRE DO TOCANTINS";124
"171820 PORTO NACIONAL";2290
"171830 PRAIA NORTE";390
"171840 PRESIDENTE KENNEDY";162
"171845 PUGMIL";113
"171850 RECURSOLANDIA";202
"171855 RIACHINHO";192
"171865 RIO DA CONCEICAO";111
"171870 RIO DOS BOIS";108
"171875 RIO SONO";229
"171880 SAMPAIO";212
"171884 SANDOLANDIA";130
"171886 SANTA FE DO ARAGUAIA";330
"171888 SANTA MARIA DO TOCANTINS";133
"171889 SANTA RITA DO TOCANTINS";117
"171890 SANTA ROSA DO TOCANTINS";173
"171900 SANTA TEREZA DO TOCANTINS";102
"172000 SANTA TEREZINHA DO TOCANTINS";113
"172010 SAO BENTO DO TOCANTINS";219
"172015 SAO FELIX DO TOCANTINS";59
"172020 SAO MIGUEL DO TOCANTINS";607
"172025 SAO SALVADOR DO TOCANTINS";126
"172030 SAO SEBASTIAO DO TOCANTINS";185
"172049 SAO VALERIO";124
"172065 SILVANOPOLIS";168
"172080 SITIO NOVO DO TOCANTINS";365
"172085 SUCUPIRA";100
"172090 TAGUATINGA";661
"172093 TAIPAS DO TOCANTINS";92
"172097 TALISMA";105
"172100 PALMAS";15061
"172110 TOCANTINIA";355
"172120 TOCANTINOPOLIS";953
"172125 TUPIRAMA";79
"172130 TUPIRATINS";99
"172208 WANDERLANDIA";511
"172210 XAMBIOA";404
"210005 ACAILANDIA";5514
"210010 AFONSO CUNHA";349
"210015 AGUA DOCE DO MARANHAO";582
"210020 ALCANTARA";914
"210030 ALDEIAS ALTAS";1311
"210040 ALTAMIRA DO MARANHAO";399
"210043 ALTO ALEGRE DO MARANHAO";1284
"210047 ALTO ALEGRE DO PINDARE";1484
"210050 ALTO PARNAIBA";504
"210055 AMAPA DO MARANHAO";384
"210060 AMARANTE DO MARANHAO";2043
"210070 ANAJATUBA";1109
"210080 ANAPURUS";810
"210083 APICUM-ACU";784
"210087 ARAGUANA";744
"210090 ARAIOSES";1966
"210095 ARAME";1628
"210100 ARARI";1298
"210110 AXIXA";535
"210120 BACABAL";4899
"210125 BACABEIRA";839
"210130 BACURI";768
"210135 BACURITUBA";248
"210140 BALSAS";4954
"210150 BARAO DE GRAJAU";810
"210160 BARRA DO CORDA";3917
"210170 BARREIRINHAS";3100
"210173 BELAGUA";393
"210177 BELA VISTA DO MARANHAO";546
"210180 BENEDITO LEITE";183
"210190 BEQUIMAO";835
"210193 BERNARDO DO MEARIM";258
"210197 BOA VISTA DO GURUPI";453
"210200 BOM JARDIM";1981
"210203 BOM JESUS DAS SELVAS";1802
"210207 BOM LUGAR";770
"210210 BREJO";1703
"210215 BREJO DE AREIA";468
"210220 BURITI";1415
"210230 BURITI BRAVO";1042
"210232 BURITICUPU";4018
"210235 BURITIRANA";676
"210237 CACHOEIRA GRANDE";447
"210240 CAJAPIO";478
"210250 CAJARI";961
"210255 CAMPESTRE DO MARANHAO";726
"210260 CANDIDO MENDES";959
"210270 CANTANHEDE";1106
"210275 CAPINZAL DO NORTE";466
"210280 CAROLINA";960
"210290 CARUTAPERA";1152
