 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 30 a 39 anos
Período:2000
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1929
"110002 ARIQUEMES";5727
"110003 CABIXI";498
"110004 CACOAL";5831
"110005 CEREJEIRAS";1408
"110006 COLORADO DO OESTE";1554
"110007 CORUMBIARA";651
"110008 COSTA MARQUES";540
"110009 ESPIGAO D'OESTE";1821
"110010 GUAJARA-MIRIM";2644
"110011 JARU";3736
"110012 JI-PARANA";8655
"110013 MACHADINHO D'OESTE";1464
"110014 NOVA BRASILANDIA D'OESTE";1217
"110015 OURO PRETO DO OESTE";3159
"110018 PIMENTA BUENO";2523
"110020 PORTO VELHO";27160
"110025 PRESIDENTE MEDICI";1874
"110026 RIO CRESPO";187
"110028 ROLIM DE MOURA";3584
"110029 SANTA LUZIA D'OESTE";841
"110030 VILHENA";4462
"110032 SAO MIGUEL DO GUAPORE";1378
"110033 NOVA MAMORE";897
"110034 ALVORADA D'OESTE";1292
"110037 ALTO ALEGRE DOS PARECIS";785
"110040 ALTO PARAISO";828
"110045 BURITIS";1702
"110050 NOVO HORIZONTE DO OESTE";807
"110060 CACAULANDIA";321
"110070 CAMPO NOVO DE RONDONIA";657
"110080 CANDEIAS DO JAMARI";772
"110090 CASTANHEIRAS";254
"110092 CHUPINGUAIA";347
"110094 CUJUBIM";396
"110100 GOVERNADOR JORGE TEIXEIRA";772
"110110 ITAPUA DO OESTE";441
"110120 MINISTRO ANDREAZZA";725
"110130 MIRANTE DA SERRA";813
"110140 MONTE NEGRO";782
"110143 NOVA UNIAO";499
"110145 PARECIS";239
"110146 PIMENTEIRAS DO OESTE";164
"110147 PRIMAVERA DE RONDONIA";283
"110148 SAO FELIPE D'OESTE";466
"110149 SAO FRANCISCO DO GUAPORE";760
"110150 SERINGUEIRAS";773
"110155 TEIXEIROPOLIS";361
"110160 THEOBROMA";631
"110170 URUPA";866
"110175 VALE DO ANARI";449
"110180 VALE DO PARAISO";639
"120001 ACRELANDIA";543
"120005 ASSIS BRASIL";239
"120010 BRASILEIA";941
"120013 BUJARI";345
"120017 CAPIXABA";299
"120020 CRUZEIRO DO SUL";3605
"120025 EPITACIOLANDIA";741
"120030 FEIJO";1610
"120032 JORDAO";158
"120033 MANCIO LIMA";497
"120034 MANOEL URBANO";278
"120035 MARECHAL THAUMATURGO";320
"120038 PLACIDO DE CASTRO";880
"120039 PORTO WALTER";211
"120040 RIO BRANCO";18722
"120042 RODRIGUES ALVES";344
"120043 SANTA ROSA DO PURUS";93
"120045 SENADOR GUIOMARD";995
"120050 SENA MADUREIRA";1451
"120060 TARAUACA";1389
"120070 XAPURI";725
"120080 PORTO ACRE";570
"130002 ALVARAES";525
"130006 AMATURA";345
"130008 ANAMA";294
"130010 ANORI";539
"130014 APUI";947
"130020 ATALAIA DO NORTE";513
"130030 AUTAZES";1214
"130040 BARCELOS";1420
"130050 BARREIRINHA";1051
"130060 BENJAMIN CONSTANT";1243
"130063 BERURI";493
"130068 BOA VISTA DO RAMOS";480
"130070 BOCA DO ACRE";1365
"130080 BORBA";1278
