 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"110155 TEIXEIROPOLIS";102;124;130;164;343;368;569;899;687;675;670;593;768;716;638;691;423;-;8560
"110160 THEOBROMA";244;299;461;101;122;691;616;229;347;223;32;469;257;915;834;686;502;682;7710
"110170 URUPA";-;726;1311;1767;1268;801;1057;2;775;833;233;1062;1068;1460;1373;1027;541;-;15304
"110175 VALE DO ANARI";10;486;505;154;-;-;-;103;728;974;1268;984;1028;736;719;982;672;92;9441
"110180 VALE DO PARAISO";-;-;25;196;192;377;244;531;843;467;381;461;453;397;446;501;490;244;6248
" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120001 ACRELANDIA";-;318;334;-;262;423;1006;1354;1525;1455;1643;1441;1372;1381;1132;1331;1429;1230;17636
"120005 ASSIS BRASIL";-;-;-;-;-;-;155;537;683;620;910;857;779;1011;472;724;900;111;7759
"120010 BRASILEIA";-;166;926;896;1103;987;800;779;1213;1342;1275;1167;1276;1311;1102;1313;781;-;16437
"120013 BUJARI";-;-;558;335;352;343;492;344;371;463;262;160;109;463;906;718;928;1741;8545
"120017 CAPIXABA";-;-;550;388;271;696;622;521;442;495;542;423;610;280;398;626;790;630;8284
"120020 CRUZEIRO DO SUL";73;1515;4561;6062;7590;6749;7504;8354;7237;6334;6496;6019;7091;10318;9767;12619;13760;4781;126830
"120025 EPITACIOLANDIA";344;588;1092;1600;1763;1414;1231;1277;1417;1509;1676;1638;2122;1937;1919;1658;1252;-;24437
"120030 FEIJO";-;590;1116;507;1172;1500;1137;1821;1951;1970;2409;1807;1590;2294;2908;766;-;-;23538
"120032 JORDAO";-;-;-;-;-;-;-;-;-;255;1092;412;549;560;415;476;732;496;4987
"120033 MANCIO LIMA";-;300;703;1082;534;754;1020;1371;1082;1619;1695;1532;1605;1964;1633;1966;929;-;19789
"120034 MANOEL URBANO";-;86;355;334;220;328;724;760;997;874;796;846;1016;1356;1196;1138;1476;523;13025
"120035 MARECHAL THAUMATURGO";-;-;-;15;189;322;738;1327;1718;1544;1445;1293;1050;1286;1978;1378;1212;1749;17244
"120038 PLACIDO DE CASTRO";-;-;-;-;304;930;874;1328;2307;2342;2321;2091;2206;2020;1670;2880;1933;1901;25107
"120039 PORTO WALTER";-;-;-;-;120;377;182;280;394;659;761;599;648;908;843;725;937;1077;8510
"120040 RIO BRANCO";154;-;1631;7064;4136;6434;7939;9167;9727;7874;9275;8033;7127;7994;7470;7762;8304;6197;116288
"120042 RODRIGUES ALVES";-;-;202;247;394;392;436;983;1296;1040;961;872;1101;1222;967;913;1186;1091;13303
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;30;380;212;117;405;762;948;362;375;254;3845
"120045 SENADOR GUIOMARD";-;483;581;871;1507;1535;1633;1238;1151;1447;1643;1423;1510;1503;1447;1378;1708;476;21534
"120050 SENA MADUREIRA";70;45;484;1385;1810;3118;2319;2987;2662;2963;2887;4718;4995;5375;4957;4577;3716;1860;50928
"120060 TARAUACA";-;-;484;673;727;602;880;1047;1869;3295;3438;3620;3519;4187;3873;3628;2778;104;34724
"120070 XAPURI";4;614;617;577;627;897;1175;1616;1748;1072;1238;1163;1113;1279;1602;1820;1852;402;19416
"120080 PORTO ACRE";-;1277;1311;1437;1191;1218;1421;1686;1708;1668;2968;1618;1377;5851;746;1353;1505;574;28909
" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130002 ALVARAES";-;-;164;1065;929;1354;1629;2057;1953;1946;1138;1846;1969;1980;1681;2187;1506;691;24095
"130006 AMATURA";-;457;513;868;778;628;595;718;335;477;482;716;719;746;810;743;848;278;10711
"130008 ANAMA";-;-;-;43;-;78;-;-;684;671;654;1217;1458;1179;998;594;1551;496;9623
"130010 ANORI";-;-;300;1426;2655;1668;1607;1915;1617;1828;2141;2227;2059;1602;1869;1868;2052;818;27652
"130014 APUI";136;636;638;531;244;297;1070;2116;2583;2443;2116;2406;2567;2182;1705;2302;2664;840;27476
