 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"240750 MAXARANGUAPE";-;-;122;451;496;565;1362;1478;1261;1701;1290;1374;1268;1424;1205;1260;1414;1042;17713
"240760 MESSIAS TARGINO";-;-;32;96;406;430;457;489;436;425;427;483;394;442;393;547;441;474;6372
"240770 MONTANHAS";-;-;249;328;983;1264;1081;1111;1000;1094;1179;1180;1077;1047;1022;418;96;-;13129
"240780 MONTE ALEGRE";-;-;222;607;1444;1473;1747;2112;1923;2002;1849;3074;1743;1838;1729;1365;-;-;23128
"240790 MONTE DAS GAMELEIRAS";-;20;682;625;374;353;420;607;595;659;483;421;365;288;222;326;-;-;6440
"240800 MOSSORO";-;337;2805;4239;6663;10701;15170;18906;18368;19913;18140;15056;5063;11203;15381;16217;15131;13188;206481
"240810 NATAL";-;3048;11374;14533;12647;19177;24463;29055;27947;25649;25417;21803;21166;24497;23779;26241;17073;-;327869
"240820 NISIA FLORESTA";-;-;753;409;584;1977;1464;1858;1916;2084;1882;2081;1657;1917;2259;1317;-;-;22158
"240830 NOVA CRUZ";-;-;2402;2571;2243;3021;3805;3423;3471;3988;3904;3290;2156;3000;2144;2072;-;-;41490
"240840 OLHO-D'AGUA DO BORGES";-;-;365;459;674;611;522;390;395;343;373;506;483;381;305;415;413;144;6779
"240850 OURO BRANCO";-;251;235;281;508;534;523;574;675;650;516;567;522;635;611;569;622;54;8327
"240860 PARANA";43;240;43;437;501;480;556;487;676;372;518;376;178;184;238;364;397;490;6580
"240870 PARAU";-;-;193;55;254;171;284;349;250;349;368;311;336;251;228;249;139;-;3787
"240880 PARAZINHO";-;-;202;479;1132;546;511;946;707;687;523;585;500;489;500;776;524;367;9474
"240890 PARELHAS";392;960;1381;1911;2009;1479;1659;2052;2193;2659;2795;3009;2596;2317;2419;2407;1108;-;33346
"240895 RIO DO FOGO";-;-;255;925;903;1469;1124;1528;1411;1263;1104;1279;1183;1339;1133;1050;1197;1184;18347
"240910 PASSA E FICA";-;-;523;530;826;874;1110;605;800;729;651;836;1339;1118;1425;1497;1481;550;14894
"240920 PASSAGEM";-;170;209;258;262;267;255;313;264;236;291;210;175;192;225;252;32;-;3611
"240930 PATU";-;-;60;1942;1730;1648;1462;1488;1481;1394;1237;1206;1322;1345;1306;1166;457;-;19244
"240933 SANTA MARIA";63;242;338;300;178;429;625;797;637;609;577;440;439;354;386;388;570;642;8014
"240940 PAU DOS FERROS";-;88;1432;886;1118;1251;1298;1412;1824;1816;2206;1328;1233;1647;1827;2410;1855;1810;25441
"240950 PEDRA GRANDE";-;111;267;307;386;389;347;423;450;189;87;398;377;209;132;487;689;345;5593
"240960 PEDRA PRETA";-;-;369;417;220;221;404;407;333;304;354;341;403;301;222;264;265;241;5066
"240970 PEDRO AVELINO";-;-;-;403;423;381;482;623;566;650;682;614;1240;679;571;474;529;-;8317
"240980 PEDRO VELHO";-;-;159;223;977;2087;1217;1996;2359;2204;2335;1992;1639;1686;1386;583;-;-;20843
"240990 PENDENCIAS";-;-;197;-;40;518;609;735;874;984;813;877;1225;1081;952;989;521;-;10415
"241000 PILOES";-;262;577;347;489;517;480;476;474;458;496;256;135;598;347;309;176;-;6397
"241010 POCO BRANCO";-;-;266;1660;2410;2409;2907;1827;1491;1777;1618;1803;1907;1401;878;1063;496;-;23913
"241020 PORTALEGRE";-;579;752;608;614;649;645;684;694;597;700;570;692;617;466;512;705;650;10734
"241025 PORTO DO MANGUE";-;-;75;21;138;365;472;793;794;520;546;707;708;478;426;533;517;54;7147
"241030 SERRA CAIADA";48;483;903;1008;1549;1343;1263;1220;1088;1316;979;1315;1220;1156;1007;1028;504;-;17430
"241040 PUREZA";-;-;179;550;847;750;694;945;935;1040;1001;870;476;990;881;739;693;592;12182
"241050 RAFAEL FERNANDES";-;-;358;239;440;243;427;481;393;407;389;253;252;36;158;480;448;74;5078
"241060 RAFAEL GODEIRO";-;300;781;289;237;211;264;271;249;349;336;161;92;244;504;289;266;290;5133
"241070 RIACHO DA CRUZ";-;204;252;266;249;294;244;275;229;381;285;216;323;294;401;310;292;277;4792
"241080 RIACHO DE SANTANA";-;-;296;296;463;456;502;809;591;554;427;274;919;148;324;290;399;422;7170
"241090 RIACHUELO";-;-;423;486;601;562;523;911;862;739;776;673;555;663;835;799;731;840;10979
"241100 RODOLFO FERNANDES";111;382;1000;684;547;432;223;339;837;751;468;395;398;523;456;386;136;-;8068
"241105 TIBAU";-;41;136;255;398;260;345;208;344;550;294;211;317;347;356;395;192;-;4649
"241110 RUY BARBOSA";77;220;331;339;410;378;393;388;445;426;359;720;501;637;274;411;108;-;6417
"241120 SANTA CRUZ";160;710;3265;4818;3574;3567;3520;3402;3757;3723;2836;2807;3312;2656;2357;2294;1093;-;47851
"241140 SANTANA DO MATOS";519;697;200;607;1044;899;867;1187;1180;1402;1199;1350;1208;1363;1426;1138;529;-;16815
"241142 SANTANA DO SERIDO";12;37;51;93;268;323;354;371;300;382;312;218;320;312;360;458;158;-;4329
"241150 SANTO ANTONIO";-;36;-;-;1015;589;913;1519;2375;2726;2278;2941;2607;2374;2285;1267;-;-;22925
"241160 SAO BENTO DO NORTE";-;-;414;1247;465;454;412;447;512;443;419;420;492;563;592;380;338;363;7961
"241170 SAO BENTO DO TRAIRI";44;315;576;413;537;464;455;589;546;620;624;471;666;399;427;614;137;-;7897
"241180 SAO FERNANDO";8;3;3;118;178;148;126;182;146;130;271;392;234;232;320;402;163;-;3056
"241190 SAO FRANCISCO DO OESTE";-;-;491;103;265;237;287;446;417;312;417;326;177;286;308;417;122;-;4611
"241200 SAO GONCALO DO AMARANTE";-;-;779;2450;3758;4357;4649;5016;4580;5683;5519;6179;7077;7668;8287;8310;7435;6454;88201
"241210 SAO JOAO DO SABUGI";-;-;1;27;12;251;278;476;555;725;700;455;749;617;429;386;412;123;6196
"241220 SAO JOSE DE MIPIBU";-;-;1901;2864;2864;3764;3644;3331;3359;3998;3977;3623;3569;3677;3714;1856;-;-;46141
"241230 SAO JOSE DO CAMPESTRE";-;-;1184;1228;1351;1340;1053;981;1015;1122;1127;1153;1302;1069;1144;1194;1337;1355;18955
"241240 SAO JOSE DO SERIDO";113;390;263;388;186;342;344;574;582;374;320;378;357;537;402;529;478;557;7114
"241250 SAO MIGUEL";-;-;1546;3066;3937;3847;5738;2987;1938;2202;2020;2309;1928;1836;1724;1458;655;-;37191
"241255 SAO MIGUEL DO GOSTOSO";-;-;171;809;1309;1008;965;1012;1020;949;913;847;759;869;1089;1046;1133;1102;15001
"241260 SAO PAULO DO POTENGI";-;-;533;1369;1556;1675;1916;1793;2187;2075;1924;1802;1556;1538;1439;1250;1393;512;24518
"241270 SAO PEDRO";-;68;16;725;474;468;495;624;518;565;551;486;489;379;403;255;445;146;7107
"241280 SAO RAFAEL";-;-;297;386;372;251;492;750;827;498;650;607;2711;726;615;621;313;-;10116
"241290 SAO TOME";30;474;1329;1037;1015;940;757;981;879;697;891;675;858;981;892;769;416;-;13621
"241300 SAO VICENTE";10;280;233;209;166;386;347;481;566;697;563;446;778;320;337;382;327;-;6528
"241310 SENADOR ELOI DE SOUZA";61;197;157;498;542;666;491;592;721;1254;604;415;484;462;593;114;-;-;7851
"241320 SENADOR GEORGINO AVELINO";-;-;311;280;231;452;425;617;566;451;517;586;684;563;696;498;398;520;7795
"241330 SERRA DE SAO BENTO";-;-;-;312;345;638;550;719;886;1083;817;833;919;889;903;772;513;22;10201
"241335 SERRA DO MEL";-;-;683;435;605;1041;1341;1304;1063;1267;1174;1018;899;919;895;1152;1150;-;14946
"241340 SERRA NEGRA DO NORTE";-;419;985;527;716;576;510;546;773;946;1025;685;726;616;626;540;610;-;10826
"241350 SERRINHA";-;-;271;-;255;1051;630;700;1020;673;798;600;619;526;801;295;-;-;8239
"241355 SERRINHA DOS PINTOS";-;174;396;401;340;336;542;629;700;798;703;658;524;416;341;440;523;452;8373
"241360 SEVERIANO MELO";-;-;28;387;857;858;1053;934;777;827;705;651;638;617;619;507;751;883;11092
"241370 SITIO NOVO";53;240;473;699;603;537;401;607;518;545;620;515;494;639;483;482;312;457;8678
"241380 TABOLEIRO GRANDE";-;-;17;190;288;246;273;266;211;236;232;98;99;177;201;155;194;137;3020
"241390 TAIPU";-;33;242;517;406;408;715;1296;1143;1400;1545;1265;1093;1093;991;953;1024;1239;15363
"241400 TANGARA";171;468;692;1139;1374;1240;1272;1886;1577;1693;1361;1835;1614;1538;1515;1318;618;-;21311
"241410 TENENTE ANANIAS";-;-;559;664;1015;897;997;2031;1742;1943;1350;1844;1402;922;700;627;467;537;17697
"241415 TENENTE LAURENTINO CRUZ";190;520;512;511;534;626;774;909;880;723;489;409;525;807;770;312;312;-;9803
"241420 TIBAU DO SUL";-;-;-;693;959;1160;1272;1225;1399;1722;1208;1548;1163;1316;1188;602;-;-;15455
"241430 TIMBAUBA DOS BATISTAS";57;70;76;80;139;211;154;276;358;185;159;146;273;202;190;218;230;-;3024
"241440 TOUROS";-;-;270;1043;1895;1933;2806;3284;3219;3991;3503;2871;3498;2855;2682;3017;932;-;37799
"241445 TRIUNFO POTIGUAR";-;-;22;8;562;776;692;653;780;686;718;476;379;469;492;260;334;354;7661
"241450 UMARIZAL";-;376;475;1258;1394;1648;1511;1786;1357;1461;1400;1085;998;987;927;1023;1123;848;19657
"241460 UPANEMA";-;-;199;173;458;976;1081;1490;1428;1523;1344;1445;1510;1349;1100;959;1270;1043;17348
"241470 VARZEA";-;-;298;357;454;337;509;525;737;566;366;413;326;346;493;377;-;-;6104
"241475 VENHA-VER";-;246;434;485;448;400;655;823;494;737;702;717;553;441;455;317;168;-;8075
"241480 VERA CRUZ";-;-;551;726;718;590;519;1201;1292;1347;1252;1259;1172;934;1165;1025;810;-;14561
"241490 VICOSA";-;228;282;341;305;251;186;151;176;276;290;136;138;163;133;190;219;231;3696
"241500 VILA FLOR";-;-;-;59;298;575;434;443;388;293;336;330;299;285;361;348;170;-;4619
" MUNICIPIO IGNORADO - PB";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"250010 AGUA BRANCA";35;237;313;762;820;823;594;792;903;954;1034;855;4737;922;900;912;1090;1119;17802
"250020 AGUIAR";-;-;-;506;704;576;544;10719;527;473;697;545;438;524;441;359;48;-;17101
"250030 ALAGOA GRANDE";-;3;293;2673;3742;3765;3836;3570;3324;3471;2979;2899;3291;3026;2813;3012;1639;-;44336
"250040 ALAGOA NOVA";-;-;-;-;209;938;1799;3456;3689;3028;2691;2900;2831;2683;2525;2801;2702;389;32641
"250050 ALAGOINHA";-;-;-;1050;998;1236;1341;1716;1432;1524;1280;1554;1673;1404;1778;1521;1297;-;19804
"250053 ALCANTIL";-;700;960;726;1364;518;367;543;579;554;695;574;419;662;742;522;466;-;10391
"250057 ALGODAO DE JANDAIRA";5;-;86;197;341;282;253;455;495;465;469;426;346;454;325;289;254;-;5142
"250060 ALHANDRA";344;561;1251;2301;2526;2356;2213;2380;2395;2851;2047;2393;2498;2566;3695;3142;3121;1689;40329
"250070 SAO JOAO DO RIO DO PEIXE";12;-;42;848;1396;1216;1109;1534;1580;1468;1217;1097;1402;1594;1255;1311;731;-;17812
"250073 AMPARO";29;48;178;357;595;190;82;244;271;303;345;161;187;159;229;246;235;206;4065
"250077 APARECIDA";35;165;154;258;362;499;652;836;805;880;810;665;840;760;842;822;775;263;10423
"250080 ARACAGI";-;-;1;545;366;479;917;1360;1842;1870;1270;1809;1591;1842;1746;1623;1044;-;18305
"250090 ARARA";-;57;337;680;966;993;910;1425;1296;1483;1178;1323;1279;1325;1033;1154;185;-;15624
"250100 ARARUNA";-;-;-;2057;2501;1964;2012;2058;1847;1495;916;1347;1631;1116;1210;1439;532;-;22125
"250110 AREIA";-;326;1238;2259;2245;2721;2602;2907;3831;2820;2288;2329;2550;2212;1959;2561;2491;2139;39478
"250115 AREIA DE BARAUNAS";86;113;326;250;216;219;211;156;139;207;260;303;195;146;203;218;94;-;3342
"250120 AREIAL";494;760;1042;928;851;869;913;1043;837;770;777;795;964;728;875;808;825;274;14553
"250130 AROEIRAS";-;769;425;457;1028;1482;1391;1610;1971;2139;1618;1771;2209;1924;1565;1944;2217;314;24834
"250135 ASSUNCAO";39;-;-;123;241;337;311;348;525;598;665;594;512;598;526;529;483;172;6601
"250140 BAIA DA TRAICAO";14;207;393;812;547;499;282;632;559;347;391;644;812;983;640;447;592;60;8861
"250150 BANANEIRAS";-;-;-;-;1073;2261;2550;2765;2572;2675;2484;2136;2005;1953;2132;2074;926;-;27606
"250153 BARAUNA";-;81;135;272;462;502;592;612;569;571;567;562;641;607;795;664;404;-;8036
"250157 BARRA DE SANTANA";-;-;120;829;927;745;798;1254;1254;981;1005;1020;1070;931;1074;733;879;763;14383
"250160 BARRA DE SANTA ROSA";-;510;1154;1514;1814;1451;1281;1592;1460;1602;1489;1483;1530;1689;1499;1328;407;-;21803
"250170 BARRA DE SAO MIGUEL";10;117;296;438;540;500;441;524;501;615;425;556;363;521;770;608;453;521;8199
"250180 BAYEUX";-;-;153;2413;3927;6513;9731;9520;7487;9179;8805;8618;8781;8210;7404;7307;7578;3308;108934
"250190 BELEM";-;-;96;1143;862;1730;1652;1901;2245;1909;1874;2053;1871;1680;1913;1983;1640;-;24552
"250200 BELEM DO BREJO DO CRUZ";-;186;741;788;717;714;883;823;790;794;608;1056;971;848;827;692;910;400;12748
"250205 BERNARDINO BATISTA";36;-;-;237;324;391;518;468;415;491;369;478;394;469;488;599;349;-;6026
"250210 BOA VENTURA";-;-;-;662;520;404;501;921;735;545;531;583;418;392;470;395;656;405;8138
"250215 BOA VISTA";16;343;615;791;819;767;594;670;775;909;650;897;781;759;830;835;793;239;12083
"250220 BOM JESUS";32;74;58;167;-;146;231;221;251;224;172;254;771;190;140;262;334;140;3667
"250230 BOM SUCESSO";-;237;200;505;321;350;252;392;377;359;356;491;409;411;268;368;327;406;6029
"250240 BONITO DE SANTA FE";-;-;307;792;580;676;969;1199;1360;1237;1077;1707;1356;1488;1145;1216;545;-;15654
"250250 BOQUEIRAO";53;594;933;1539;1507;1637;1782;2122;2161;2348;2109;2467;2110;2671;1507;1843;1299;-;28682
"250260 IGARACY";-;-;225;688;822;630;548;853;1023;1112;1010;146;210;448;107;227;25;58;8132
"250270 BORBOREMA";-;-;-;447;387;346;987;504;489;489;350;520;447;532;449;337;301;-;6585
"250280 BREJO DO CRUZ";-;272;186;893;923;1176;1511;1691;1682;1654;2664;1941;1665;1518;1306;1590;922;-;21594
"250290 BREJO DOS SANTOS";19;45;161;648;391;447;578;599;905;861;960;642;509;553;620;448;423;391;9200
"250300 CAAPORA";1171;2217;2680;3174;3156;3307;3058;3636;2962;3831;3092;3152;3398;3903;4033;4407;3683;3725;58585
"250310 CABACEIRAS";-;-;-;328;475;503;531;614;664;765;719;681;552;511;442;538;313;-;7636
"250320 CABEDELO";22;220;1082;3939;4960;6067;7040;7204;6723;7004;6362;6033;7258;6910;6624;6925;3741;-;88114
"250330 CACHOEIRA DOS INDIOS";487;787;672;775;921;1021;1200;890;892;1038;765;1019;950;925;887;924;467;-;14620
"250340 CACIMBA DE AREIA";279;286;315;286;409;434;406;446;883;590;404;486;536;274;285;334;236;-;6889
"250350 CACIMBA DE DENTRO";-;-;-;-;-;-;114;1919;2104;2717;1647;1811;1802;1254;1641;1530;884;-;17423
"250355 CACIMBAS";900;849;1039;1119;1179;873;1138;1092;971;943;967;1087;873;927;722;854;455;-;15988
"250360 CAICARA";-;-;-;41;674;788;859;885;781;1049;1046;803;627;694;753;761;545;-;10306
"250370 CAJAZEIRAS";-;-;441;3748;4398;4902;5422;5635;6213;5451;4803;5556;5994;6157;5868;5927;2943;-;73458
"250375 CAJAZEIRINHAS";105;222;477;238;372;327;307;810;543;390;431;369;452;421;358;355;457;469;7103
"250380 CALDAS BRANDAO";-;-;-;42;451;278;321;461;676;525;749;703;567;587;589;573;885;891;8298
"250390 CAMALAU";141;346;382;319;555;708;622;656;713;618;581;690;620;441;489;588;304;-;8773
"250400 CAMPINA GRANDE";1983;10174;10292;14904;14445;14545;17917;17419;15950;23252;20401;20778;16340;18017;20479;18379;12565;-;267840
"250403 CAPIM";132;380;334;765;706;773;634;775;925;722;549;712;3100;613;409;598;343;-;12470
"250407 CARAUBAS";67;143;-;391;267;352;318;481;460;402;467;462;457;877;1080;411;459;232;7326
"250410 CARRAPATEIRA";-;59;157;133;106;99;48;190;300;219;292;238;253;303;121;198;185;51;2952
"250415 CASSERENGUE";-;-;-;861;675;892;1029;875;879;735;781;753;820;766;668;647;382;-;10763
"250420 CATINGUEIRA";168;12;129;348;419;679;496;1657;866;758;362;551;586;569;495;393;238;-;8726
"250430 CATOLE DO ROCHA";131;597;1316;1905;2287;2629;3020;3066;3200;3119;3353;2804;2496;3043;2323;3008;3190;2652;44139
"250435 CATURITE";87;247;514;630;732;601;568;619;657;619;681;576;552;546;522;507;243;-;8901
"250440 CONCEICAO";-;-;-;692;1299;1081;1376;1761;1820;2190;2009;1668;1605;1101;1164;1704;2157;2418;24045
"250450 CONDADO";276;193;228;1099;714;1480;968;1068;841;1091;800;620;676;622;653;578;765;256;12928
"250460 CONDE";-;164;696;1390;1462;2296;2437;2630;3328;3664;2954;2994;3282;3348;3582;3278;1699;-;39204
"250470 CONGO";162;309;238;395;316;308;233;466;567;574;314;688;559;689;636;512;396;-;7362
"250480 COREMAS";-;-;-;593;1237;1112;1114;1599;1311;1399;1366;1154;1214;1176;1215;1371;628;-;16489
"250485 COXIXOLA";21;13;-;-;11;3;79;185;211;188;121;176;104;128;89;186;68;-;1583
"250490 CRUZ DO ESPIRITO SANTO";55;-;477;1437;1718;1944;2011;2460;2562;2242;1915;2174;2147;1919;2122;1839;1043;-;28065
"250500 CUBATI";-;771;649;959;759;905;772;1047;966;1204;979;837;768;751;685;937;926;912;14827
"250510 CUITE";192;-;1705;2075;2094;1904;2052;2282;2297;2171;1867;1950;2214;1729;1725;1955;2159;2253;32624
"250520 CUITEGI";-;-;89;654;678;613;766;980;794;851;690;749;765;650;824;801;649;-;10553
"250523 CUITE DE MAMANGUAPE";-;157;578;515;539;443;471;1432;778;830;722;709;700;611;741;498;236;-;9960
"250527 CURRAL DE CIMA";111;507;801;628;847;574;620;605;778;769;543;452;549;623;585;573;493;507;10565
"250530 CURRAL VELHO";-;-;-;162;166;465;212;300;363;302;287;294;243;325;199;317;259;311;4205
"250535 DAMIAO";-;-;-;158;381;519;612;628;762;760;462;701;650;573;478;457;270;-;7411
"250540 DESTERRO";380;556;656;741;797;808;1129;927;796;904;489;854;688;741;648;780;392;-;12286
"250550 VISTA SERRANA";268;297;359;354;326;276;542;262;178;300;319;334;247;180;222;183;-;-;4647
"250560 DIAMANTE";-;-;-;252;357;693;596;764;676;774;728;582;654;620;594;528;370;731;8919
"250570 DONA INES";-;-;33;319;193;217;574;705;807;1265;1252;966;1077;1193;722;1160;762;-;11245
"250580 DUAS ESTRADAS";-;-;-;283;385;320;360;354;312;373;305;514;346;332;350;371;380;-;4985
"250590 EMAS";152;205;252;349;305;322;302;352;382;359;485;282;266;391;254;237;189;76;5160
"250600 ESPERANCA";402;1001;1151;1635;1967;2765;3594;3707;3487;3914;3622;3512;3775;3710;3822;3711;1968;-;47743
"250610 FAGUNDES";-;-;246;874;1356;1548;1603;1476;1441;1625;1607;1264;1246;1083;1323;2627;1067;-;20386
"250620 FREI MARTINHO";22;36;114;316;320;431;397;425;364;459;425;349;369;268;393;342;359;274;5663
"250625 GADO BRAVO";65;451;427;729;580;591;653;1050;925;842;846;980;977;819;683;821;884;815;13138
"250630 GUARABIRA";-;-;-;2322;3985;4947;4252;6031;6016;6340;6213;5333;6274;6186;6232;5892;4445;90;74558
"250640 GURINHEM";-;-;107;1040;1537;1476;1246;1543;1871;1526;1624;1286;1274;1276;1417;1620;1637;1738;22218
"250650 GURJAO";324;336;307;327;447;319;312;312;259;278;305;833;274;278;297;208;227;314;5957
"250660 IBIARA";-;-;98;421;532;499;423;621;678;550;531;568;685;623;702;494;440;480;8345
"250670 IMACULADA";279;1205;131;1092;1219;1257;1194;1828;1515;1558;1311;967;916;1011;824;949;751;939;18946
"250680 INGA";-;-;-;989;1856;1933;2309;2314;2184;2694;2274;2003;1683;1695;1509;1844;1584;1910;28781
"250690 ITABAIANA";-;351;326;833;1025;1543;2025;1614;1980;2208;1832;1856;1722;1704;1695;2655;1923;3385;28677
"250700 ITAPORANGA";-;-;-;910;2418;1982;1893;2542;2326;2616;2277;2278;2361;2222;1987;1908;2418;466;30604
"250710 ITAPOROROCA";60;804;358;1574;1785;1365;1168;1378;1587;2081;1648;1795;5570;1173;1254;1960;688;-;26248
"250720 ITATUBA";-;325;669;689;854;783;823;1069;1202;1398;1592;1223;1056;829;844;1032;861;1060;16309
"250730 JACARAU";96;134;630;1530;1590;1660;1657;1887;2417;1996;1935;2041;2945;2065;2277;1493;710;-;27063
"250740 JERICO";92;502;439;424;-;537;745;762;614;795;588;716;558;781;773;1057;605;-;9988
"250750 JOAO PESSOA";-;-;2411;2079;6026;12336;28888;34112;39302;44420;43990;42032;47031;47374;53678;45581;23126;-;472386
"250760 JUAREZ TAVORA";-;-;-;287;764;962;584;990;785;949;908;628;666;816;783;797;819;718;11456
"250770 JUAZEIRINHO";-;381;1245;1556;1793;1924;2171;2477;2532;2583;2315;2205;2352;2734;2375;2185;2157;-;32985
"250780 JUNCO DO SERIDO";479;487;484;1032;1135;943;829;1129;999;927;616;1193;1174;973;942;1168;468;-;14978
"250790 JURIPIRANGA";-;-;-;823;960;1232;1236;1377;1383;2595;1336;947;913;1214;1280;1454;676;-;17426
"250800 JURU";-;-;60;726;702;900;740;1223;886;901;895;829;4280;747;724;681;893;1004;16191
"250810 LAGOA";-;-;68;238;339;308;357;518;532;610;494;454;413;728;657;638;270;-;6624
"250820 LAGOA DE DENTRO";-;-;20;353;558;766;628;1119;1020;1039;1139;819;800;862;820;706;423;-;11072
"250830 LAGOA SECA";-;43;309;1006;2472;2292;2758;2547;2509;2810;2999;3154;3353;3179;2663;3463;3259;476;39292
"250840 LASTRO";-;55;-;249;765;309;213;479;380;452;511;501;333;249;321;200;264;-;5281
"250850 LIVRAMENTO";184;343;175;-;490;708;928;823;941;930;651;872;684;616;495;594;797;374;10605
"250855 LOGRADOURO";-;-;-;130;217;381;463;452;484;477;500;493;621;604;596;582;367;-;6367
"250860 LUCENA";70;432;596;697;1092;970;1143;1230;1470;1670;1539;1615;1672;1909;1688;1637;1768;784;21982
"250870 MAE D'AGUA";190;209;297;317;376;361;369;279;480;460;414;300;547;427;412;488;201;-;6127
"250880 MALTA";318;310;398;474;615;461;508;533;662;760;656;603;450;598;512;670;621;279;9428
"250890 MAMANGUAPE";315;1802;2158;3994;4857;3865;4297;4812;4349;4834;5301;4644;4555;4454;5259;4119;2434;-;66049
"250900 MANAIRA";-;-;-;537;400;462;709;919;1324;1376;1610;1272;1216;1154;972;1092;589;-;13632
"250905 MARCACAO";24;333;415;586;619;758;764;874;818;858;488;906;4398;818;2853;781;570;-;16863
"250910 MARI";476;1939;1105;1268;1231;1411;2309;2468;2571;2515;2507;2764;2427;2240;2507;2276;1954;-;33968
"250915 MARIZOPOLIS";15;103;136;99;411;373;328;480;708;791;681;680;618;591;692;704;327;-;7737
"250920 MASSARANDUBA";-;-;-;-;1137;1362;1201;1462;1146;1470;1119;1409;1656;1408;1298;1517;1616;1300;19101
"250930 MATARACA";213;217;306;584;598;690;631;1186;1129;1409;1236;1172;1225;981;863;966;556;-;13962
"250933 MATINHAS";-;-;-;-;-;402;572;679;621;656;486;559;490;487;373;397;276;-;5998
"250937 MATO GROSSO";-;43;75;145;224;241;333;288;213;240;264;232;200;209;303;182;859;215;4266
"250939 MATUREIA";174;457;444;742;737;833;824;978;929;908;688;849;761;605;669;692;900;934;13124
"250940 MOGEIRO";-;-;85;1143;1320;1123;1521;1255;1218;1415;1400;1263;999;1049;1293;1475;1531;1770;19860
"250950 MONTADAS";-;-;306;698;787;872;864;797;783;566;498;600;511;631;693;907;872;919;11304
"250960 MONTE HOREBE";-;23;47;302;210;462;453;755;722;646;433;607;716;845;476;463;356;-;7516
"250970 MONTEIRO";1238;1416;1899;2236;3011;2803;2974;3153;3114;3444;2728;2933;3316;3270;3231;2911;3313;1396;48386
"250980 MULUNGU";-;-;-;705;1148;766;889;916;1025;810;1055;797;742;780;834;883;506;-;11856
"250990 NATUBA";298;494;342;576;732;891;938;1052;952;804;609;1033;796;1198;734;156;683;801;13089
"251000 NAZAREZINHO";231;107;121;379;478;535;753;884;639;647;480;693;344;506;738;655;704;-;8894
"251010 NOVA FLORESTA";-;-;597;1200;1108;1114;1134;1299;1142;1353;1335;1223;1532;1565;1457;1215;1366;-;18640
"251020 NOVA OLINDA";-;-;-;696;990;842;899;902;901;811;610;584;836;843;787;441;200;-;10342
"251030 NOVA PALMEIRA";-;-;-;482;542;494;486;462;550;494;520;450;334;290;289;331;215;-;5939
"251040 OLHO D'AGUA";-;-;-;580;543;586;535;479;481;260;189;565;580;537;593;618;657;429;7632
"251050 OLIVEDOS";81;301;-;-;231;309;395;422;309;348;267;274;265;342;408;408;375;311;5046
"251060 OURO VELHO";72;194;19;218;256;249;238;202;217;372;423;326;340;341;332;183;236;279;4497
"251065 PARARI";20;57;-;123;212;279;187;219;193;180;181;167;142;113;127;210;192;189;2791
"251070 PASSAGEM";184;162;290;257;272;248;159;337;446;426;245;232;278;374;136;318;217;87;4668
"251080 PATOS";2169;3344;3439;4567;4720;5187;5848;10022;12475;12993;12542;11913;11207;12166;12014;11325;2878;-;138809
"251090 PAULISTA";126;710;622;1091;1134;952;771;917;938;859;795;963;549;897;789;1035;1028;1100;15276
"251100 PEDRA BRANCA";-;-;-;273;241;291;450;530;442;475;497;436;545;290;360;311;-;-;5141
"251110 PEDRA LAVRADA";-;-;178;1372;948;780;814;1133;893;1146;1063;1112;1174;898;978;954;526;-;13969
"251120 PEDRAS DE FOGO";-;-;599;2198;2583;2767;3394;3441;4048;4349;4339;3949;3905;4139;3082;3287;2122;-;48202
"251130 PIANCO";-;393;819;2398;2504;2207;1861;1752;1680;1638;2117;2554;1703;1670;1408;1950;1669;1898;30221
"251140 PICUI";-;-;226;806;2142;2594;2375;2402;2753;2568;2388;2663;2409;2368;2263;1790;975;-;30722
"251150 PILAR";-;-;441;896;1195;1074;1318;1477;1295;1449;1197;1354;1262;1514;1555;1109;1704;1657;20497
"251160 PILOES";-;-;-;346;735;939;701;1210;1382;1296;1019;1034;988;996;995;1035;793;-;13469
"251170 PILOEZINHOS";-;-;-;574;652;620;725;730;579;482;466;600;512;525;597;650;456;-;8168
"251180 PIRPIRITUBA";-;-;-;744;1098;1530;1180;1152;1242;1135;1464;862;998;1023;1062;867;963;-;15320
"251190 PITIMBU";67;423;775;1409;1469;1554;1565;1554;1577;2057;1803;1374;2510;1318;1252;2128;951;-;23786
"251200 POCINHOS";-;-;145;1183;2280;2613;2899;3008;2541;2864;3450;2821;2722;3102;2237;2660;2465;892;37882
"251203 POCO DANTAS";9;64;239;303;288;414;395;460;412;642;398;539;530;499;361;424;231;-;6208
"251207 POCO DE JOSE DE MOURA";-;207;179;545;362;303;366;457;347;404;290;295;297;315;348;328;164;-;5207
"251210 POMBAL";361;806;1426;1570;1607;1544;1837;2471;2857;2273;2603;2549;2136;2530;2696;2572;1718;-;33556
"251220 PRATA";80;278;212;480;433;758;398;514;492;615;753;717;357;461;463;381;128;-;7520
