 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2011
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110001 ALTA FLORESTA D'OESTE";6918;1553;5332;33;3878;2936;104;1302;5294;322;1635;80;37;5101;58;7;3447;53;2598;820;6397;-;-
"110002 ARIQUEMES";16912;5594;10796;522;13867;2668;377;289;16065;558;7140;31;20;9188;71;462;5573;276;6933;4130;15898;4;4
"110003 CABIXI";1855;420;1426;9;874;944;37;9;1826;20;452;-;2;1400;1;-;485;34;1221;115;1827;-;-
"110004 CACOAL";16452;12316;4023;113;12184;3808;460;4094;11845;513;6967;102;67;9122;148;46;12200;188;2119;1945;15715;-;-
"110005 CEREJEIRAS";5209;1733;3469;7;3972;1127;110;9;5088;112;1240;7;8;3936;17;1;1794;44;1434;1937;5162;-;-
"110006 COLORADO DO OESTE";4787;3235;1532;20;3611;1117;59;40;4487;260;1251;31;36;3406;47;16;2842;54;983;908;4669;-;-
"110007 CORUMBIARA";2366;182;2173;11;758;1477;131;16;2238;112;491;2;56;1803;14;-;1049;65;450;802;2150;-;-
"110009 ESPIGAO D'OESTE";4152;1149;2985;18;2419;1569;164;98;3748;306;1123;12;14;2980;20;3;2162;37;776;1177;3754;-;-
"110010 GUAJARA-MIRIM";7735;3796;3665;274;6394;1196;145;742;6280;713;3613;41;39;3906;31;105;2576;128;4298;733;7185;-;-
"110011 JARU";18632;3395;15171;66;13293;5223;116;315;17726;591;5936;75;140;12148;304;29;7250;505;8931;1946;18281;-;-
"110012 JI-PARANA";10968;2562;8313;93;8655;2216;97;198;10221;549;4130;53;51;6565;130;39;5619;204;2635;2510;10570;-;-
