 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2014
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110070 CAMPO NOVO DE RONDONIA";3043;491;2525;27;679;2263;101;-;2850;193;361;5;20;2635;18;4;701;15;2104;223;2396;559;559
"110080 CANDEIAS DO JAMARI";4410;1943;2459;8;1958;2450;2;29;4316;65;1454;12;9;2883;29;23;1336;59;2120;895;4096;63;67
"110090 CASTANHEIRAS";1021;198;820;3;269;732;20;31;972;18;202;5;10;793;10;1;524;18;317;162;989;65;10
"110092 CHUPINGUAIA";2803;1809;882;112;1677;1074;52;164;2567;72;436;1;15;2319;21;11;785;21;399;1598;2370;187;190
"110094 CUJUBIM";4721;240;4461;20;2637;1971;113;20;4622;79;341;6;4;4308;52;10;900;67;2774;980;3974;91;8
"110100 GOVERNADOR JORGE TEIXEIRA";1574;2;1568;4;702;859;13;5;1559;10;354;6;8;1198;6;2;568;17;941;48;1538;194;136
"110130 MIRANTE DA SERRA";2895;340;2553;2;1381;1489;25;8;2856;31;724;3;4;2144;19;1;882;31;1766;216;2800;50;9
"110140 MONTE NEGRO";2108;473;1632;3;661;1431;16;104;1986;18;403;5;22;1655;19;4;301;21;1633;153;1991;199;184
"110143 NOVA UNIAO";1564;93;1450;21;251;1132;181;7;1343;214;489;6;7;988;68;6;781;16;425;342;1389;1;8
"110145 PARECIS";1108;440;648;20;504;577;27;8;1016;84;131;-;9;962;5;1;645;9;308;146;1060;317;324
"110147 PRIMAVERA DE RONDONIA";1127;562;564;1;494;627;6;2;1112;13;358;-;2;759;8;-;517;1;405;204;1106;181;210
"110149 SAO FRANCISCO DO GUAPORE";4473;3;4459;11;2194;2224;55;22;4285;166;420;5;7;4025;13;3;459;35;3859;120;3962;328;321
"110150 SERINGUEIRAS";3459;352;3103;4;1410;1980;69;62;3313;84;582;7;3;2854;13;-;720;20;2572;147;3255;565;405
"110155 TEIXEIROPOLIS";1535;124;1409;2;584;934;17;5;1494;36;653;2;5;871;4;-;840;10;278;407;1513;288;226
"110160 THEOBROMA";2863;243;2609;11;562;2214;87;9;2783;71;495;6;10;2299;26;27;1027;28;1579;229;2648;458;148
"110170 URUPA";3038;408;2620;10;988;1926;124;14;2933;91;879;4;1;2140;9;5;1307;88;1221;422;2782;803;27
"110175 VALE DO ANARI";2737;841;1878;18;127;2493;117;52;2479;206;231;2;9;2434;57;4;1750;68;861;58;2318;243;13
"110180 VALE DO PARAISO";2750;52;2690;8;795;1908;47;26;2672;52;991;8;6;1704;38;3;1227;38;1300;185;2620;369;238
"120001 ACRELANDIA";3859;1183;2641;35;1956;1806;97;75;3432;352;707;14;22;2971;48;97;697;49;2485;628;3699;45;59
"120005 ASSIS BRASIL";2004;933;934;137;1028;798;178;53;1271;680;210;2;7;1689;34;62;790;33;591;590;1594;294;340
"120010 BRASILEIA";5479;3020;2459;-;3490;1787;202;828;3451;1200;1470;6;-;4001;2;-;2668;31;2412;368;4688;937;118
"120017 CAPIXABA";2217;965;1178;74;1099;1055;63;12;1745;460;410;6;10;1764;16;11;335;8;1673;201;2002;451;433
"120020 CRUZEIRO DO SUL";15549;8480;6203;866;10030;3434;2085;17;10388;5144;3825;49;38;11148;54;435;936;145;13098;1370;14040;3159;3189
"120025 EPITACIOLANDIA";4165;2707;1391;67;2946;1095;124;33;3840;292;818;4;7;3308;8;20;1542;36;2451;136;3859;340;290
"120032 JORDAO";1316;725;474;117;701;259;356;8;713;595;31;31;67;1166;15;6;81;5;1183;47;840;478;568
"120033 MANCIO LIMA";3562;1866;1525;171;1798;1276;488;110;3025;427;676;26;20;2819;14;7;161;15;2418;968;3057;19;10
"120034 MANOEL URBANO";2084;1140;894;50;1069;532;483;23;1033;1028;155;13;54;1603;7;252;104;11;1123;846;1487;-;3
"120035 MARECHAL THAUMATURGO";3165;1022;1957;186;956;1410;799;7;1923;1235;9;-;1;3126;5;24;40;2;3032;91;1581;19;16
"120038 PLACIDO DE CASTRO";4855;1872;2910;73;2802;1963;90;113;4200;542;1245;15;17;3500;41;37;382;35;4256;182;4660;456;459
"120039 PORTO WALTER";1731;992;307;432;642;390;699;3;733;995;78;2;4;1640;6;1;61;2;1476;192;1187;681;1500
"120040 RIO BRANCO";90454;54399;34126;1929;82538;4853;3063;31103;35080;24271;33919;442;376;50000;619;5098;14393;950;56952;18159;88832;4938;1073
"120042 RODRIGUES ALVES";2952;1383;1258;311;1254;1046;652;39;1814;1099;704;15;20;2148;40;25;87;21;2320;524;2423;154;151
"120043 SANTA ROSA DO PURUS";980;479;409;92;496;25;459;3;242;735;27;4;23;606;6;314;147;18;106;709;509;127;100
"120045 SENADOR GUIOMARD";5467;1130;4251;86;3232;2098;137;49;4762;656;936;18;22;4332;84;75;638;32;4350;447;4719;7;384
"120050 SENA MADUREIRA";8436;3742;4633;61;6110;1784;542;2;7229;1205;2474;1;1;5960;-;-;121;14;8191;110;6955;2126;91
"120060 TARAUACA";6878;3654;2411;813;3794;1280;1804;17;2379;4482;525;18;43;5716;76;500;536;38;4850;1454;5185;169;63
"120080 PORTO ACRE";4125;972;2995;158;1914;2042;169;31;3132;962;529;5;23;3523;32;13;458;37;3448;182;3581;522;678
"130002 ALVARAES";2745;1580;796;369;1435;1114;196;7;1720;1018;387;2;10;2327;19;-;57;10;2214;464;2671;1043;528
"130006 AMATURA";1495;1210;242;43;1179;256;60;1;771;723;412;3;3;1075;2;-;10;2;1481;2;1280;471;474
"130008 ANAMA";1642;674;909;59;597;799;246;26;758;858;2;2;8;1628;2;-;80;2;1361;199;1366;-;-
"130010 ANORI";2676;1977;116;583;1709;782;185;17;2029;630;615;49;9;1948;55;-;61;38;2286;291;2431;-;-
"130014 APUI";3734;583;3029;122;2302;1336;96;34;3526;174;491;8;15;3155;43;22;1219;43;2270;202;3223;-;-
"130020 ATALAIA DO NORTE";2166;1709;117;340;1284;530;352;242;860;1064;268;22;9;1648;40;179;102;9;1807;248;1964;730;724
"130030 AUTAZES";7142;1276;4803;1063;3639;3333;170;142;6463;537;1466;22;18;5543;43;50;140;502;6286;214;5264;2131;2308
"130040 BARCELOS";3292;2451;311;530;2479;640;173;39;2593;660;775;40;21;2393;30;33;75;48;2496;673;2868;-;-
"130050 BARREIRINHA";5687;3413;1663;611;2060;3604;23;27;5610;50;554;25;37;4962;44;65;12;18;5553;104;4997;2178;189
"130060 BENJAMIN CONSTANT";4233;2958;183;1092;3226;802;205;35;2281;1917;587;1;6;3631;8;-;117;31;4058;27;4049;1387;842
"130063 BERURI";3159;1856;305;998;1465;1168;526;11;2134;1014;6;4;-;3143;3;3;28;8;2954;169;2972;356;42
"130068 BOA VISTA DO RAMOS";2942;1735;1082;125;1270;1575;97;49;2753;140;211;47;29;2579;29;47;283;237;2289;133;1871;381;370
"130070 BOCA DO ACRE";6359;4450;1388;521;4529;1502;328;713;4815;831;319;1;4;5925;8;102;3209;64;1559;1527;5449;539;29
"130080 BORBA";6775;3953;1111;1711;3846;2537;392;97;5069;1609;1798;36;32;4816;46;47;207;55;5815;698;4538;1842;1464
"130083 CAAPIRANGA";2511;582;1632;297;1054;1375;82;5;1493;1013;344;1;4;2149;10;3;37;4;2388;82;2228;416;419
"130090 CANUTAMA";2411;1916;271;224;1601;456;354;93;1229;1089;51;2;8;2330;14;6;21;17;2204;169;2263;291;142
"130100 CARAUARI";5683;4171;918;594;4343;950;390;1347;3441;895;1431;5;19;3914;100;214;106;43;5221;313;5260;445;457
"130110 CAREIRO";6328;2706;2534;1088;2817;3384;127;61;4796;1471;681;25;15;5121;43;443;261;41;4886;1140;5801;1653;1671
"130115 CAREIRO DA VARZEA";5092;380;1790;2922;246;3949;897;52;2615;2425;11;5;38;5012;13;13;416;45;2421;2210;3396;541;22
"130120 COARI";14606;3467;8553;2586;9071;5107;428;7434;4059;3113;4391;81;90;9968;54;22;1155;183;10685;2583;10913;3608;2462
"130130 CODAJAS";4006;2914;411;681;2488;1024;494;968;1221;1817;1319;9;16;2622;31;9;856;79;2585;486;3359;752;754
"130140 EIRUNEPE";6215;2612;2933;670;2269;3014;932;354;3814;2047;814;11;12;5325;33;20;360;41;3938;1876;5065;2219;2234
"130160 FONTE BOA";4385;2726;158;1501;2655;1322;408;15;3069;1301;570;11;5;3784;15;-;13;24;4241;107;3603;387;290
"130165 GUAJARA";3067;1207;1555;305;1467;794;806;19;2127;921;238;9;35;2744;24;17;36;2;2549;480;2109;53;45
"130170 HUMAITA";9967;7842;1310;815;7312;2378;277;524;7055;2388;4036;28;31;5788;26;58;2090;82;1654;6141;8986;2752;13
"130180 IPIXUNA";2794;1500;279;1015;977;643;1174;149;751;1894;295;9;26;2340;73;51;109;18;1006;1661;2263;1376;777
"130185 IRANDUBA";14324;6918;5852;1554;8856;5302;166;220;11716;2388;7344;143;46;6664;90;37;691;2863;10044;726;13594;2441;393
"130190 ITACOATIARA";21787;13078;6289;2420;12961;8492;334;783;19275;1729;9233;101;112;12166;84;91;1991;850;17043;1903;17065;2047;1287
"130195 ITAMARATI";1365;664;350;351;571;343;451;78;640;647;39;-;2;1320;3;1;19;6;1019;321;1124;-;-
"130200 ITAPIRANGA";2031;1638;269;124;1616;408;7;-;2000;31;808;1;1;1209;6;6;8;1;2020;2;1815;797;83
"130210 JAPURA";1619;817;253;549;468;497;654;6;336;1277;94;8;7;1413;89;8;151;20;1006;442;1383;-;1
"130220 JURUA";1914;1040;296;578;858;557;499;297;292;1325;92;19;27;1759;10;7;49;16;1197;652;1648;95;93
"130230 JUTAI";598;483;114;1;113;376;109;5;590;3;41;-;2;554;1;-;-;3;588;7;598;-;-
"130240 LABREA";7737;2256;4432;1049;5631;1246;860;1267;3245;3225;1150;78;38;6392;53;26;457;58;6490;732;6830;1734;5026
"130250 MANACAPURU";21269;12415;5756;3098;13142;7694;433;1095;17581;2593;8522;64;39;11976;65;603;2151;743;7360;11015;16950;4105;724
"130255 MANAQUIRI";3340;820;2447;73;821;2508;11;-;915;2425;320;-;9;2971;10;30;8;-;3330;2;3275;1246;1247
"130260 MANAUS";147760;120195;24786;2706;139798;5750;2130;47764;71001;28900;115414;897;314;29481;552;989;42003;3175;23634;78809;144144;6681;7522
"130270 MANICORE";4809;2997;1676;136;3599;1145;65;47;4281;481;2736;21;16;1979;11;46;704;50;3255;800;4617;738;618
"130280 MARAA";2716;1288;397;1031;826;1430;460;319;979;1418;287;20;12;2376;11;10;169;23;1982;542;2352;590;522
"130290 MAUES";9704;5451;832;3421;5020;4684;-;-;9704;-;2802;-;-;6902;-;-;-;-;9704;-;6538;3333;2733
"130300 NHAMUNDA";4622;2815;858;949;1738;2267;617;1;4529;92;923;56;96;3271;71;205;148;45;2926;1503;3270;1713;1786
"130310 NOVA OLINDA DO NORTE";5123;3387;759;977;3370;1743;10;19;3920;1184;982;48;6;3949;17;121;4;1;5108;10;4149;2126;2142
"130320 NOVO AIRAO";2906;1425;1327;154;2448;421;37;241;2261;404;1278;23;6;1518;9;72;303;42;2473;88;2755;-;-
"130330 NOVO ARIPUANA";3652;1161;1931;560;1608;1646;398;232;2769;651;652;24;11;2905;29;31;311;104;2831;406;2967;290;292
"130340 PARINTINS";18892;14562;3055;1275;12980;5838;74;683;17746;463;7366;133;123;11055;110;105;1084;99;14176;3533;15562;658;594
"130350 PAUINI";2682;1612;518;552;1576;587;519;26;2026;630;123;1;5;2425;97;31;75;38;2151;418;2088;-;-
"130353 PRESIDENTE FIGUEIREDO";8019;4288;3414;317;5068;2863;88;1559;5455;1005;2970;16;25;4932;41;35;514;61;6638;806;7402;1402;1352
"130356 RIO PRETO DA EVA";5667;2347;3204;116;2441;3180;46;33;5416;218;2233;21;8;3228;45;132;342;45;4518;762;5166;747;1350
"130360 SANTA ISABEL DO RIO NEGRO";1655;1131;235;289;1101;426;128;22;1167;466;649;36;59;820;65;26;45;10;818;782;1294;570;504
"130370 SANTO ANTONIO DO ICA";4633;1454;2923;256;2200;2063;370;103;4366;164;819;8;2;3798;6;-;22;186;4341;84;4472;2090;2021
"130380 SAO GABRIEL DA CACHOEIRA";7107;3880;1592;1635;5018;747;1342;8;4473;2626;3035;176;877;2805;44;170;182;69;3806;3050;5406;1394;88
"130390 SAO PAULO DE OLIVENCA";4828;2893;1448;487;20;4216;592;88;2738;2002;450;1;18;4332;12;15;26;27;4577;198;3998;40;1
"130395 SAO SEBASTIAO DO UATUMA";1857;1523;132;202;1297;542;18;42;1447;368;686;8;2;1145;5;11;18;3;1161;675;1607;406;85
"130400 SILVES";2068;966;907;195;996;1062;10;4;2023;41;517;5;4;1522;12;8;35;8;1951;74;1432;549;584
"130406 TABATINGA";9020;4124;4463;433;8297;469;254;645;7277;1098;5349;53;28;3505;70;15;347;102;8021;550;8786;1521;1526
"130410 TAPAUA";3865;2826;155;884;2779;776;310;26;2304;1535;295;3;12;3475;28;52;20;4;3547;294;3410;1368;1371
"130420 TEFE";11427;8313;2467;647;7756;3131;540;1754;6028;3645;3861;141;81;7020;241;83;1077;166;8808;1376;10489;1886;1599
"130423 TONANTINS";5895;296;4782;817;1752;3126;1017;38;5380;477;232;6;11;5557;18;71;284;2907;1849;855;2933;-;-
"130426 UARINI";2682;1833;411;438;1799;732;151;879;1235;568;632;2;10;2013;25;-;202;224;2045;211;2569;375;329
"130430 URUCARA";3042;2541;419;82;2317;707;18;29;2358;655;1509;12;11;1358;10;142;104;3;2833;102;2882;1225;1258
"130440 URUCURITUBA";4547;2504;454;1589;2333;2026;188;36;4339;172;508;2;17;3947;30;43;191;52;1754;2550;2937;490;489
"140002 AMAJARI";1533;637;782;114;560;777;196;10;1076;447;724;76;50;617;27;39;587;15;522;409;875;134;137
"140005 ALTO ALEGRE";3340;1758;1515;67;1386;1536;418;206;2688;446;1420;91;47;1744;20;18;929;47;924;1440;2456;418;370
"140010 BOA VISTA";55113;54111;452;550;54163;416;534;7053;46891;1169;49413;121;38;5337;94;110;8828;927;15078;30280;54552;661;700
"140015 BONFIM";1657;1148;506;3;837;784;36;3;1266;388;1222;35;18;359;20;3;124;9;1172;352;1421;788;776
"140020 CARACARAI";4033;2720;1170;143;2470;1428;135;1824;1611;598;2171;33;29;1724;47;29;438;43;1110;2442;3637;844;889
"140023 CAROEBE";1667;878;782;7;813;805;49;114;1332;221;644;18;4;1000;-;1;161;6;1422;78;1636;388;389
"140028 IRACEMA";2168;1685;462;21;1471;617;80;999;1027;142;1479;16;7;643;18;5;145;35;1474;514;2060;134;116
"140040 NORMANDIA";635;579;55;1;515;106;14;2;618;15;619;2;-;12;1;1;23;10;566;36;632;2;6
"140045 PACARAIMA";989;735;188;66;804;136;49;13;823;153;586;36;61;290;12;4;571;17;218;183;877;14;1
"140047 RORAINOPOLIS";4310;1496;2756;58;2751;1444;115;34;3814;462;1642;13;23;2607;17;8;528;105;2356;1321;4062;440;483
"140050 SAO JOAO DA BALIZA";1759;1226;522;11;1218;489;52;27;1591;141;778;5;3;954;17;2;497;17;549;696;1743;162;135
"140060 SAO LUIZ";1322;890;425;7;864;415;43;13;1141;168;855;3;2;459;3;-;272;14;575;461;1279;264;265
"140070 UIRAMUTA";660;335;291;34;77;327;256;3;416;241;290;76;207;32;-;55;107;2;60;491;319;267;49
"150010 ABAETETUBA";26857;6063;14068;6726;14315;9835;2707;462;14161;12234;10222;94;65;14034;2236;206;5728;759;12853;7517;17814;1692;707
"150013 ABEL FIGUEIREDO";1898;1540;333;25;1628;200;70;2;1806;90;766;21;15;1069;25;2;1236;6;172;484;1771;81;39
"150020 ACARA";11607;3426;7170;1011;3526;6885;1196;235;6150;5222;1971;74;67;9415;68;12;1445;200;7075;2887;7578;3730;3868
"150030 AFUA";2278;536;292;1449;608;1436;233;6;816;1455;10;1;7;2252;5;2;285;15;1902;75;1631;129;61
"150034 AGUA AZUL DO NORTE";321;81;233;7;299;19;3;2;289;30;189;8;-;122;2;-;189;2;82;48;309;13;-
"150040 ALENQUER";12808;2863;8647;1297;3613;7921;1273;196;10907;1704;2654;178;113;9161;121;580;603;212;8541;3451;5886;1629;1607
"150050 ALMEIRIM";5040;3055;1226;759;2693;1723;624;471;2511;2058;1168;19;27;3772;38;16;94;23;2271;2652;3736;1197;1808
"150060 ALTAMIRA";16986;3534;12756;696;12681;2972;1333;353;14982;1651;9331;473;433;6531;130;88;3707;474;9743;3062;13633;130;34
"150070 ANAJAS";4569;234;2695;1640;2211;1565;793;7;613;3949;40;7;22;4396;83;21;58;20;4233;258;2515;1;-
"150080 ANANINDEUA";82495;26306;54529;1656;78304;2903;1278;4876;75143;2472;73032;481;120;8573;98;187;34546;3896;15269;28780;79942;621;1668
"150090 AUGUSTO CORREA";10364;3041;6951;372;3102;4794;2468;164;4853;5347;6477;864;1761;1054;203;5;511;133;903;8817;9582;928;844
"150095 AURORA DO PARA";6030;3504;2451;75;2172;3367;491;5;5573;452;2742;216;198;2810;57;7;430;44;3713;1843;5099;1388;4476
"150100 AVEIRO";3030;785;2002;243;773;1834;423;132;2621;277;477;118;186;2157;40;52;566;40;1837;587;1966;246;247
"150110 BAGRE";2753;906;667;1180;631;625;1497;13;348;2392;55;1;14;2661;20;2;250;40;1683;780;1445;361;53
"150120 BAIAO";6201;4013;1950;238;2465;3272;464;198;4738;1265;2803;147;164;2971;49;67;251;19;347;5584;5402;1556;1580
"150125 BANNACH";1289;412;841;36;524;647;118;1;1062;226;475;5;2;779;19;9;768;9;123;389;1025;99;33
"150130 BARCARENA";5188;1109;3004;1075;3926;1078;184;302;3776;1110;3156;27;16;1286;349;354;970;105;2753;1360;4603;941;473
"150140 BELEM";114093;86110;25899;2084;108197;3861;2035;27353;73977;12763;73836;626;330;36990;1471;840;60203;6109;12733;35048;109280;1102;620
"150145 BELTERRA";3661;1513;1668;480;1414;1850;397;30;3359;272;678;96;79;2474;85;249;729;57;1918;957;2302;-;-
"150150 BENEVIDES";12900;11058;1768;74;11850;956;94;153;12620;127;10864;96;121;1778;35;6;692;207;2736;9265;12856;433;460
"150157 BOM JESUS DO TOCANTINS";3792;1783;1874;135;1868;1536;388;71;2934;787;1989;219;254;1178;46;106;1590;26;836;1340;2827;67;-
"150170 BRAGANCA";23361;9021;12820;1520;9215;9534;4612;902;18202;4257;12074;2873;4883;2765;565;201;2517;454;8188;12202;18489;32;2
"150172 BRASIL NOVO";4941;2875;2020;46;2553;2232;156;15;4855;71;1987;123;70;2714;28;19;2324;43;2308;266;4391;839;818
"150175 BREJO GRANDE DO ARAGUAIA";1426;1091;308;27;655;514;257;26;1141;259;488;76;109;717;31;5;660;4;100;662;1302;193;8
"150180 BREVES";10003;4397;3260;2346;6130;2380;1493;94;3402;6507;401;44;95;9377;78;8;4028;116;4787;1072;7389;2434;553
"150195 CACHOEIRA DO PIRIA";4239;904;3269;66;842;2285;1112;13;2786;1440;2032;178;475;1401;139;14;356;31;1559;2293;2912;970;999
"150200 CACHOEIRA DO ARARI";4655;1827;2730;98;1773;2565;317;29;3107;1519;814;235;126;3429;18;33;268;46;3651;690;3025;1418;1457
"150210 CAMETA";22451;9964;5140;7347;8012;8727;5712;982;9776;11693;4727;86;111;16719;608;200;3871;1248;10877;6455;12007;4112;385
"150215 CANAA DOS CARAJAS";4777;805;3809;163;3837;774;166;128;4400;249;2352;73;37;2135;145;35;2637;66;908;1166;4449;53;48
"150220 CAPANEMA";15311;1437;13104;770;7971;5374;1966;485;13095;1731;10434;1089;2095;1411;217;65;3665;408;1762;9476;13433;251;252
"150230 CAPITAO POCO";11149;6868;3978;303;5628;3649;1872;473;8680;1996;6136;1817;1765;1035;169;227;1132;169;1799;8049;8818;641;15
"150240 CASTANHAL";21572;8759;12543;270;19361;1982;229;92;20134;1346;18843;430;831;1417;41;10;6946;502;4022;10102;20905;2973;1449
"150250 CHAVES";5541;861;916;3764;739;3857;945;16;990;4535;190;70;24;5167;43;47;282;173;4383;703;1286;1509;688
"150260 COLARES";3297;2362;916;19;836;2200;261;12;2932;353;1426;45;50;1675;33;68;714;133;751;1699;2654;253;238
"150270 CONCEICAO DO ARAGUAIA";12766;5547;7124;95;8643;3332;791;307;10445;2014;10958;287;133;1073;254;61;6402;102;1255;5007;11187;368;1256
"150275 CONCORDIA DO PARA";6014;780;4969;265;3492;2197;325;62;3454;2498;2165;54;44;3618;43;90;549;88;3310;2067;5365;1031;961
"150276 CUMARU DO NORTE";2129;894;1127;108;868;1075;186;24;1601;504;641;34;40;1372;24;18;1103;21;151;854;1231;2;1
"150277 CURIONOPOLIS";5610;2390;3071;149;2817;2365;428;896;4450;264;1291;28;161;4041;68;21;2584;810;1366;850;5420;-;-
"150280 CURRALINHO";3963;758;1362;1843;1211;2065;687;10;774;3179;286;1;5;3624;22;25;658;43;2699;563;2359;432;324
"150285 CURUA";2734;1781;350;603;435;2206;93;27;1174;1533;499;8;5;2116;31;75;113;12;2052;557;2482;1214;1261
"150290 CURUCA";9465;8395;981;89;3285;5497;683;214;7645;1606;5902;1286;1424;765;61;27;740;158;2189;6378;9155;35;60
"150295 ELDORADO DOS CARAJAS";5667;808;4706;153;2224;2633;810;171;4837;659;2694;127;72;2718;34;22;1881;114;2050;1622;4600;348;333
"150300 FARO";2250;1982;128;140;1595;654;1;-;2226;24;506;18;24;1644;46;12;6;1;2237;6;2040;1068;1144
