 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2013
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110001 ALTA FLORESTA D'OESTE";6336;1557;4765;14;3664;2612;60;109;6040;187;1792;33;18;4463;29;1;3111;27;2534;664;6190;1052;1049
"110002 ARIQUEMES";19270;6763;12123;384;15466;3480;324;290;18505;475;8556;53;54;10141;80;386;6406;344;8404;4116;18262;865;1472
"110003 CABIXI";1945;522;1414;9;955;957;33;6;1915;24;519;1;1;1423;1;-;442;33;1350;120;1913;329;354
"110004 CACOAL";19484;14788;4580;116;14636;4336;512;6002;12884;598;8670;109;70;10406;176;53;14791;204;2271;2218;18666;103;59
"110005 CEREJEIRAS";5061;1762;3287;12;3968;1056;37;22;5013;26;1689;4;13;3343;12;-;1596;54;1637;1774;4936;591;26
"110006 COLORADO DO OESTE";4785;3229;1536;20;3607;1116;62;40;4483;262;1253;31;35;3403;47;16;2833;53;980;919;4667;-;-
"110007 CORUMBIARA";1821;125;1692;4;700;1041;80;18;1755;48;484;10;5;1310;12;-;746;68;287;720;1730;211;279
"110008 COSTA MARQUES";2304;736;1548;20;1679;581;44;43;1831;430;715;15;13;1536;18;7;472;33;1324;475;1993;640;621
"110009 ESPIGAO D'OESTE";7652;2585;5046;21;5599;1868;185;117;6975;560;2574;14;13;5006;27;18;3062;43;1837;2710;7171;548;185
"110011 JARU";17471;3823;13553;95;13294;4054;123;279;16603;589;6152;64;145;10796;248;66;6614;488;8979;1390;17132;740;1338
"110012 JI-PARANA";16802;5120;11545;137;13377;3259;166;358;15745;699;7401;94;80;8997;162;68;8975;282;4091;3454;16315;315;225
"110013 MACHADINHO D'OESTE";6983;1872;5056;55;2960;3763;260;9;6556;418;756;10;22;6137;26;32;1977;69;4291;646;4928;531;39
