 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"120032 JORDAO";1316;725;474;117;701;259;356;8;713;595;31;31;67;1166;15;6;81;5;1183;47;840;478;568
"120034 MANOEL URBANO";2069;1136;881;52;1062;533;474;18;1034;1017;155;13;54;1589;6;252;103;11;1118;837;1487;-;3
"120035 MARECHAL THAUMATURGO";2886;800;1908;178;876;1248;762;8;1670;1208;15;-;1;2841;5;24;40;2;2745;99;1330;15;16
"120038 PLACIDO DE CASTRO";4838;1885;2882;71;2800;1951;87;112;4179;547;1259;16;16;3463;47;37;375;33;4253;177;4647;439;451
"120039 PORTO WALTER";1714;984;303;427;638;376;700;4;719;991;75;2;5;1625;6;1;45;2;1478;189;1178;694;1498
"120040 RIO BRANCO";90454;54399;34126;1929;82538;4853;3063;31103;35080;24271;33919;442;376;50000;619;5098;14393;950;56952;18159;88832;4938;1073
"120042 RODRIGUES ALVES";2903;1382;1213;308;1249;1016;638;39;1800;1064;701;15;20;2102;40;25;87;21;2274;521;2379;154;149
"120043 SANTA ROSA DO PURUS";1008;507;409;92;521;26;461;3;245;760;31;4;23;630;6;314;151;20;103;734;534;132;102
"120050 SENA MADUREIRA";8359;3726;4571;62;6033;1781;545;42;7088;1229;2458;2;3;5884;11;1;172;19;8027;141;6897;2109;164
"120080 PORTO ACRE";4125;972;2995;158;1914;2042;169;31;3132;962;529;5;23;3523;32;13;458;37;3448;182;3581;522;678
"130002 ALVARAES";2751;1581;802;368;1435;1122;194;7;1727;1017;391;2;10;2330;18;-;55;10;2229;457;2680;1074;567
"130006 AMATURA";1490;1209;237;44;1178;251;61;1;769;720;415;3;3;1067;2;-;10;2;1476;2;1279;476;480
"130010 ANORI";2675;1974;116;585;1709;782;184;18;2030;627;614;49;9;1949;54;-;63;37;2287;288;2429;608;36
"130014 APUI";3734;583;3029;122;2302;1336;96;34;3526;174;491;8;15;3155;43;22;1219;43;2270;202;3223;748;13
"130020 ATALAIA DO NORTE";2166;1709;117;340;1284;530;352;242;860;1064;268;22;9;1648;40;179;102;9;1807;248;1964;730;724
"130030 AUTAZES";7208;1239;4902;1067;3719;3321;168;154;6523;531;1503;22;18;5572;44;49;138;494;6368;208;5339;2146;2326
"130068 BOA VISTA DO RAMOS";2939;1728;1087;124;1267;1576;96;48;2749;142;206;45;29;2581;30;48;278;233;2299;129;1874;379;359
"130070 BOCA DO ACRE";6359;4450;1388;521;4529;1502;328;713;4815;831;319;1;4;5925;8;102;3209;64;1559;1527;5449;539;29
"130080 BORBA";6935;4070;1134;1731;3972;2572;391;107;5199;1629;1841;38;36;4928;45;47;212;55;5968;700;4681;1853;1471
"130083 CAAPIRANGA";2536;595;1635;306;1066;1395;75;5;1508;1023;348;2;4;2170;9;3;38;4;2412;82;2265;413;409
"130090 CANUTAMA";2415;1920;271;224;1601;456;358;93;1229;1093;51;2;8;2334;14;6;21;17;2208;169;2267;291;142
"130100 CARAUARI";5753;4202;942;609;4414;971;368;1494;3301;958;1474;8;20;3948;98;205;105;41;5290;317;5363;449;440
"130110 CAREIRO";6328;2706;2534;1088;2817;3384;127;61;4796;1471;681;25;15;5121;43;443;261;41;4886;1140;5801;1653;1671
"130115 CAREIRO DA VARZEA";5125;372;1825;2928;236;4001;888;55;2631;2439;11;5;40;5042;14;13;414;48;2460;2203;3437;547;23
"130120 COARI";14862;3501;8758;2603;9188;5246;428;7455;4085;3322;4457;83;92;10142;56;32;1164;188;10887;2623;11025;3668;2495
"130130 CODAJAS";4006;2914;411;681;2488;1024;494;968;1221;1817;1319;9;16;2622;31;9;856;79;2585;486;3359;752;754
"130140 EIRUNEPE";6179;2620;2912;647;2281;2990;908;348;3814;2017;825;11;12;5278;33;20;354;44;3958;1823;5077;2128;2147
"130160 FONTE BOA";4514;3006;146;1362;2935;1249;330;17;3298;1199;722;11;6;3757;18;-;10;23;4394;87;3815;857;285
"130170 HUMAITA";10185;8122;1305;758;7562;2354;269;527;7317;2341;4205;28;30;5843;25;54;2174;85;1665;6261;9203;2788;17
"130180 IPIXUNA";2794;1500;279;1015;977;643;1174;149;751;1894;295;9;26;2340;73;51;109;18;1006;1661;2263;1376;777
"130185 IRANDUBA";12375;6281;4831;1263;7570;4692;113;179;10484;1712;6534;123;43;5565;75;35;514;2822;8409;630;11744;2363;428
"130190 ITACOATIARA";19618;12730;5295;1593;12722;6648;248;790;17301;1527;9165;87;91;10113;75;87;1850;782;15312;1674;16393;2073;1333
"130195 ITAMARATI";1365;664;350;351;571;343;451;78;640;647;39;-;2;1320;3;1;19;6;1019;321;1124;-;-
"130200 ITAPIRANGA";2041;1657;255;129;1636;398;7;1;1993;47;938;2;1;1087;8;5;6;2;2030;3;1881;805;101
"130240 LABREA";7783;2225;4509;1049;5707;1223;853;1300;3324;3159;1164;82;39;6423;51;24;426;56;6648;653;6872;1781;5355
"130250 MANACAPURU";21686;12244;6339;3103;12959;8291;436;1176;17858;2652;9118;103;40;11768;65;592;2227;1440;7215;10804;17431;4034;714
"130255 MANAQUIRI";2537;816;1649;72;820;1706;11;-;899;1638;319;-;6;2177;5;30;8;-;2528;1;2473;1195;1196
"130270 MANICORE";4809;2997;1676;136;3599;1145;65;47;4281;481;2736;21;16;1979;11;46;704;50;3255;800;4617;738;618
"130280 MARAA";2834;1404;397;1033;896;1476;462;326;1049;1459;296;20;12;2485;11;10;174;26;2092;542;2464;604;533
"130290 MAUES";9788;5440;844;3504;5008;4780;-;-;9788;-;2857;-;-;6929;1;1;-;-;9787;1;6570;3236;2649
"130300 NHAMUNDA";4319;2972;607;740;1767;2111;441;1;4182;136;926;49;86;3046;58;154;125;42;2990;1162;3282;1911;1990
"130310 NOVA OLINDA DO NORTE";5674;3557;893;1224;3538;2122;14;15;4124;1535;1180;46;7;4320;17;104;4;3;5658;9;4535;2405;2411
"130320 NOVO AIRAO";2906;1425;1327;154;2448;421;37;241;2261;404;1278;23;6;1518;9;72;303;42;2473;88;2755;849;785
"130330 NOVO ARIPUANA";3639;1193;1913;533;1702;1571;366;238;2770;631;706;25;14;2837;28;29;309;100;2862;368;3063;427;426
"130340 PARINTINS";18669;14419;3004;1246;12890;5697;82;768;17312;589;7353;130;123;10848;106;109;1138;97;13929;3505;15496;804;723
"130350 PAUINI";2681;1589;569;523;1609;581;491;26;2057;598;134;1;5;2413;97;31;73;40;2170;398;2110;1150;874
"130353 PRESIDENTE FIGUEIREDO";7349;4262;2831;256;5029;2256;64;1552;4998;799;2915;13;20;4337;32;32;469;56;6203;621;6873;1400;1357
"130356 RIO PRETO DA EVA";5389;2280;3025;84;2434;2919;36;29;5192;168;2269;14;15;2948;40;103;338;45;4335;671;5040;653;3172
"130360 SANTA ISABEL DO RIO NEGRO";1665;1131;235;299;1101;437;127;22;1173;470;649;33;60;830;67;26;45;10;814;796;1318;592;526
"130370 SANTO ANTONIO DO ICA";4133;1214;2743;176;1966;1864;303;43;3979;111;798;8;2;3321;4;-;17;125;3940;51;4020;1882;1859
"130380 SAO GABRIEL DA CACHOEIRA";7176;3814;1730;1632;5078;753;1345;8;4555;2613;3136;172;881;2772;44;171;207;72;4009;2888;5465;1545;140
"130390 SAO PAULO DE OLIVENCA";3921;2595;939;387;19;3500;402;91;2286;1544;387;1;13;3498;11;11;24;19;3727;151;3477;40;-
"130395 SAO SEBASTIAO DO UATUMA";1851;1541;107;203;1311;520;20;49;1418;384;686;24;5;1123;3;10;15;5;1218;613;1635;495;190
"130400 SILVES";2108;961;959;188;996;1103;9;12;2055;41;515;6;3;1565;12;7;33;10;1994;71;1488;525;551
"130406 TABATINGA";10024;4045;5558;421;9307;490;227;600;8291;1133;6071;102;22;3747;68;14;301;81;9173;469;9804;1569;1577
"130410 TAPAUA";3864;2825;155;884;2779;775;310;26;2303;1535;295;3;12;3474;28;52;20;4;3546;294;3409;1367;1370
