 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 0 a 4 anos
Período:2007
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2282
"110002 ARIQUEMES";8018
"110003 CABIXI";635
"110004 CACOAL";6640
"110005 CEREJEIRAS";1470
"110006 COLORADO DO OESTE";1679
"110007 CORUMBIARA";759
"110008 COSTA MARQUES";1493
"110009 ESPIGAO D'OESTE";2696
"110010 GUAJARA-MIRIM";4719
"110011 JARU";4768
"110012 JI-PARANA";10536
"110013 MACHADINHO D'OESTE";3131
"110014 NOVA BRASILANDIA D'OESTE";1679
"110015 OURO PRETO DO OESTE";3408
"110018 PIMENTA BUENO";3023
"110020 PORTO VELHO";38747
"110025 PRESIDENTE MEDICI";1965
"110026 RIO CRESPO";308
"110028 ROLIM DE MOURA";4329
"110029 SANTA LUZIA D'OESTE";825
"110030 VILHENA";6768
"110032 SAO MIGUEL DO GUAPORE";2093
"110033 NOVA MAMORE";2334
"110034 ALVORADA D'OESTE";1600
"110037 ALTO ALEGRE DOS PARECIS";1274
"110040 ALTO PARAISO";1565
"110045 BURITIS";3230
"110050 NOVO HORIZONTE DO OESTE";950
"110060 CACAULANDIA";556
"110070 CAMPO NOVO DE RONDONIA";1345
"110080 CANDEIAS DO JAMARI";2013
"110090 CASTANHEIRAS";291
"110092 CHUPINGUAIA";810
"110094 CUJUBIM";1504
"110100 GOVERNADOR JORGE TEIXEIRA";1024
"110110 ITAPUA DO OESTE";930
"110120 MINISTRO ANDREAZZA";1011
"110130 MIRANTE DA SERRA";1087
"110140 MONTE NEGRO";1362
"110143 NOVA UNIAO";701
"110145 PARECIS";481
"110146 PIMENTEIRAS DO OESTE";272
"110147 PRIMAVERA DE RONDONIA";300
"110148 SAO FELIPE D'OESTE";513
"110149 SAO FRANCISCO DO GUAPORE";1588
"110150 SERINGUEIRAS";1063
"110155 TEIXEIROPOLIS";416
"110160 THEOBROMA";1015
"110170 URUPA";1206
"110175 VALE DO ANARI";881
"110180 VALE DO PARAISO";724
"120001 ACRELANDIA";1493
"120005 ASSIS BRASIL";891
"120010 BRASILEIA";2434
"120013 BUJARI";1044
"120017 CAPIXABA";1009
"120020 CRUZEIRO DO SUL";10722
"120025 EPITACIOLANDIA";1761
"120030 FEIJO";5623
"120032 JORDAO";1283
"120033 MANCIO LIMA";2215
"120034 MANOEL URBANO";1240
"120035 MARECHAL THAUMATURGO";2518
"120038 PLACIDO DE CASTRO";2271
"120039 PORTO WALTER";1753
"120040 RIO BRANCO";36269
"120042 RODRIGUES ALVES";2155
"120043 SANTA ROSA DO PURUS";845
"120045 SENADOR GUIOMARD";2472
"120050 SENA MADUREIRA";4805
"120060 TARAUACA";6055
"120070 XAPURI";1945
"120080 PORTO ACRE";1764
"130002 ALVARAES";2336
"130006 AMATURA";1292
"130008 ANAMA";1166
"130010 ANORI";1939
"130014 APUI";1670
"130020 ATALAIA DO NORTE";2027
"130030 AUTAZES";4285
"130040 BARCELOS";2785
"130050 BARREIRINHA";4194
"130060 BENJAMIN CONSTANT";4951
"130063 BERURI";2329
"130068 BOA VISTA DO RAMOS";1945
"130070 BOCA DO ACRE";3681
"130080 BORBA";4796
"130083 CAAPIRANGA";1398
"130090 CANUTAMA";1564
"130100 CARAUARI";3542
"130110 CAREIRO";3801
"130115 CAREIRO DA VARZEA";2428
"130120 COARI";9482
"130130 CODAJAS";2567
"130140 EIRUNEPE";4450
"130150 ENVIRA";2255
"130160 FONTE BOA";3967
"130165 GUAJARA";1853
"130170 HUMAITA";4591
"130180 IPIXUNA";3546
"130185 IRANDUBA";5004
"130190 ITACOATIARA";10438
"130195 ITAMARATI";1271
"130200 ITAPIRANGA";976
"130210 JAPURA";1419
"130220 JURUA";1419
"130230 JUTAI";3672
"130240 LABREA";4760
"130250 MANACAPURU";10212
"130255 MANAQUIRI";2613
"130260 MANAUS";168512
"130270 MANICORE";5634
"130280 MARAA";2764
"130290 MAUES";7510
"130300 NHAMUNDA";2174
"130310 NOVA OLINDA DO NORTE";3634
"130320 NOVO AIRAO";1805
"130330 NOVO ARIPUANA";2402
"130340 PARINTINS";12696
"130350 PAUINI";2810
"130353 PRESIDENTE FIGUEIREDO";2912
"130356 RIO PRETO DA EVA";2663
"130360 SANTA ISABEL DO RIO NEGRO";2907
"130370 SANTO ANTONIO DO ICA";4146
"130380 SAO GABRIEL DA CACHOEIRA";5079
"130390 SAO PAULO DE OLIVENCA";4402
"130395 SAO SEBASTIAO DO UATUMA";1302
"130400 SILVES";1222
"130406 TABATINGA";7081
"130410 TAPAUA";2597
"130420 TEFE";8973
"130423 TONANTINS";2665
"130426 UARINI";1909
"130430 URUCARA";2481
"130440 URUCURITUBA";2150
"140002 AMAJARI";1469
"140005 ALTO ALEGRE";3127
"140010 BOA VISTA";27245
"140015 BONFIM";1726
"140017 CANTA";1635
"140020 CARACARAI";2082
"140023 CAROEBE";921
"140028 IRACEMA";907
"140030 MUCAJAI";1605
"140040 NORMANDIA";1557
"140045 PACARAIMA";1524
"140047 RORAINOPOLIS";2348
"140050 SAO JOAO DA BALIZA";732
"140060 SAO LUIZ";564
"140070 UIRAMUTA";1645
"150010 ABAETETUBA";14412
"150013 ABEL FIGUEIREDO";759
"150020 ACARA";7245
"150030 AFUA";5112
"150034 AGUA AZUL DO NORTE";2235
"150040 ALENQUER";7160
"150050 ALMEIRIM";4562
"150060 ALTAMIRA";10382
"150070 ANAJAS";3924
"150080 ANANINDEUA";42151
"150085 ANAPU";2436
"150090 AUGUSTO CORREA";5483
"150095 AURORA DO PARA";2872
"150100 AVEIRO";2282
"150110 BAGRE";3324
"150120 BAIAO";3908
"150125 BANNACH";436
"150130 BARCARENA";10589
"150140 BELEM";116106
"150145 BELTERRA";1965
"150150 BENEVIDES";4915
"150157 BOM JESUS DO TOCANTINS";1647
"150160 BONITO";1582
"150170 BRAGANCA";12955
"150172 BRASIL NOVO";1819
"150175 BREJO GRANDE DO ARAGUAIA";914
"150178 BREU BRANCO";6196
"150180 BREVES";13656
"150190 BUJARU";3216
"150195 CACHOEIRA DO PIRIA";3506
"150200 CACHOEIRA DO ARARI";2332
"150210 CAMETA";14929
"150215 CANAA DOS CARAJAS";2702
"150220 CAPANEMA";6168
"150230 CAPITAO POCO";5690
"150240 CASTANHAL";16783
"150250 CHAVES";3083
"150260 COLARES";1390
"150270 CONCEICAO DO ARAGUAIA";4791
"150275 CONCORDIA DO PARA";3499
"150276 CUMARU DO NORTE";1166
"150277 CURIONOPOLIS";2160
"150280 CURRALINHO";4340
"150285 CURUA";1657
"150290 CURUCA";3618
"150293 DOM ELISEU";5800
"150295 ELDORADO DOS CARAJAS";4060
"150300 FARO";1283
