 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 0 a 4 anos
Período:2016
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1757
"110002 ARIQUEMES";7999
"110003 CABIXI";442
"110004 CACOAL";5917
"110005 CEREJEIRAS";1159
"110006 COLORADO DO OESTE";1177
"110007 CORUMBIARA";560
"110008 COSTA MARQUES";1780
"110009 ESPIGAO D'OESTE";2512
"110010 GUAJARA-MIRIM";4293
"110011 JARU";3978
"110012 JI-PARANA";9362
"110013 MACHADINHO D'OESTE";3431
"110014 NOVA BRASILANDIA D'OESTE";1474
"110015 OURO PRETO DO OESTE";2666
"110018 PIMENTA BUENO";2662
"110020 PORTO VELHO";38828
"110025 PRESIDENTE MEDICI";1369
"110026 RIO CRESPO";301
"110028 ROLIM DE MOURA";3916
"110029 SANTA LUZIA D'OESTE";509
"110030 VILHENA";7307
"110032 SAO MIGUEL DO GUAPORE";1905
"110033 NOVA MAMORE";2752
"110034 ALVORADA D'OESTE";1151
"110037 ALTO ALEGRE DOS PARECIS";1137
"110040 ALTO PARAISO";1730
"110045 BURITIS";3382
"110050 NOVO HORIZONTE DO OESTE";670
"110060 CACAULANDIA";524
"110070 CAMPO NOVO DE RONDONIA";1294
"110080 CANDEIAS DO JAMARI";2427
"110090 CASTANHEIRAS";219
"110092 CHUPINGUAIA";970
"110094 CUJUBIM";2242
"110100 GOVERNADOR JORGE TEIXEIRA";677
"110110 ITAPUA DO OESTE";980
"110120 MINISTRO ANDREAZZA";827
"110130 MIRANTE DA SERRA";863
"110140 MONTE NEGRO";1308
"110143 NOVA UNIAO";554
"110145 PARECIS";500
"110146 PIMENTEIRAS DO OESTE";223
"110147 PRIMAVERA DE RONDONIA";217
"110148 SAO FELIPE D'OESTE";374
"110149 SAO FRANCISCO DO GUAPORE";1749
"110150 SERINGUEIRAS";938
"110155 TEIXEIROPOLIS";311
"110160 THEOBROMA";847
"110170 URUPA";891
"110175 VALE DO ANARI";915
"110180 VALE DO PARAISO";528
"120001 ACRELANDIA";1450
"120005 ASSIS BRASIL";857
"120010 BRASILEIA";2312
"120013 BUJARI";983
"120017 CAPIXABA";1142
"120020 CRUZEIRO DO SUL";9168
"120025 EPITACIOLANDIA";1634
"120030 FEIJO";4459
"120032 JORDAO";1357
"120033 MANCIO LIMA";2187
"120034 MANOEL URBANO";1139
"120035 MARECHAL THAUMATURGO";2731
"120038 PLACIDO DE CASTRO";1938
"120039 PORTO WALTER";1889
"120040 RIO BRANCO";32408
"120042 RODRIGUES ALVES";2405
"120043 SANTA ROSA DO PURUS";1026
"120045 SENADOR GUIOMARD";2137
"120050 SENA MADUREIRA";4560
"120060 TARAUACA";5567
"120070 XAPURI";1800
"120080 PORTO ACRE";1733
"130002 ALVARAES";2436
"130006 AMATURA";1483
"130008 ANAMA";1490
"130010 ANORI";2405
"130014 APUI";1858
"130020 ATALAIA DO NORTE";2497
"130030 AUTAZES";4802
"130040 BARCELOS";2646
"130050 BARREIRINHA";4551
"130060 BENJAMIN CONSTANT";5682
"130063 BERURI";2775
"130068 BOA VISTA DO RAMOS";2323
"130070 BOCA DO ACRE";3747
"130080 BORBA";5217
"130083 CAAPIRANGA";1558
"130090 CANUTAMA";1550
"130100 CARAUARI";3577
"130110 CAREIRO";3983
"130115 CAREIRO DA VARZEA";2841
"130120 COARI";9586
"130130 CODAJAS";3056
"130140 EIRUNEPE";4594
"130150 ENVIRA";2566
"130160 FONTE BOA";2712
"130165 GUAJARA";2105
"130170 HUMAITA";5348
"130180 IPIXUNA";4474
"130185 IRANDUBA";5275
"130190 ITACOATIARA";11022
"130195 ITAMARATI";1153
"130200 ITAPIRANGA";993
"130210 JAPURA";579
"130220 JURUA";1863
"130230 JUTAI";2631
"130240 LABREA";5315
"130250 MANACAPURU";10626
"130255 MANAQUIRI";3554
"130260 MANAUS";176505
"130270 MANICORE";6207
"130280 MARAA";2495
"130290 MAUES";8384
"130300 NHAMUNDA";2347
"130310 NOVA OLINDA DO NORTE";4153
"130320 NOVO AIRAO";2147
"130330 NOVO ARIPUANA";2683
"130340 PARINTINS";12736
