 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 0 a 4 anos
Período:2010
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2035
"110002 ARIQUEMES";7760
"110003 CABIXI";539
"110004 CACOAL";6202
"110005 CEREJEIRAS";1319
"110006 COLORADO DO OESTE";1449
"110007 CORUMBIARA";662
"110008 COSTA MARQUES";1494
"110009 ESPIGAO D'OESTE";2531
"110010 GUAJARA-MIRIM";4387
"110011 JARU";4328
"110012 JI-PARANA";9836
"110013 MACHADINHO D'OESTE";3068
"110014 NOVA BRASILANDIA D'OESTE";1545
"110015 OURO PRETO DO OESTE";3048
"110018 PIMENTA BUENO";2812
"110020 PORTO VELHO";37724
"110025 PRESIDENTE MEDICI";1677
"110026 RIO CRESPO";293
"110028 ROLIM DE MOURA";4058
"110029 SANTA LUZIA D'OESTE";692
"110030 VILHENA";6752
"110032 SAO MIGUEL DO GUAPORE";1950
"110033 NOVA MAMORE";2335
"110034 ALVORADA D'OESTE";1392
"110037 ALTO ALEGRE DOS PARECIS";1176
"110040 ALTO PARAISO";1528
"110045 BURITIS";3149
"110050 NOVO HORIZONTE DO OESTE";814
"110060 CACAULANDIA";518
"110070 CAMPO NOVO DE RONDONIA";1250
"110080 CANDEIAS DO JAMARI";2057
"110090 CASTANHEIRAS";255
"110092 CHUPINGUAIA";831
"110094 CUJUBIM";1668
"110100 GOVERNADOR JORGE TEIXEIRA";861
"110110 ITAPUA DO OESTE";895
"110120 MINISTRO ANDREAZZA";912
"110130 MIRANTE DA SERRA";956
"110140 MONTE NEGRO";1272
"110143 NOVA UNIAO";631
"110145 PARECIS";471
"110146 PIMENTEIRAS DO OESTE";244
"110147 PRIMAVERA DE RONDONIA";252
"110148 SAO FELIPE D'OESTE";442
"110149 SAO FRANCISCO DO GUAPORE";1583
"110150 SERINGUEIRAS";979
"110155 TEIXEIROPOLIS";366
"110160 THEOBROMA";907
"110170 URUPA";1054
"110175 VALE DO ANARI";849
"110180 VALE DO PARAISO";628
"120001 ACRELANDIA";1476
"120005 ASSIS BRASIL";894
"120010 BRASILEIA";2411
"120013 BUJARI";1008
"120017 CAPIXABA";1048
"120020 CRUZEIRO DO SUL";10120
"120025 EPITACIOLANDIA";1748
"120030 FEIJO";5083
"120032 JORDAO";1314
"120033 MANCIO LIMA";2199
"120034 MANOEL URBANO";1187
"120035 MARECHAL THAUMATURGO";2640
"120038 PLACIDO DE CASTRO";2104
"120039 PORTO WALTER";1749
"120040 RIO BRANCO";35718
"120042 RODRIGUES ALVES";2226
"120043 SANTA ROSA DO PURUS";926
"120045 SENADOR GUIOMARD";2333
"120050 SENA MADUREIRA";4774
"120060 TARAUACA";5874
"120070 XAPURI";1886
"120080 PORTO ACRE";1740
"130002 ALVARAES";2360
"130006 AMATURA";1380
"130008 ANAMA";1269
"130010 ANORI";2109
"130014 APUI";1751
"130020 ATALAIA DO NORTE";2282
"130030 AUTAZES";4431
"130040 BARCELOS";2763
"130050 BARREIRINHA";4220
"130060 BENJAMIN CONSTANT";5332
"130063 BERURI";2449
"130068 BOA VISTA DO RAMOS";2039
"130070 BOCA DO ACRE";3690
"130080 BORBA";4964
"130083 CAAPIRANGA";1450
"130090 CANUTAMA";1572
"130100 CARAUARI";3536
"130110 CAREIRO";3787
"130115 CAREIRO DA VARZEA";2576
"130120 COARI";9742
"130130 CODAJAS";2744
"130140 EIRUNEPE";4535
"130150 ENVIRA";2363
"130160 FONTE BOA";3562
"130165 GUAJARA";1942
"130170 HUMAITA";4877
"130180 IPIXUNA";3889
"130185 IRANDUBA";5075
"130190 ITACOATIARA";10597
"130195 ITAMARATI";1213
"130200 ITAPIRANGA";985
"130210 JAPURA";1116
