 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 5 a 9 anos
Período:2015
"Município";"População_residente"
"150240 CASTANHAL";17280
"150250 CHAVES";2814
"150260 COLARES";1239
"150270 CONCEICAO DO ARAGUAIA";4230
"150275 CONCORDIA DO PARA";3561
"150276 CUMARU DO NORTE";1183
"150277 CURIONOPOLIS";1776
"150280 CURRALINHO";4321
"150285 CURUA";1576
"150290 CURUCA";3576
"150293 DOM ELISEU";5637
"150295 ELDORADO DOS CARAJAS";3513
"150300 FARO";916
"150304 FLORESTA DO ARAGUAIA";1920
"150307 GARRAFAO DO NORTE";2642
"150309 GOIANESIA DO PARA";3831
"150310 GURUPA";3931
"150320 IGARAPE-ACU";3375
"150330 IGARAPE-MIRI";6741
"150340 INHANGAPI";1049
"150345 IPIXUNA DO PARA";5725
"150350 IRITUIA";3362
"150360 ITAITUBA";9360
"150370 ITUPIRANGA";5788
"150375 JACAREACANGA";1274
"150380 JACUNDA";5533
"150390 JURUTI";6416
"150400 LIMOEIRO DO AJURU";3088
"150405 MAE DO RIO";2970
"150410 MAGALHAES BARATA";852
"150420 MARABA";27207
"150430 MARACANA";2773
"150440 MARAPANIM";2445
"150442 MARITUBA";10635
"150445 MEDICILANDIA";2871
"150450 MELGACO";3737
"150460 MOCAJUBA";3213
"150470 MOJU";8911
"150475 MOJUI DOS CAMPOS";1383
"150480 MONTE ALEGRE";5402
"150490 MUANA";4203
"150495 NOVA ESPERANCA DO PIRIA";2387
"150497 NOVA IPIXUNA";1606
"150500 NOVA TIMBOTEUA";1239
"150503 NOVO PROGRESSO";2886
"150506 NOVO REPARTIMENTO";7699
"150510 OBIDOS";5795
"150520 OEIRAS DO PARA";4062
"150530 ORIXIMINA";7997
"150540 OUREM";1705
"150543 OURILANDIA DO NORTE";3265
"150548 PACAJA";4875
"150549 PALESTINA DO PARA";762
"150550 PARAGOMINAS";11228
"150553 PARAUAPEBAS";19072
"150555 PAU D'ARCO";535
"150560 PEIXE-BOI";684
"150563 PICARRA";1273
"150565 PLACAS";3092
"150570 PONTA DE PEDRAS";3137
"150580 PORTEL";8067
"150590 PORTO DE MOZ";5328
"150600 PRAINHA";3343
"150610 PRIMAVERA";881
"150611 QUATIPURU";1175
"150613 REDENCAO";7454
"150616 RIO MARIA";1544
"150618 RONDON DO PARA";4656
"150619 RUROPOLIS";4747
"150620 SALINOPOLIS";3599
"150630 SALVATERRA";2124
"150635 SANTA BARBARA DO PARA";1808
"150640 SANTA CRUZ DO ARARI";836
"150650 SANTA IZABEL DO PARA";5580
"150655 SANTA LUZIA DO PARA";1927
"150658 SANTA MARIA DAS BARREIRAS";1802
"150660 SANTA MARIA DO PARA";2035
"150670 SANTANA DO ARAGUAIA";6270
"150680 SANTAREM";29948
"150690 SANTAREM NOVO";660
"150700 SANTO ANTONIO DO TAUA";2876
"150710 SAO CAETANO DE ODIVELAS";1622
"150715 SAO DOMINGOS DO ARAGUAIA";2503
"150720 SAO DOMINGOS DO CAPIM";3890
"150730 SAO FELIX DO XINGU";9114
"150740 SAO FRANCISCO DO PARA";1366
"150745 SAO GERALDO DO ARAGUAIA";2435
"150746 SAO JOAO DA PONTA";589
"150747 SAO JOAO DE PIRABAS";2121
"150750 SAO JOAO DO ARAGUAIA";1490
"150760 SAO MIGUEL DO GUAMA";5777
"150770 SAO SEBASTIAO DA BOA VISTA";2974
"150775 SAPUCAIA";501
"150780 SENADOR JOSE PORFIRIO";1371
