 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 5 a 9 anos
Período:2020
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1615
"110002 ARIQUEMES";8162
"110003 CABIXI";385
"110004 CACOAL";5934
"110005 CEREJEIRAS";1111
"110006 COLORADO DO OESTE";1044
"110007 CORUMBIARA";492
"110008 COSTA MARQUES";1786
"110009 ESPIGAO D'OESTE";2507
"110010 GUAJARA-MIRIM";4197
"110011 JARU";3769
"110012 JI-PARANA";9393
"110013 MACHADINHO D'OESTE";3584
"110014 NOVA BRASILANDIA D'OESTE";1410
"110015 OURO PRETO DO OESTE";2491
"110018 PIMENTA BUENO";2691
"110020 PORTO VELHO";39776
"110025 PRESIDENTE MEDICI";1228
"110026 RIO CRESPO";295
"110028 ROLIM DE MOURA";3891
"110029 SANTA LUZIA D'OESTE";415
"110030 VILHENA";7724
"110032 SAO MIGUEL DO GUAPORE";1796
"110033 NOVA MAMORE";2883
"110034 ALVORADA D'OESTE";1004
"110037 ALTO ALEGRE DOS PARECIS";1042
"110040 ALTO PARAISO";1793
"110045 BURITIS";3365
"110050 NOVO HORIZONTE DO OESTE";584
"110060 CACAULANDIA";497
"110070 CAMPO NOVO DE RONDONIA";1217
"110080 CANDEIAS DO JAMARI";2412
"110090 CASTANHEIRAS";190
"110092 CHUPINGUAIA";1006
"110094 CUJUBIM";2413
"110100 GOVERNADOR JORGE TEIXEIRA";529
"110110 ITAPUA DO OESTE";969
"110120 MINISTRO ANDREAZZA";771
"110130 MIRANTE DA SERRA";774
"110140 MONTE NEGRO";1277
"110143 NOVA UNIAO";514
"110145 PARECIS";513
"110146 PIMENTEIRAS DO OESTE";184
"110147 PRIMAVERA DE RONDONIA";187
"110148 SAO FELIPE D'OESTE";327
"110149 SAO FRANCISCO DO GUAPORE";1725
"110150 SERINGUEIRAS";862
"110155 TEIXEIROPOLIS";285
"110160 THEOBROMA";792
"110170 URUPA";782
"110175 VALE DO ANARI";881
"110180 VALE DO PARAISO";464
"120001 ACRELANDIA";1431
"120005 ASSIS BRASIL";825
"120010 BRASILEIA";2366
"120013 BUJARI";964
"120017 CAPIXABA";1144
"120020 CRUZEIRO DO SUL";8969
"120025 EPITACIOLANDIA";1659
"120030 FEIJO";4221
"120032 JORDAO";1227
"120033 MANCIO LIMA";2170
"120034 MANOEL URBANO";1080
"120035 MARECHAL THAUMATURGO";2680
"120038 PLACIDO DE CASTRO";1921
"120039 PORTO WALTER";1841
"120040 RIO BRANCO";33561
"120042 RODRIGUES ALVES";2340
"120043 SANTA ROSA DO PURUS";884
"120045 SENADOR GUIOMARD";2112
"120050 SENA MADUREIRA";4473
"120060 TARAUACA";5439
"120070 XAPURI";1805
"120080 PORTO ACRE";1752
"130002 ALVARAES";2183
"130006 AMATURA";1437
"130008 ANAMA";1489
"130010 ANORI";2471
"130014 APUI";1802
"130020 ATALAIA DO NORTE";2430
"130030 AUTAZES";4710
"130040 BARCELOS";2606
"130050 BARREIRINHA";4325
"130060 BENJAMIN CONSTANT";5778
"130063 BERURI";2657
"130068 BOA VISTA DO RAMOS";2362
"130070 BOCA DO ACRE";3657
"130080 BORBA";4879
"130083 CAAPIRANGA";1524
"130090 CANUTAMA";1436
"130100 CARAUARI";3383
"130110 CAREIRO";4073
"130115 CAREIRO DA VARZEA";2980
"130120 COARI";9239
"130130 CODAJAS";3025
"130140 EIRUNEPE";4376
"130150 ENVIRA";2540
"130160 FONTE BOA";2080
"130165 GUAJARA";1998
"130170 HUMAITA";5407
"130180 IPIXUNA";3892
"130185 IRANDUBA";5274
"130190 ITACOATIARA";10900
"130195 ITAMARATI";943
"130200 ITAPIRANGA";968
"130210 JAPURA";294
"130220 JURUA";1865
"130230 JUTAI";1887
"130240 LABREA";5189
"130250 MANACAPURU";10640
"130255 MANAQUIRI";3762
"130260 MANAUS";182211
"130270 MANICORE";6191
"130280 MARAA";2360
"130290 MAUES";8145
"130300 NHAMUNDA";2262
"130310 NOVA OLINDA DO NORTE";4060
"130320 NOVO AIRAO";2184
"130330 NOVO ARIPUANA";2516
"130340 PARINTINS";12611
"130350 PAUINI";2417
"130353 PRESIDENTE FIGUEIREDO";3783
"130356 RIO PRETO DA EVA";3110
"130360 SANTA ISABEL DO RIO NEGRO";3801
"130370 SANTO ANTONIO DO ICA";2731
"130380 SAO GABRIEL DA CACHOEIRA";5375
"130390 SAO PAULO DE OLIVENCA";4794
"130395 SAO SEBASTIAO DO UATUMA";1642
"130400 SILVES";1090
"130406 TABATINGA";7795
"130410 TAPAUA";1794
"130420 TEFE";6927
"130423 TONANTINS";2452
"130426 UARINI";1732
"130430 URUCARA";1847
"130440 URUCURITUBA";2677
"140002 AMAJARI";1670
"140005 ALTO ALEGRE";2004
"140010 BOA VISTA";33140
"140015 BONFIM";1438
"140017 CANTA";1944
"140020 CARACARAI";2102
"140023 CAROEBE";965
"140028 IRACEMA";1156
"140030 MUCAJAI";1648
"140040 NORMANDIA";1577
"140045 PACARAIMA";2272
"140047 RORAINOPOLIS";2619
"140050 SAO JOAO DA BALIZA";762
"140060 SAO LUIZ";566
"140070 UIRAMUTA";1636
"150010 ABAETETUBA";12861
"150013 ABEL FIGUEIREDO";631
"150020 ACARA";5546
"150030 AFUA";4485
"150034 AGUA AZUL DO NORTE";1940
