 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 5 a 9 anos
Período:2016
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1771
"110002 ARIQUEMES";7960
"110003 CABIXI";439
"110004 CACOAL";6058
"110005 CEREJEIRAS";1198
"110006 COLORADO DO OESTE";1199
"110007 CORUMBIARA";551
"110008 COSTA MARQUES";1603
"110009 ESPIGAO D'OESTE";2500
"110010 GUAJARA-MIRIM";4241
"110011 JARU";3946
"110012 JI-PARANA";9620
"110013 MACHADINHO D'OESTE";3334
"110014 NOVA BRASILANDIA D'OESTE";1444
"110015 OURO PRETO DO OESTE";2702
"110018 PIMENTA BUENO";2769
"110020 PORTO VELHO";38867
"110025 PRESIDENTE MEDICI";1411
"110026 RIO CRESPO";289
"110028 ROLIM DE MOURA";3943
"110029 SANTA LUZIA D'OESTE";519
"110030 VILHENA";7344
"110032 SAO MIGUEL DO GUAPORE";1806
"110033 NOVA MAMORE";2620
"110034 ALVORADA D'OESTE";1141
"110037 ALTO ALEGRE DOS PARECIS";1058
"110040 ALTO PARAISO";1650
"110045 BURITIS";3210
"110050 NOVO HORIZONTE DO OESTE";665
"110060 CACAULANDIA";491
"110070 CAMPO NOVO DE RONDONIA";1185
"110080 CANDEIAS DO JAMARI";2182
"110090 CASTANHEIRAS";211
"110092 CHUPINGUAIA";917
"110094 CUJUBIM";2062
"110100 GOVERNADOR JORGE TEIXEIRA";635
"110110 ITAPUA DO OESTE";915
"110120 MINISTRO ANDREAZZA";813
"110130 MIRANTE DA SERRA";824
"110140 MONTE NEGRO";1247
"110143 NOVA UNIAO";559
"110145 PARECIS";496
"110146 PIMENTEIRAS DO OESTE";196
"110147 PRIMAVERA DE RONDONIA";207
"110148 SAO FELIPE D'OESTE";366
"110149 SAO FRANCISCO DO GUAPORE";1613
"110150 SERINGUEIRAS";878
"110155 TEIXEIROPOLIS";317
"110160 THEOBROMA";824
"110170 URUPA";877
"110175 VALE DO ANARI";839
"110180 VALE DO PARAISO";523
"120001 ACRELANDIA";1436
"120005 ASSIS BRASIL";844
"120010 BRASILEIA";2423
"120013 BUJARI";972
"120017 CAPIXABA";1085
"120020 CRUZEIRO DO SUL";9465
"120025 EPITACIOLANDIA";1719
"120030 FEIJO";4531
"120032 JORDAO";1203
"120033 MANCIO LIMA";2164
"120034 MANOEL URBANO";1098
"120035 MARECHAL THAUMATURGO";2624
"120038 PLACIDO DE CASTRO";2005
"120039 PORTO WALTER";1746
"120040 RIO BRANCO";35576
"120042 RODRIGUES ALVES";2232
"120043 SANTA ROSA DO PURUS";840
"120045 SENADOR GUIOMARD";2213
"120050 SENA MADUREIRA";4582
"120060 TARAUACA";5607
"120070 XAPURI";1852
"120080 PORTO ACRE";1746
"130002 ALVARAES";2124
"130006 AMATURA";1356
"130008 ANAMA";1357
"130010 ANORI";2279
"130014 APUI";1727
"130020 ATALAIA DO NORTE";2298
"130030 AUTAZES";4468
"130040 BARCELOS";2635
"130050 BARREIRINHA";4087
"130060 BENJAMIN CONSTANT";5546
"130063 BERURI";2456
"130068 BOA VISTA DO RAMOS";2168
"130070 BOCA DO ACRE";3592
"130080 BORBA";4691
"130083 CAAPIRANGA";1444
"130090 CANUTAMA";1440
"130100 CARAUARI";3312
"130110 CAREIRO";3900
"130115 CAREIRO DA VARZEA";2802
"130120 COARI";9225
"130130 CODAJAS";2821
"130140 EIRUNEPE";4322
"130150 ENVIRA";2385
"130160 FONTE BOA";2510
"130165 GUAJARA";1888
"130170 HUMAITA";5087
"130180 IPIXUNA";3587
"130185 IRANDUBA";5129
"130190 ITACOATIARA";10542
"130195 ITAMARATI";955
"130200 ITAPIRANGA";959
"130210 JAPURA";598
"130220 JURUA";1692
"130230 JUTAI";2205
"130240 LABREA";4959
"130250 MANACAPURU";10342
"130255 MANAQUIRI";3385
"130260 MANAUS";180960
"130270 MANICORE";5902
"130280 MARAA";2418
"130290 MAUES";7715
"130300 NHAMUNDA";2162
"130310 NOVA OLINDA DO NORTE";3855
"130320 NOVO AIRAO";2066
"130330 NOVO ARIPUANA";2390
"130340 PARINTINS";12416
"130350 PAUINI";2457
"130353 PRESIDENTE FIGUEIREDO";3475
"130356 RIO PRETO DA EVA";2953
"130360 SANTA ISABEL DO RIO NEGRO";3514
"130370 SANTO ANTONIO DO ICA";2990
"130380 SAO GABRIEL DA CACHOEIRA";5225
"130390 SAO PAULO DE OLIVENCA";4540
"130395 SAO SEBASTIAO DO UATUMA";1490
"130400 SILVES";1091
"130406 TABATINGA";7548
"130410 TAPAUA";1943
"130420 TEFE";7321
"130423 TONANTINS";2421
"130426 UARINI";1717
"130430 URUCARA";1960
"130440 URUCURITUBA";2452
"140002 AMAJARI";1586
"140005 ALTO ALEGRE";2375
"140010 BOA VISTA";30123
"140015 BONFIM";1502
"140017 CANTA";1860
"140020 CARACARAI";2135
"140023 CAROEBE";987
"140028 IRACEMA";1124
"140030 MUCAJAI";1675
"140040 NORMANDIA";1593
"140045 PACARAIMA";1629
"140047 RORAINOPOLIS";2641
"140050 SAO JOAO DA BALIZA";785
"140060 SAO LUIZ";594
"140070 UIRAMUTA";1656
"150010 ABAETETUBA";13696
"150013 ABEL FIGUEIREDO";686
"150020 ACARA";6094
"150030 AFUA";4626
"150034 AGUA AZUL DO NORTE";2085
"150040 ALENQUER";6236
"150050 ALMEIRIM";3738
"150060 ALTAMIRA";10329
"150070 ANAJAS";3688
"150080 ANANINDEUA";39780
"150085 ANAPU";2903
"150090 AUGUSTO CORREA";5110
"150095 AURORA DO PARA";2827
"150100 AVEIRO";1869
"150110 BAGRE";3599
"150120 BAIAO";4336
"150125 BANNACH";307
"150130 BARCARENA";11412
"150140 BELEM";105069
"150145 BELTERRA";1707
"150150 BENEVIDES";5110
"150157 BOM JESUS DO TOCANTINS";1484
"150160 BONITO";1592
"150170 BRAGANCA";12293
"150172 BRASIL NOVO";1413
"150175 BREJO GRANDE DO ARAGUAIA";727
"150178 BREU BRANCO";6622
"150180 BREVES";12059
"150190 BUJARU";3030
"150195 CACHOEIRA DO PIRIA";3686
"150200 CACHOEIRA DO ARARI";2200
"150210 CAMETA";14234
"150215 CANAA DOS CARAJAS";3540
"150220 CAPANEMA";5713
"150230 CAPITAO POCO";4957
"150240 CASTANHAL";16904
"150250 CHAVES";2784
"150260 COLARES";1209
"150270 CONCEICAO DO ARAGUAIA";4114
"150275 CONCORDIA DO PARA";3514
"150276 CUMARU DO NORTE";1170
"150277 CURIONOPOLIS";1717
"150280 CURRALINHO";4293
"150285 CURUA";1570
"150290 CURUCA";3535
"150293 DOM ELISEU";5533
"150295 ELDORADO DOS CARAJAS";3434
"150300 FARO";873
"150304 FLORESTA DO ARAGUAIA";1890
"150307 GARRAFAO DO NORTE";2592
"150309 GOIANESIA DO PARA";3785
"150310 GURUPA";3886
"150320 IGARAPE-ACU";3300
"150330 IGARAPE-MIRI";6595
"150340 INHANGAPI";1035
"150345 IPIXUNA DO PARA";5759
"150350 IRITUIA";3285
"150360 ITAITUBA";9104
"150370 ITUPIRANGA";5648
"150375 JACAREACANGA";1157
"150380 JACUNDA";5439
"150390 JURUTI";6415
"150400 LIMOEIRO DO AJURU";3055
"150405 MAE DO RIO";2904
"150410 MAGALHAES BARATA";834
"150420 MARABA";26697
"150430 MARACANA";2715
"150440 MARAPANIM";2402
"150442 MARITUBA";10471
"150445 MEDICILANDIA";2820
"150450 MELGACO";3682
"150460 MOCAJUBA";3175
"150470 MOJU";8807
"150475 MOJUI DOS CAMPOS";1355
"150480 MONTE ALEGRE";5292
"150490 MUANA";4158
"150495 NOVA ESPERANCA DO PIRIA";2339
"150497 NOVA IPIXUNA";1580
"150500 NOVA TIMBOTEUA";1216
"150503 NOVO PROGRESSO";2808
"150506 NOVO REPARTIMENTO";7638
"150510 OBIDOS";5663
"150520 OEIRAS DO PARA";4015
"150530 ORIXIMINA";7893
"150540 OUREM";1669
"150543 OURILANDIA DO NORTE";3213
"150548 PACAJA";4813
"150549 PALESTINA DO PARA";741
"150550 PARAGOMINAS";11018
"150553 PARAUAPEBAS";18906
"150555 PAU D'ARCO";516
"150560 PEIXE-BOI";666
"150563 PICARRA";1241
"150565 PLACAS";3076
"150570 PONTA DE PEDRAS";3093
