 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Período:2007
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";25509
"110002 ARIQUEMES";88228
"110003 CABIXI";6773
"110004 CACOAL";79038
"110005 CEREJEIRAS";17725
"110006 COLORADO DO OESTE";19882
"110007 CORUMBIARA";9424
"110008 COSTA MARQUES";12808
"110009 ESPIGAO D'OESTE";28580
"110010 GUAJARA-MIRIM";41650
"110011 JARU";53604
"110012 JI-PARANA";116671
"110013 MACHADINHO D'OESTE";29630
"110014 NOVA BRASILANDIA D'OESTE";20297
"110015 OURO PRETO DO OESTE";39566
"110018 PIMENTA BUENO";34044
"110020 PORTO VELHO";413524
"110025 PRESIDENTE MEDICI";23890
"110026 RIO CRESPO";3291
"110028 ROLIM DE MOURA";50936
"110029 SANTA LUZIA D'OESTE";9803
"110030 VILHENA";71978
"110032 SAO MIGUEL DO GUAPORE";22150
"110033 NOVA MAMORE";21012
"110034 ALVORADA D'OESTE";18020
"110037 ALTO ALEGRE DOS PARECIS";13078
"110040 ALTO PARAISO";16466
"110045 BURITIS";31349
"110050 NOVO HORIZONTE DO OESTE";11008
"110060 CACAULANDIA";5770
"110070 CAMPO NOVO DE RONDONIA";12636
"110080 CANDEIAS DO JAMARI";18471
"110090 CASTANHEIRAS";3824
"110092 CHUPINGUAIA";7757
"110094 CUJUBIM";13760
"110100 GOVERNADOR JORGE TEIXEIRA";11574
"110110 ITAPUA DO OESTE";8301
"110120 MINISTRO ANDREAZZA";10847
"110130 MIRANTE DA SERRA";12483
"110140 MONTE NEGRO";14025
"110143 NOVA UNIAO";7858
"110145 PARECIS";4607
"110146 PIMENTEIRAS DO OESTE";2424
"110147 PRIMAVERA DE RONDONIA";3811
"110148 SAO FELIPE D'OESTE";6428
"110149 SAO FRANCISCO DO GUAPORE";15351
"110150 SERINGUEIRAS";11911
"110155 TEIXEIROPOLIS";5191
"110160 THEOBROMA";11020
"110170 URUPA";13770
"110175 VALE DO ANARI";9163
"110180 VALE DO PARAISO";8831
"120001 ACRELANDIA";12088
"120005 ASSIS BRASIL";5841
"120010 BRASILEIA";20519
"120013 BUJARI";8186
"120017 CAPIXABA";8012
"120020 CRUZEIRO DO SUL";78952
"120025 EPITACIOLANDIA";14540
"120030 FEIJO";33376
"120032 JORDAO";6197
"120033 MANCIO LIMA";14442
"120034 MANOEL URBANO";7810
"120035 MARECHAL THAUMATURGO";13005
"120038 PLACIDO DE CASTRO";17129
"120039 PORTO WALTER";8473
"120040 RIO BRANCO";324674
"120042 RODRIGUES ALVES";13222
"120043 SANTA ROSA DO PURUS";4142
"120045 SENADOR GUIOMARD";20153
"120050 SENA MADUREIRA";36857
"120060 TARAUACA";34648
"120070 XAPURI";15630
"120080 PORTO ACRE";14163
"130002 ALVARAES";13781
"130006 AMATURA";8995
"130008 ANAMA";9294
"130010 ANORI";15107
"130014 APUI";17097
"130020 ATALAIA DO NORTE";13886
"130030 AUTAZES";30389
"130040 BARCELOS";25782
"130050 BARREIRINHA";26444
"130060 BENJAMIN CONSTANT";30946
"130063 BERURI";14429
"130068 BOA VISTA DO RAMOS";13896
"130070 BOCA DO ACRE";30163
"130080 BORBA";33722
"130083 CAAPIRANGA";10530
"130090 CANUTAMA";13384
"130100 CARAUARI";25581
"130110 CAREIRO";31809
"130115 CAREIRO DA VARZEA";22362
"130120 COARI";74797
"130130 CODAJAS";21922
"130140 EIRUNEPE";29870
"130150 ENVIRA";15479
"130160 FONTE BOA";25257
"130165 GUAJARA";13399
"130170 HUMAITA";41603
"130180 IPIXUNA";20241
"130185 IRANDUBA";39237
"130190 ITACOATIARA";84078
"130195 ITAMARATI";8320
"130200 ITAPIRANGA";8102
"130210 JAPURA";9127
"130220 JURUA";9719
"130230 JUTAI";19765
"130240 LABREA";35774
"130250 MANACAPURU";83129
"130255 MANAQUIRI";20147
"130260 MANAUS";1716677
"130270 MANICORE";45211
"130280 MARAA";17754
"130290 MAUES";49540
"130300 NHAMUNDA";17752
"130310 NOVA OLINDA DO NORTE";29173
"130320 NOVO AIRAO";13457
"130330 NOVO ARIPUANA";20554
"130340 PARINTINS";100473
"130350 PAUINI";18211
"130353 PRESIDENTE FIGUEIREDO";24707
"130356 RIO PRETO DA EVA";23732
"130360 SANTA ISABEL DO RIO NEGRO";16172
"130370 SANTO ANTONIO DO ICA";26148
"130380 SAO GABRIEL DA CACHOEIRA";36220
"130390 SAO PAULO DE OLIVENCA";29500
"130395 SAO SEBASTIAO DO UATUMA";9829
"130400 SILVES";8416
"130406 TABATINGA";48910
"130410 TAPAUA";18944
"130420 TEFE";63665
"130423 TONANTINS";16949
"130426 UARINI";11631
"130430 URUCARA";17846
"130440 URUCURITUBA";16480
"140002 AMAJARI";8255
"140005 ALTO ALEGRE";17259
"140010 BOA VISTA";263969
"140015 BONFIM";10667
"140017 CANTA";12517
"140020 CARACARAI";17494
"140023 CAROEBE";7523
"140028 IRACEMA";7647
"140030 MUCAJAI";13990
"140040 NORMANDIA";8248
"140045 PACARAIMA";9570
"140047 RORAINOPOLIS";22626
"140050 SAO JOAO DA BALIZA";6384
"140060 SAO LUIZ";6440
"140070 UIRAMUTA";7742
"150010 ABAETETUBA";138263
"150013 ABEL FIGUEIREDO";6712
"150020 ACARA";54507
"150030 AFUA";34312
"150034 AGUA AZUL DO NORTE";24823
"150040 ALENQUER";52523
"150050 ALMEIRIM";34568
"150060 ALTAMIRA";95261
"150070 ANAJAS";23505
"150080 ANANINDEUA";461028
"150085 ANAPU";17807
"150090 AUGUSTO CORREA";39336
"150095 AURORA DO PARA";25226
"150100 AVEIRO";16154
"150110 BAGRE";21500
"150120 BAIAO";33208
"150125 BANNACH";3620
"150130 BARCARENA";91691
"150140 BELEM";1395782
"150145 BELTERRA";16228
"150150 BENEVIDES";48251
"150157 BOM JESUS DO TOCANTINS";15045
"150160 BONITO";12860
"150170 BRAGANCA";110413
"150172 BRASIL NOVO";16528
"150175 BREJO GRANDE DO ARAGUAIA";7546
"150178 BREU BRANCO";47962
"150180 BREVES";91502
"150190 BUJARU";24984
"150195 CACHOEIRA DO PIRIA";23925
"150200 CACHOEIRA DO ARARI";19599
"150210 CAMETA";117158
"150215 CANAA DOS CARAJAS";22775
"150220 CAPANEMA";63347
"150230 CAPITAO POCO";52589
