 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Período:2015
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";23835
"110002 ARIQUEMES";101048
"110003 CABIXI";5819
"110004 CACOAL";83164
"110005 CEREJEIRAS";16810
"110006 COLORADO DO OESTE";17270
"110007 CORUMBIARA";8097
"110008 COSTA MARQUES";16414
"110009 ESPIGAO D'OESTE";31057
"110010 GUAJARA-MIRIM";44603
"110011 JARU";52410
"110012 JI-PARANA";124700
"110013 MACHADINHO D'OESTE";36395
"110014 NOVA BRASILANDIA D'OESTE";20413
"110015 OURO PRETO DO OESTE";37261
"110018 PIMENTA BUENO";35752
"110020 PORTO VELHO";489272
"110025 PRESIDENTE MEDICI";20688
"110026 RIO CRESPO";3600
"110028 ROLIM DE MOURA";53627
"110029 SANTA LUZIA D'OESTE";7643
"110030 VILHENA";90178
"110032 SAO MIGUEL DO GUAPORE";22708
"110033 NOVA MAMORE";27261
"110034 ALVORADA D'OESTE";15664
"110037 ALTO ALEGRE DOS PARECIS";13184
"110040 ALTO PARAISO";19705
"110045 BURITIS";36771
"110050 NOVO HORIZONTE DO OESTE";9395
"110060 CACAULANDIA";6070
"110070 CAMPO NOVO DE RONDONIA";13617
"110080 CANDEIAS DO JAMARI";23839
"110090 CASTANHEIRAS";3320
"110092 CHUPINGUAIA";9993
"110094 CUJUBIM";21239
"110100 GOVERNADOR JORGE TEIXEIRA";9088
"110110 ITAPUA DO OESTE";9710
"110120 MINISTRO ANDREAZZA";10072
"110130 MIRANTE DA SERRA";11480
"110140 MONTE NEGRO";15218
"110143 NOVA UNIAO";7278
"110145 PARECIS";5565
"110146 PIMENTEIRAS DO OESTE";2258
"110147 PRIMAVERA DE RONDONIA";3188
"110148 SAO FELIPE D'OESTE";5608
"110149 SAO FRANCISCO DO GUAPORE";18560
"110150 SERINGUEIRAS";11875
"110155 TEIXEIROPOLIS";4614
"110160 THEOBROMA";10644
"110170 URUPA";12266
"110175 VALE DO ANARI";10496
"110180 VALE DO PARAISO";7521
"120001 ACRELANDIA";14318
"120005 ASSIS BRASIL";6951
"120010 BRASILEIA";24574
"120013 BUJARI";9650
"120017 CAPIXABA";10632
"120020 CRUZEIRO DO SUL";85587
"120025 EPITACIOLANDIA";17265
"120030 FEIJO";34364
"120032 JORDAO";7690
"120033 MANCIO LIMA";17635
"120034 MANOEL URBANO";8971
"120035 MARECHAL THAUMATURGO";17132
"120038 PLACIDO DE CASTRO";18982
"120039 PORTO WALTER";10944
"120040 RIO BRANCO";382864
"120042 RODRIGUES ALVES";17241
"120043 SANTA ROSA DO PURUS";5831
"120045 SENADOR GUIOMARD";22174
"120050 SENA MADUREIRA";43187
"120060 TARAUACA";40224
"120070 XAPURI";18230
"120080 PORTO ACRE";17219
"130002 ALVARAES";15315
"130006 AMATURA";10719
"130008 ANAMA";12226
"130010 ANORI";19113
"130014 APUI";20406
"130020 ATALAIA DO NORTE";17981
"130030 AUTAZES";36615
"130040 BARCELOS";26949
"130050 BARREIRINHA";30242
"130060 BENJAMIN CONSTANT";39115
"130063 BERURI";17991
