 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 10 a 14 anos
Período:2021
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";754
"110002 ARIQUEMES";4162
"110003 CABIXI";164
"110004 CACOAL";2990
"110005 CEREJEIRAS";528
"110006 COLORADO DO OESTE";476
"110007 CORUMBIARA";201
"110008 COSTA MARQUES";753
"110009 ESPIGAO D'OESTE";1222
"110010 GUAJARA-MIRIM";1942
"110011 JARU";1868
"110012 JI-PARANA";4690
"110013 MACHADINHO D'OESTE";1592
"110014 NOVA BRASILANDIA D'OESTE";676
"110015 OURO PRETO DO OESTE";1251
"110018 PIMENTA BUENO";1340
"110020 PORTO VELHO";20173
"110025 PRESIDENTE MEDICI";558
"110026 RIO CRESPO";123
"110028 ROLIM DE MOURA";1947
"110029 SANTA LUZIA D'OESTE";180
"110030 VILHENA";3997
"110032 SAO MIGUEL DO GUAPORE";806
"110033 NOVA MAMORE";1340
"110034 ALVORADA D'OESTE";456
"110037 ALTO ALEGRE DOS PARECIS";463
"110040 ALTO PARAISO";822
"110045 BURITIS";1583
"110050 NOVO HORIZONTE DO OESTE";253
"110060 CACAULANDIA";226
"110070 CAMPO NOVO DE RONDONIA";531
"110080 CANDEIAS DO JAMARI";1110
"110090 CASTANHEIRAS";90
"110092 CHUPINGUAIA";467
"110094 CUJUBIM";1114
"110100 GOVERNADOR JORGE TEIXEIRA";227
"110110 ITAPUA DO OESTE";376
"110120 MINISTRO ANDREAZZA";351
"110130 MIRANTE DA SERRA";348
"110140 MONTE NEGRO";556
"110143 NOVA UNIAO";224
"110145 PARECIS";220
"110146 PIMENTEIRAS DO OESTE";76
"110147 PRIMAVERA DE RONDONIA";72
"110148 SAO FELIPE D'OESTE";145
"110149 SAO FRANCISCO DO GUAPORE";775
"110150 SERINGUEIRAS";396
"110155 TEIXEIROPOLIS";132
"110160 THEOBROMA";332
"110170 URUPA";359
"110175 VALE DO ANARI";353
"110180 VALE DO PARAISO";196
"120001 ACRELANDIA";652
"120005 ASSIS BRASIL";419
"120010 BRASILEIA";1144
"120013 BUJARI";412
"120017 CAPIXABA";474
"120020 CRUZEIRO DO SUL";4556
"120025 EPITACIOLANDIA";861
"120030 FEIJO";1924
"120032 JORDAO";533
"120033 MANCIO LIMA";974
"120034 MANOEL URBANO";459
"120035 MARECHAL THAUMATURGO";1202
"120038 PLACIDO DE CASTRO";861
"120039 PORTO WALTER";723
"120040 RIO BRANCO";19002
"120042 RODRIGUES ALVES";1009
"120043 SANTA ROSA DO PURUS";378
"120045 SENADOR GUIOMARD";1045
"120050 SENA MADUREIRA";2194
"120060 TARAUACA";2514
"120070 XAPURI";872
"120080 PORTO ACRE";784
"130002 ALVARAES";866
"130006 AMATURA";629
"130008 ANAMA";611
"130010 ANORI";1035
"130014 APUI";836
"130020 ATALAIA DO NORTE";1133
"130030 AUTAZES";1924
"130040 BARCELOS";1191
"130050 BARREIRINHA";1693
"130060 BENJAMIN CONSTANT";2698
"130063 BERURI";1080
"130068 BOA VISTA DO RAMOS";926
"130070 BOCA DO ACRE";1598
"130080 BORBA";2043
