 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 10 a 14 anos
Período:2006
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1365
"110002 ARIQUEMES";4643
"110003 CABIXI";316
"110004 CACOAL";4019
"110005 CEREJEIRAS";916
"110006 COLORADO DO OESTE";1000
"110007 CORUMBIARA";500
"110008 COSTA MARQUES";699
"110009 ESPIGAO D'OESTE";1424
"110010 GUAJARA-MIRIM";2270
"110011 JARU";2788
"110012 JI-PARANA";5916
"110013 MACHADINHO D'OESTE";1514
"110014 NOVA BRASILANDIA D'OESTE";1085
"110015 OURO PRETO DO OESTE";2005
"110018 PIMENTA BUENO";1723
"110020 PORTO VELHO";21180
"110025 PRESIDENTE MEDICI";1166
"110026 RIO CRESPO";171
"110028 ROLIM DE MOURA";2620
"110029 SANTA LUZIA D'OESTE";501
"110030 VILHENA";3571
"110032 SAO MIGUEL DO GUAPORE";1275
"110033 NOVA MAMORE";1079
"110034 ALVORADA D'OESTE";990
"110037 ALTO ALEGRE DOS PARECIS";712
"110040 ALTO PARAISO";859
"110045 BURITIS";1685
"110050 NOVO HORIZONTE DO OESTE";560
"110060 CACAULANDIA";304
"110070 CAMPO NOVO DE RONDONIA";667
"110080 CANDEIAS DO JAMARI";1001
"110090 CASTANHEIRAS";212
"110092 CHUPINGUAIA";404
"110094 CUJUBIM";741
"110100 GOVERNADOR JORGE TEIXEIRA";647
"110110 ITAPUA DO OESTE";441
"110120 MINISTRO ANDREAZZA";615
"110130 MIRANTE DA SERRA";712
"110140 MONTE NEGRO";729
"110143 NOVA UNIAO";436
"110145 PARECIS";240
"110146 PIMENTEIRAS DO OESTE";135
"110147 PRIMAVERA DE RONDONIA";197
"110148 SAO FELIPE D'OESTE";320
"110149 SAO FRANCISCO DO GUAPORE";846
"110150 SERINGUEIRAS";682
"110155 TEIXEIROPOLIS";278
"110160 THEOBROMA";554
"110170 URUPA";728
"110175 VALE DO ANARI";482
"110180 VALE DO PARAISO";490
"120001 ACRELANDIA";678
"120005 ASSIS BRASIL";337
"120010 BRASILEIA";1094
"120013 BUJARI";449
"120017 CAPIXABA";464
"120020 CRUZEIRO DO SUL";4652
"120025 EPITACIOLANDIA";831
"120030 FEIJO";2144
"120032 JORDAO";409
"120033 MANCIO LIMA";862
"120034 MANOEL URBANO";461
"120035 MARECHAL THAUMATURGO";845
"120038 PLACIDO DE CASTRO";934
"120039 PORTO WALTER";514
"120040 RIO BRANCO";17278
"120042 RODRIGUES ALVES";801
"120043 SANTA ROSA DO PURUS";279
"120045 SENADOR GUIOMARD";1089
"120050 SENA MADUREIRA";2154
"120060 TARAUACA";2096
"120070 XAPURI";882
"120080 PORTO ACRE";773
"130002 ALVARAES";880
"130006 AMATURA";599
"130008 ANAMA";533
"130010 ANORI";910
"130014 APUI";971
"130020 ATALAIA DO NORTE";914
"130030 AUTAZES";1746
"130040 BARCELOS";1734
"130050 BARREIRINHA";1608
"130060 BENJAMIN CONSTANT";1858
"130063 BERURI";879
"130068 BOA VISTA DO RAMOS";866
"130070 BOCA DO ACRE";1739
"130080 BORBA";2158
"130083 CAAPIRANGA";633
"130090 CANUTAMA";830
"130100 CARAUARI";1645
"130110 CAREIRO";1894
"130115 CAREIRO DA VARZEA";1214
"130120 COARI";4923
"130130 CODAJAS";1376
"130140 EIRUNEPE";1933
"130150 ENVIRA";981
"130160 FONTE BOA";1767
"130165 GUAJARA";875
"130170 HUMAITA";2495
"130180 IPIXUNA";1245
"130185 IRANDUBA";2178
"130190 ITACOATIARA";4773
"130195 ITAMARATI";573
"130200 ITAPIRANGA";506
"130210 JAPURA";629
"130220 JURUA";599
"130230 JUTAI";1390
"130240 LABREA";2108
"130250 MANACAPURU";4985
"130255 MANAQUIRI";1145
"130260 MANAUS";88337
"130270 MANICORE";2825
"130280 MARAA";1193
"130290 MAUES";2921
"130300 NHAMUNDA";1101
"130310 NOVA OLINDA DO NORTE";1932
"130320 NOVO AIRAO";805
"130330 NOVO ARIPUANA";1280
"130340 PARINTINS";6036
"130350 PAUINI";1119
"130353 PRESIDENTE FIGUEIREDO";1328
"130356 RIO PRETO DA EVA";1426
"130360 SANTA ISABEL DO RIO NEGRO";957
"130370 SANTO ANTONIO DO ICA";1820
"130380 SAO GABRIEL DA CACHOEIRA";2102
"130390 SAO PAULO DE OLIVENCA";1898
"130395 SAO SEBASTIAO DO UATUMA";601
"130400 SILVES";507
"130406 TABATINGA";2940
"130410 TAPAUA";1332
"130420 TEFE";3888
"130423 TONANTINS";1181
"130426 UARINI";771
"130430 URUCARA";1132
"130440 URUCURITUBA";1037
"140002 AMAJARI";453
"140005 ALTO ALEGRE";848
"140010 BOA VISTA";14260
"140015 BONFIM";672
"140017 CANTA";669
"140020 CARACARAI";1016
"140023 CAROEBE";402
"140028 IRACEMA";418
"140030 MUCAJAI";734
"140040 NORMANDIA";531
"140045 PACARAIMA";577
"140047 RORAINOPOLIS";1285
"140050 SAO JOAO DA BALIZA";341
"140060 SAO LUIZ";350
"140070 UIRAMUTA";507
"150010 ABAETETUBA";8189
"150013 ABEL FIGUEIREDO";352
"150020 ACARA";3316
"150030 AFUA";2229
"150034 AGUA AZUL DO NORTE";1328
"150040 ALENQUER";3038
"150050 ALMEIRIM";2078
"150060 ALTAMIRA";5094
"150070 ANAJAS";1448
"150080 ANANINDEUA";23144
"150085 ANAPU";989
"150090 AUGUSTO CORREA";2365
"150095 AURORA DO PARA";1539
"150100 AVEIRO";996
"150110 BAGRE";1470
"150120 BAIAO";1881
"150125 BANNACH";179
"150130 BARCARENA";5146
"150140 BELEM";63992
"150145 BELTERRA";876
"150150 BENEVIDES";2618
"150157 BOM JESUS DO TOCANTINS";801
"150160 BONITO";732
"150170 BRAGANCA";6193
"150172 BRASIL NOVO";919
"150175 BREJO GRANDE DO ARAGUAIA";424
"150178 BREU BRANCO";2845
"150180 BREVES";5748
"150190 BUJARU";1516
"150195 CACHOEIRA DO PIRIA";1407
"150200 CACHOEIRA DO ARARI";1129
"150210 CAMETA";7025
"150215 CANAA DOS CARAJAS";1232
"150220 CAPANEMA";3220
"150230 CAPITAO POCO";3244
"150240 CASTANHAL";8743
"150250 CHAVES";1262
"150260 COLARES";659
"150270 CONCEICAO DO ARAGUAIA";2361
"150275 CONCORDIA DO PARA";1591
"150276 CUMARU DO NORTE";478
"150277 CURIONOPOLIS";1131
"150280 CURRALINHO";1707
"150285 CURUA";698
"150290 CURUCA";1721
"150293 DOM ELISEU";2734
"150295 ELDORADO DOS CARAJAS";1844
"150300 FARO";578
"150304 FLORESTA DO ARAGUAIA";911
"150307 GARRAFAO DO NORTE";1651
"150309 GOIANESIA DO PARA";1794
"150310 GURUPA";1800
"150320 IGARAPE-ACU";2056
"150330 IGARAPE-MIRI";3473
"150340 INHANGAPI";547
"150345 IPIXUNA DO PARA";2558
"150350 IRITUIA";1768
"150360 ITAITUBA";5704
"150370 ITUPIRANGA";3040
"150375 JACAREACANGA";863
"150380 JACUNDA";2838
"150390 JURUTI";2625
"150400 LIMOEIRO DO AJURU";1531
"150405 MAE DO RIO";1564
"150410 MAGALHAES BARATA";446
"150420 MARABA";11843
"150430 MARACANA";1775
"150440 MARAPANIM";1490
"150442 MARITUBA";5351
"150445 MEDICILANDIA";1467
"150450 MELGACO";1610
"150460 MOCAJUBA";1506
"150470 MOJU";4051
"150475 MOJUI DOS CAMPOS";841
