 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 10 a 14 anos
Período:2017
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";885
"110002 ARIQUEMES";4444
"110003 CABIXI";191
"110004 CACOAL";3175
"110005 CEREJEIRAS";594
"110006 COLORADO DO OESTE";572
"110007 CORUMBIARA";261
"110008 COSTA MARQUES";777
"110009 ESPIGAO D'OESTE";1280
"110010 GUAJARA-MIRIM";2106
"110011 JARU";2140
"110012 JI-PARANA";4962
"110013 MACHADINHO D'OESTE";1572
"110014 NOVA BRASILANDIA D'OESTE";785
"110015 OURO PRETO DO OESTE";1435
"110018 PIMENTA BUENO";1446
"110020 PORTO VELHO";20481
"110025 PRESIDENTE MEDICI";726
"110026 RIO CRESPO";137
"110028 ROLIM DE MOURA";2103
"110029 SANTA LUZIA D'OESTE";233
"110030 VILHENA";3867
"110032 SAO MIGUEL DO GUAPORE";904
"110033 NOVA MAMORE";1355
"110034 ALVORADA D'OESTE";576
"110037 ALTO ALEGRE DOS PARECIS";564
"110040 ALTO PARAISO";874
"110045 BURITIS";1709
"110050 NOVO HORIZONTE DO OESTE";304
"110060 CACAULANDIA";269
"110070 CAMPO NOVO DE RONDONIA";595
"110080 CANDEIAS DO JAMARI";1108
"110090 CASTANHEIRAS";119
"110092 CHUPINGUAIA";457
"110094 CUJUBIM";1087
"110100 GOVERNADOR JORGE TEIXEIRA";339
"110110 ITAPUA DO OESTE";390
"110120 MINISTRO ANDREAZZA";401
"110130 MIRANTE DA SERRA";464
"110140 MONTE NEGRO";641
"110143 NOVA UNIAO";257
"110145 PARECIS";233
"110146 PIMENTEIRAS DO OESTE";88
"110147 PRIMAVERA DE RONDONIA";100
"110148 SAO FELIPE D'OESTE";188
"110149 SAO FRANCISCO DO GUAPORE";791
"110150 SERINGUEIRAS";485
"110155 TEIXEIROPOLIS";157
"110160 THEOBROMA";409
"110170 URUPA";442
"110175 VALE DO ANARI";420
"110180 VALE DO PARAISO";267
"120001 ACRELANDIA";717
"120005 ASSIS BRASIL";419
"120010 BRASILEIA";1241
"120013 BUJARI";460
"120017 CAPIXABA";544
"120020 CRUZEIRO DO SUL";4935
"120025 EPITACIOLANDIA";886
"120030 FEIJO";2130
"120032 JORDAO";560
"120033 MANCIO LIMA";1002
"120034 MANOEL URBANO";491
"120035 MARECHAL THAUMATURGO";1208
"120038 PLACIDO DE CASTRO";953
"120039 PORTO WALTER";751
"120040 RIO BRANCO";19664
"120042 RODRIGUES ALVES";1098
"120043 SANTA ROSA DO PURUS";391
"120045 SENADOR GUIOMARD";1154
"120050 SENA MADUREIRA";2363
"120060 TARAUACA";2637
"120070 XAPURI";958
"120080 PORTO ACRE";870
"130002 ALVARAES";889
"130006 AMATURA";564
"130008 ANAMA";636
"130010 ANORI";992
"130014 APUI";869
"130020 ATALAIA DO NORTE";1044
"130030 AUTAZES";1904
"130040 BARCELOS";1244
"130050 BARREIRINHA";1693
"130060 BENJAMIN CONSTANT";2343
"130063 BERURI";1069
"130068 BOA VISTA DO RAMOS";953
"130070 BOCA DO ACRE";1612
"130080 BORBA";2023
"130083 CAAPIRANGA";658
"130090 CANUTAMA";625
"130100 CARAUARI";1480
"130110 CAREIRO";1739
"130115 CAREIRO DA VARZEA";1233
"130120 COARI";4207
"130130 CODAJAS";1395
"130140 EIRUNEPE";1860
"130150 ENVIRA";1050
"130160 FONTE BOA";1014
"130165 GUAJARA";885
"130170 HUMAITA";2488
"130180 IPIXUNA";1640
"130185 IRANDUBA";2396
"130190 ITACOATIARA";4725
"130195 ITAMARATI";377
"130200 ITAPIRANGA";434
"130210 JAPURA";213
"130220 JURUA";826
"130230 JUTAI";813
"130240 LABREA";2283
"130250 MANACAPURU";4755
"130255 MANAQUIRI";1633
"130260 MANAUS";91902
"130270 MANICORE";2617
"130280 MARAA";990
"130290 MAUES";3177
"130300 NHAMUNDA";986
"130310 NOVA OLINDA DO NORTE";1838
"130320 NOVO AIRAO";900
"130330 NOVO ARIPUANA";1142
"130340 PARINTINS";5670
"130350 PAUINI";1082
"130353 PRESIDENTE FIGUEIREDO";1637
"130356 RIO PRETO DA EVA";1440
"130360 SANTA ISABEL DO RIO NEGRO";1521
"130370 SANTO ANTONIO DO ICA";1228
"130380 SAO GABRIEL DA CACHOEIRA";2373
"130390 SAO PAULO DE OLIVENCA";2012
"130395 SAO SEBASTIAO DO UATUMA";685
"130400 SILVES";439
"130406 TABATINGA";3600
"130410 TAPAUA";831
"130420 TEFE";3273
"130423 TONANTINS";1034
"130426 UARINI";696
"130430 URUCARA";847
"130440 URUCURITUBA";1065
"140002 AMAJARI";654
"140005 ALTO ALEGRE";878
"140010 BOA VISTA";15684
"140015 BONFIM";566
"140017 CANTA";760
"140020 CARACARAI";958
"140023 CAROEBE";435
"140028 IRACEMA";523
"140030 MUCAJAI";755
"140040 NORMANDIA";621
"140045 PACARAIMA";698
"140047 RORAINOPOLIS";1250
"140050 SAO JOAO DA BALIZA";375
"140060 SAO LUIZ";275
"140070 UIRAMUTA";658
"150010 ABAETETUBA";7014
"150013 ABEL FIGUEIREDO";326
"150020 ACARA";2804
"150030 AFUA";2173
"150034 AGUA AZUL DO NORTE";1180
"150040 ALENQUER";2901
"150050 ALMEIRIM";1749
"150060 ALTAMIRA";5468
"150070 ANAJAS";1739
"150080 ANANINDEUA";22122
"150085 ANAPU";1342
"150090 AUGUSTO CORREA";2407
"150095 AURORA DO PARA";1482
"150100 AVEIRO";826
"150110 BAGRE";1741
"150120 BAIAO";2199
"150125 BANNACH";138
"150130 BARCARENA";5707
"150140 BELEM";58237
"150145 BELTERRA";839
"150150 BENEVIDES";2782
"150157 BOM JESUS DO TOCANTINS";759
"150160 BONITO";777
"150170 BRAGANCA";6091
"150172 BRASIL NOVO";627
"150175 BREJO GRANDE DO ARAGUAIA";321
"150178 BREU BRANCO";3351
"150180 BREVES";5690
"150190 BUJARU";1472
"150195 CACHOEIRA DO PIRIA";1963
"150200 CACHOEIRA DO ARARI";1038
"150210 CAMETA";6751
"150215 CANAA DOS CARAJAS";1811
"150220 CAPANEMA";2922
"150230 CAPITAO POCO";2521
"150240 CASTANHAL";9063
"150250 CHAVES";1272
"150260 COLARES";531
"150270 CONCEICAO DO ARAGUAIA";2083
"150275 CONCORDIA DO PARA";1610
"150276 CUMARU DO NORTE";571
"150277 CURIONOPOLIS";803
"150280 CURRALINHO";1930
"150285 CURUA";746
"150290 CURUCA";1832
"150293 DOM ELISEU";2809
"150295 ELDORADO DOS CARAJAS";1592
"150300 FARO";408
"150304 FLORESTA DO ARAGUAIA";861
"150307 GARRAFAO DO NORTE";1301
"150309 GOIANESIA DO PARA";1874
"150310 GURUPA";1826
"150320 IGARAPE-ACU";1702
"150330 IGARAPE-MIRI";3041
"150340 INHANGAPI";516
"150345 IPIXUNA DO PARA";3076
"150350 IRITUIA";1538
"150360 ITAITUBA";4854
"150370 ITUPIRANGA";2621
"150375 JACAREACANGA";524
"150380 JACUNDA";2898
"150390 JURUTI";2965
"150400 LIMOEIRO DO AJURU";1511
"150405 MAE DO RIO";1505
"150410 MAGALHAES BARATA";369
"150420 MARABA";13413
"150430 MARACANA";1358
"150440 MARAPANIM";1157
"150442 MARITUBA";5609
"150445 MEDICILANDIA";1406
"150450 MELGACO";1578
"150460 MOCAJUBA";1582
"150470 MOJU";4215
"150475 MOJUI DOS CAMPOS";664
"150480 MONTE ALEGRE";2654
"150490 MUANA";2051
"150495 NOVA ESPERANCA DO PIRIA";1127
"150497 NOVA IPIXUNA";811
"150500 NOVA TIMBOTEUA";600
"150503 NOVO PROGRESSO";1417
"150506 NOVO REPARTIMENTO";3613
"150510 OBIDOS";2590
"150520 OEIRAS DO PARA";1766
"150530 ORIXIMINA";3846
"150540 OUREM";788
"150543 OURILANDIA DO NORTE";1609
"150548 PACAJA";2162
"150549 PALESTINA DO PARA";349
"150550 PARAGOMINAS";5734
"150553 PARAUAPEBAS";10088
"150555 PAU D'ARCO";244
"150560 PEIXE-BOI";350
"150563 PICARRA";574
"150565 PLACAS";1556
"150570 PONTA DE PEDRAS";1555
"150580 PORTEL";3673
"150590 PORTO DE MOZ";2479
"150600 PRAINHA";1555
"150610 PRIMAVERA";473
"150611 QUATIPURU";617
"150613 REDENCAO";3886
"150616 RIO MARIA";781
"150618 RONDON DO PARA";2332
"150619 RUROPOLIS";2500
"150620 SALINOPOLIS";1755
"150630 SALVATERRA";1057
"150635 SANTA BARBARA DO PARA";884
"150640 SANTA CRUZ DO ARARI";425
"150650 SANTA IZABEL DO PARA";2862
"150655 SANTA LUZIA DO PARA";976
"150658 SANTA MARIA DAS BARREIRAS";865
"150660 SANTA MARIA DO PARA";1075
"150670 SANTANA DO ARAGUAIA";3524
"150680 SANTAREM";15015
"150690 SANTAREM NOVO";307
"150700 SANTO ANTONIO DO TAUA";1376
"150710 SAO CAETANO DE ODIVELAS";769
"150715 SAO DOMINGOS DO ARAGUAIA";1191
"150720 SAO DOMINGOS DO CAPIM";1664
"150730 SAO FELIX DO XINGU";5395
"150740 SAO FRANCISCO DO PARA";673
"150745 SAO GERALDO DO ARAGUAIA";1176
"150746 SAO JOAO DA PONTA";285
"150747 SAO JOAO DE PIRABAS";993
"150750 SAO JOAO DO ARAGUAIA";626
"150760 SAO MIGUEL DO GUAMA";2915
"150770 SAO SEBASTIAO DA BOA VISTA";1440
"150775 SAPUCAIA";254
"150780 SENADOR JOSE PORFIRIO";603
"150790 SOURE";1125
"150795 TAILANDIA";5369
"150796 TERRA ALTA";499
"150797 TERRA SANTA";924
"150800 TOME-ACU";3119
"150803 TRACUATEUA";1449
"150805 TRAIRAO";812
"150808 TUCUMA";1785
"150810 TUCURUI";5811
"150812 ULIANOPOLIS";3055
"150815 URUARA";2400
"150820 VIGIA";2311
"150830 VISEU";3099
"150835 VITORIA DO XINGU";596
"150840 XINGUARA";2063
"160005 SERRA DO NAVIO";246
"160010 AMAPA";433
"160015 PEDRA BRANCA DO AMAPARI";766
"160020 CALCOENE";510
"160021 CUTIAS";307
"160023 FERREIRA GOMES";350
"160025 ITAUBAL";269
"160027 LARANJAL DO JARI";2534
"160030 MACAPA";23086
"160040 MAZAGAO";1119
"160050 OIAPOQUE";1337
"160053 PORTO GRANDE";1080
"160055 PRACUUBA";275
"160060 SANTANA";5787
"160070 TARTARUGALZINHO";847
"160080 VITORIA DO JARI";763
"170025 ABREULANDIA";121
"170030 AGUIARNOPOLIS";323
"170035 ALIANCA DO TOCANTINS";204
"170040 ALMAS";309
"170070 ALVORADA";358
"170100 ANANAS";435
"170105 ANGICO";130
"170110 APARECIDA DO RIO NEGRO";209
"170130 ARAGOMINAS";211
"170190 ARAGUACEMA";281
"170200 ARAGUACU";275
"170210 ARAGUAINA";8016
"170215 ARAGUANA";251
"170220 ARAGUATINS";1642
"170230 ARAPOEMA";261
"170240 ARRAIAS";413
"170255 AUGUSTINOPOLIS";817
"170270 AURORA DO TOCANTINS";145
"170290 AXIXA DO TOCANTINS";460
"170300 BABACULANDIA";396
"170305 BANDEIRANTES DO TOCANTINS";131
"170307 BARRA DO OURO";192
"170310 BARROLANDIA";242
"170320 BERNARDO SAYAO";179
"170330 BOM JESUS DO TOCANTINS";210
"170360 BRASILANDIA DO TOCANTINS";103
"170370 BREJINHO DE NAZARE";250
"170380 BURITI DO TOCANTINS";466
"170382 CACHOEIRINHA";88
"170384 CAMPOS LINDOS";499
"170386 CARIRI DO TOCANTINS";155
"170388 CARMOLANDIA";104
"170389 CARRASCO BONITO";198
"170390 CASEARA";217
"170410 CENTENARIO";115
"170460 CHAPADA DE AREIA";51
"170510 CHAPADA DA NATIVIDADE";128
"170550 COLINAS DO TOCANTINS";1518
"170555 COMBINADO";203
"170560 CONCEICAO DO TOCANTINS";175
"170600 COUTO MAGALHAES";231
"170610 CRISTALANDIA";278
"170625 CRIXAS DO TOCANTINS";69
"170650 DARCINOPOLIS";247
"170700 DIANOPOLIS";957
"170710 DIVINOPOLIS DO TOCANTINS";273
"170720 DOIS IRMAOS DO TOCANTINS";220
"170730 DUERE";177
"170740 ESPERANTINA";494
"170755 FATIMA";172
"170765 FIGUEIROPOLIS";183
"170770 FILADELFIA";383
"170820 FORMOSO DO ARAGUAIA";759
"170825 FORTALEZA DO TABOCAO";101
"170830 GOIANORTE";194
"170900 GOIATINS";620
"170930 GUARAI";992
"170950 GURUPI";3520
"170980 IPUEIRAS";73
"171050 ITACAJA";316
"171070 ITAGUATINS";245
"171090 ITAPIRATINS";149
"171110 ITAPORA DO TOCANTINS";97
"171150 JAU DO TOCANTINS";156
"171180 JUARINA";97
"171190 LAGOA DA CONFUSAO";587
"171195 LAGOA DO TOCANTINS";191
"171200 LAJEADO";126
"171215 LAVANDEIRA";85
"171240 LIZARDA";148
"171245 LUZINOPOLIS";130
"171250 MARIANOPOLIS DO TOCANTINS";204
"171270 MATEIROS";112
"171280 MAURILANDIA DO TOCANTINS";139
"171320 MIRACEMA DO TOCANTINS";850
"171330 MIRANORTE";527
"171360 MONTE DO CARMO";286
"171370 MONTE SANTO DO TOCANTINS";80
"171380 PALMEIRAS DO TOCANTINS";267
"171395 MURICILANDIA";160
"171420 NATIVIDADE";343
"171430 NAZARE";153
"171488 NOVA OLINDA";515
"171500 NOVA ROSALANDIA";157
"171510 NOVO ACORDO";183
"171515 NOVO ALEGRE";84
"171525 NOVO JARDIM";141
"171550 OLIVEIRA DE FATIMA";44
"171570 PALMEIRANTE";240
"171575 PALMEIROPOLIS";298
"171610 PARAISO DO TOCANTINS";2077
"171620 PARANA";419
"171630 PAU D'ARCO";176
"171650 PEDRO AFONSO";519
"171660 PEIXE";440
"171665 PEQUIZEIRO";219
"171670 COLMEIA";306
"171700 PINDORAMA DO TOCANTINS";197
"171720 PIRAQUE";94
"171750 PIUM";304
"171780 PONTE ALTA DO BOM JESUS";165
"171790 PONTE ALTA DO TOCANTINS";318
"171800 PORTO ALEGRE DO TOCANTINS";125
"171820 PORTO NACIONAL";2261
"171830 PRAIA NORTE";416
"171840 PRESIDENTE KENNEDY";165
"171845 PUGMIL";118
"171850 RECURSOLANDIA";215
"171855 RIACHINHO";192
"171865 RIO DA CONCEICAO";101
"171870 RIO DOS BOIS";109
"171875 RIO SONO";250
"171880 SAMPAIO";209
"171884 SANDOLANDIA";133
"171886 SANTA FE DO ARAGUAIA";334
"171888 SANTA MARIA DO TOCANTINS";131
"171889 SANTA RITA DO TOCANTINS";102
"171890 SANTA ROSA DO TOCANTINS";181
"171900 SANTA TEREZA DO TOCANTINS";113
"172000 SANTA TEREZINHA DO TOCANTINS";111
"172010 SAO BENTO DO TOCANTINS";232
"172015 SAO FELIX DO TOCANTINS";68
"172020 SAO MIGUEL DO TOCANTINS";603
"172025 SAO SALVADOR DO TOCANTINS";130
"172030 SAO SEBASTIAO DO TOCANTINS";217
"172049 SAO VALERIO";136
"172065 SILVANOPOLIS";187
"172080 SITIO NOVO DO TOCANTINS";408
"172085 SUCUPIRA";86
"172090 TAGUATINGA";654
"172093 TAIPAS DO TOCANTINS";87
"172097 TALISMA";96
"172100 PALMAS";13524
"172110 TOCANTINIA";386
"172120 TOCANTINOPOLIS";1022
"172125 TUPIRAMA";72
"172130 TUPIRATINS";87
"172208 WANDERLANDIA";496
"172210 XAMBIOA";421
"210005 ACAILANDIA";5552
"210010 AFONSO CUNHA";384
"210015 AGUA DOCE DO MARANHAO";609
"210020 ALCANTARA";997
"210030 ALDEIAS ALTAS";1444
"210040 ALTAMIRA DO MARANHAO";385
"210043 ALTO ALEGRE DO MARANHAO";1402
"210047 ALTO ALEGRE DO PINDARE";1599
"210050 ALTO PARNAIBA";562
"210055 AMAPA DO MARANHAO";395
"210060 AMARANTE DO MARANHAO";2280
"210070 ANAJATUBA";1162
"210080 ANAPURUS";840
"210083 APICUM-ACU";767
"210087 ARAGUANA";768
"210090 ARAIOSES";2094
"210095 ARAME";1737
"210100 ARARI";1398
"210110 AXIXA";580
"210120 BACABAL";5143
"210125 BACABEIRA";860
"210130 BACURI";791
"210135 BACURITUBA";251
"210140 BALSAS";4855
