 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 10 a 14 anos
Período:2008
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1260
"110002 ARIQUEMES";4609
"110003 CABIXI";304
"110004 CACOAL";3877
"110005 CEREJEIRAS";858
"110006 COLORADO DO OESTE";916
"110007 CORUMBIARA";464
"110008 COSTA MARQUES";758
"110009 ESPIGAO D'OESTE";1424
"110010 GUAJARA-MIRIM";2266
"110011 JARU";2674
"110012 JI-PARANA";5644
"110013 MACHADINHO D'OESTE";1594
"110014 NOVA BRASILANDIA D'OESTE";1017
"110015 OURO PRETO DO OESTE";1907
"110018 PIMENTA BUENO";1660
"110020 PORTO VELHO";20933
"110025 PRESIDENTE MEDICI";1084
"110026 RIO CRESPO";175
"110028 ROLIM DE MOURA";2494
"110029 SANTA LUZIA D'OESTE";447
"110030 VILHENA";3612
"110032 SAO MIGUEL DO GUAPORE";1227
"110033 NOVA MAMORE";1180
"110034 ALVORADA D'OESTE";897
"110037 ALTO ALEGRE DOS PARECIS";676
"110040 ALTO PARAISO";904
"110045 BURITIS";1706
"110050 NOVO HORIZONTE DO OESTE";538
"110060 CACAULANDIA";305
"110070 CAMPO NOVO DE RONDONIA";677
"110080 CANDEIAS DO JAMARI";1049
"110090 CASTANHEIRAS";190
"110092 CHUPINGUAIA";420
"110094 CUJUBIM";809
"110100 GOVERNADOR JORGE TEIXEIRA";591
"110110 ITAPUA DO OESTE";459
"110120 MINISTRO ANDREAZZA";594
"110130 MIRANTE DA SERRA";683
"110140 MONTE NEGRO";741
"110143 NOVA UNIAO";400
"110145 PARECIS";229
"110146 PIMENTEIRAS DO OESTE";129
"110147 PRIMAVERA DE RONDONIA";204
"110148 SAO FELIPE D'OESTE";311
"110149 SAO FRANCISCO DO GUAPORE";865
"110150 SERINGUEIRAS";655
"110155 TEIXEIROPOLIS";263
"110160 THEOBROMA";552
"110170 URUPA";671
"110175 VALE DO ANARI";479
"110180 VALE DO PARAISO";452
"120001 ACRELANDIA";733
"120005 ASSIS BRASIL";352
"120010 BRASILEIA";1181
"120013 BUJARI";467
"120017 CAPIXABA";536
"120020 CRUZEIRO DO SUL";4903
"120025 EPITACIOLANDIA";863
"120030 FEIJO";2179
"120032 JORDAO";447
"120033 MANCIO LIMA";939
"120034 MANOEL URBANO";486
"120035 MARECHAL THAUMATURGO";937
"120038 PLACIDO DE CASTRO";1035
"120039 PORTO WALTER";620
"120040 RIO BRANCO";17745
"120042 RODRIGUES ALVES";923
"120043 SANTA ROSA DO PURUS";295
"120045 SENADOR GUIOMARD";1146
"120050 SENA MADUREIRA";2256
