 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 10 a 14 anos
Período:2005
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1423
"110002 ARIQUEMES";4666
"110003 CABIXI";323
"110004 CACOAL";4090
"110005 CEREJEIRAS";947
"110006 COLORADO DO OESTE";1043
"110007 CORUMBIARA";520
"110008 COSTA MARQUES";670
"110009 ESPIGAO D'OESTE";1424
"110010 GUAJARA-MIRIM";2275
"110011 JARU";2854
"110012 JI-PARANA";6068
"110013 MACHADINHO D'OESTE";1474
"110014 NOVA BRASILANDIA D'OESTE";1121
"110015 OURO PRETO DO OESTE";2059
"110018 PIMENTA BUENO";1759
"110020 PORTO VELHO";21313
"110025 PRESIDENTE MEDICI";1211
"110026 RIO CRESPO";169
"110028 ROLIM DE MOURA";2687
"110029 SANTA LUZIA D'OESTE";531
"110030 VILHENA";3549
"110032 SAO MIGUEL DO GUAPORE";1300
"110033 NOVA MAMORE";1028
"110034 ALVORADA D'OESTE";1039
"110037 ALTO ALEGRE DOS PARECIS";732
"110040 ALTO PARAISO";836
"110045 BURITIS";1676
"110050 NOVO HORIZONTE DO OESTE";572
"110060 CACAULANDIA";302
"110070 CAMPO NOVO DE RONDONIA";663
"110080 CANDEIAS DO JAMARI";976
"110090 CASTANHEIRAS";219
"110092 CHUPINGUAIA";395
"110094 CUJUBIM";703
"110100 GOVERNADOR JORGE TEIXEIRA";677
"110110 ITAPUA DO OESTE";432
"110120 MINISTRO ANDREAZZA";626
"110130 MIRANTE DA SERRA";728
"110140 MONTE NEGRO";724
"110143 NOVA UNIAO";456
"110145 PARECIS";246
"110146 PIMENTEIRAS DO OESTE";138
"110147 PRIMAVERA DE RONDONIA";196
"110148 SAO FELIPE D'OESTE";327
"110149 SAO FRANCISCO DO GUAPORE";836
"110150 SERINGUEIRAS";698
"110155 TEIXEIROPOLIS";285
"110160 THEOBROMA";557
"110170 URUPA";758
"110175 VALE DO ANARI";484
"110180 VALE DO PARAISO";508
"120001 ACRELANDIA";651
"120005 ASSIS BRASIL";330
"120010 BRASILEIA";1052
"120013 BUJARI";440
"120017 CAPIXABA";428
"120020 CRUZEIRO DO SUL";4537
"120025 EPITACIOLANDIA";817
"120030 FEIJO";2135
"120032 JORDAO";390
"120033 MANCIO LIMA";825
"120034 MANOEL URBANO";449
"120035 MARECHAL THAUMATURGO";801
"120038 PLACIDO DE CASTRO";885
"120039 PORTO WALTER";462
"120040 RIO BRANCO";17072
"120042 RODRIGUES ALVES";741
"120043 SANTA ROSA DO PURUS";272
"120045 SENADOR GUIOMARD";1062
"120050 SENA MADUREIRA";2108
"120060 TARAUACA";2025
"120070 XAPURI";860
"120080 PORTO ACRE";739
"130002 ALVARAES";859
"130006 AMATURA";586
"130008 ANAMA";504
"130010 ANORI";859
"130014 APUI";949
"130020 ATALAIA DO NORTE";911
"130030 AUTAZES";1660
"130040 BARCELOS";1749
"130050 BARREIRINHA";1526
"130060 BENJAMIN CONSTANT";1803
"130063 BERURI";822
"130068 BOA VISTA DO RAMOS";812
"130070 BOCA DO ACRE";1693
"130080 BORBA";2124
"130083 CAAPIRANGA";610
"130090 CANUTAMA";837
"130100 CARAUARI";1587
"130110 CAREIRO";1827
"130115 CAREIRO DA VARZEA";1168
"130120 COARI";4947
"130130 CODAJAS";1337
"130140 EIRUNEPE";1910
"130150 ENVIRA";923
"130160 FONTE BOA";1840
"130165 GUAJARA";840
"130170 HUMAITA";2407
"130180 IPIXUNA";1188
"130185 IRANDUBA";2088
"130190 ITACOATIARA";4604
"130195 ITAMARATI";573
"130200 ITAPIRANGA";505
"130210 JAPURA";663
"130220 JURUA";556
"130230 JUTAI";1444
"130240 LABREA";2031
