 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 40 a 49 anos
Período:2001
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1195
"110002 ARIQUEMES";3747
"110003 CABIXI";379
"110004 CACOAL";3988
"110005 CEREJEIRAS";936
"110006 COLORADO DO OESTE";1170
"110007 CORUMBIARA";447
"110008 COSTA MARQUES";411
"110009 ESPIGAO D'OESTE";1309
"110010 GUAJARA-MIRIM";1741
"110011 JARU";2570
"110012 JI-PARANA";5804
"110013 MACHADINHO D'OESTE";1110
"110014 NOVA BRASILANDIA D'OESTE";918
"110015 OURO PRETO DO OESTE";1993
"110018 PIMENTA BUENO";1710
"110020 PORTO VELHO";18096
"110025 PRESIDENTE MEDICI";1341
"110026 RIO CRESPO";114
"110028 ROLIM DE MOURA";2470
"110029 SANTA LUZIA D'OESTE";548
"110030 VILHENA";3051
"110032 SAO MIGUEL DO GUAPORE";926
"110033 NOVA MAMORE";678
"110034 ALVORADA D'OESTE";958
"110037 ALTO ALEGRE DOS PARECIS";509
"110040 ALTO PARAISO";607
"110045 BURITIS";1149
"110050 NOVO HORIZONTE DO OESTE";546
"110060 CACAULANDIA";266
"110070 CAMPO NOVO DE RONDONIA";501
"110080 CANDEIAS DO JAMARI";598
"110090 CASTANHEIRAS";195
"110092 CHUPINGUAIA";227
"110094 CUJUBIM";328
"110100 GOVERNADOR JORGE TEIXEIRA";582
"110110 ITAPUA DO OESTE";298
"110120 MINISTRO ANDREAZZA";498
"110130 MIRANTE DA SERRA";614
"110140 MONTE NEGRO";558
"110143 NOVA UNIAO";333
"110145 PARECIS";173
"110146 PIMENTEIRAS DO OESTE";104
"110147 PRIMAVERA DE RONDONIA";193
"110148 SAO FELIPE D'OESTE";355
"110149 SAO FRANCISCO DO GUAPORE";527
"110150 SERINGUEIRAS";477
"110155 TEIXEIROPOLIS";233
"110160 THEOBROMA";503
"110170 URUPA";729
"110175 VALE DO ANARI";335
"110180 VALE DO PARAISO";403
"120001 ACRELANDIA";376
"120005 ASSIS BRASIL";158
"120010 BRASILEIA";661
"120013 BUJARI";256
"120017 CAPIXABA";206
"120020 CRUZEIRO DO SUL";2599
"120025 EPITACIOLANDIA";472
"120030 FEIJO";939
"120032 JORDAO";111
"120033 MANCIO LIMA";389
"120034 MANOEL URBANO";204
"120035 MARECHAL THAUMATURGO";214
"120038 PLACIDO DE CASTRO";574
"120039 PORTO WALTER";163
"120040 RIO BRANCO";12920
"120042 RODRIGUES ALVES";253
"120043 SANTA ROSA DO PURUS";55
"120045 SENADOR GUIOMARD";766
"120050 SENA MADUREIRA";1122
"120060 TARAUACA";895
"120070 XAPURI";536
"120080 PORTO ACRE";430
"130002 ALVARAES";334
"130006 AMATURA";225
"130008 ANAMA";229
"130010 ANORI";387
"130014 APUI";632
"130020 ATALAIA DO NORTE";314
"130030 AUTAZES";807
"130040 BARCELOS";808
"130050 BARREIRINHA";692
"130060 BENJAMIN CONSTANT";777
"130063 BERURI";327
"130068 BOA VISTA DO RAMOS";367
"130070 BOCA DO ACRE";988
"130080 BORBA";911
"130083 CAAPIRANGA";294
"130090 CANUTAMA";435
"130100 CARAUARI";709
"130110 CAREIRO";1052
"130115 CAREIRO DA VARZEA";675
"130120 COARI";2229
"130130 CODAJAS";609
"130140 EIRUNEPE";877
"130150 ENVIRA";368
"130160 FONTE BOA";866
"130165 GUAJARA";313
"130170 HUMAITA";1174
"130180 IPIXUNA";456
"130185 IRANDUBA";1234
"130190 ITACOATIARA";2838
"130195 ITAMARATI";200
"130200 ITAPIRANGA";262
"130210 JAPURA";327
"130220 JURUA";194
"130230 JUTAI";584
"130240 LABREA";1060
"130250 MANACAPURU";2681
"130255 MANAQUIRI";499
"130260 MANAUS";74116
"130270 MANICORE";1297
"130280 MARAA";464
"130290 MAUES";1492
"130300 NHAMUNDA";511
"130310 NOVA OLINDA DO NORTE";853
"130320 NOVO AIRAO";362
"130330 NOVO ARIPUANA";540
"130340 PARINTINS";3430
"130350 PAUINI";556
"130353 PRESIDENTE FIGUEIREDO";783
"130356 RIO PRETO DA EVA";641
"130360 SANTA ISABEL DO RIO NEGRO";379
"130370 SANTO ANTONIO DO ICA";899
"130380 SAO GABRIEL DA CACHOEIRA";1116
"130390 SAO PAULO DE OLIVENCA";670
"130395 SAO SEBASTIAO DO UATUMA";229
"130400 SILVES";290
"130406 TABATINGA";1379
"130410 TAPAUA";547
"130420 TEFE";2123
"130423 TONANTINS";456
"130426 UARINI";293
"130430 URUCARA";585
"130440 URUCURITUBA";418
"140002 AMAJARI";201
"140005 ALTO ALEGRE";638
"140010 BOA VISTA";9895
"140015 BONFIM";319
"140017 CANTA";366
"140020 CARACARAI";557
"140023 CAROEBE";225
"140028 IRACEMA";205
"140030 MUCAJAI";501
"140040 NORMANDIA";188
"140045 PACARAIMA";273
"140047 RORAINOPOLIS";787
"140050 SAO JOAO DA BALIZA";209
"140060 SAO LUIZ";262
"140070 UIRAMUTA";170
"150010 ABAETETUBA";4820
"150013 ABEL FIGUEIREDO";249
"150020 ACARA";1723
"150030 AFUA";887
"150034 AGUA AZUL DO NORTE";852
"150040 ALENQUER";1878
"150050 ALMEIRIM";1249
"150060 ALTAMIRA";3594
"150070 ANAJAS";531
"150080 ANANINDEUA";22693
"150085 ANAPU";400
"150090 AUGUSTO CORREA";1178
