 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 40 a 49 anos
Período:2004
"Município";"População_residente"
"150276 CUMARU DO NORTE";304
"150277 CURIONOPOLIS";903
"150280 CURRALINHO";700
"150285 CURUA";376
"150290 CURUCA";1276
"150293 DOM ELISEU";1974
"150295 ELDORADO DOS CARAJAS";1270
"150300 FARO";352
"150304 FLORESTA DO ARAGUAIA";662
"150307 GARRAFAO DO NORTE";815
"150309 GOIANESIA DO PARA";1092
"150310 GURUPA";808
"150320 IGARAPE-ACU";1535
"150330 IGARAPE-MIRI";2058
"150340 INHANGAPI";380
"150345 IPIXUNA DO PARA";1130
"150350 IRITUIA";1172
"150360 ITAITUBA";4604
"150370 ITUPIRANGA";2046
"150375 JACAREACANGA";835
"150380 JACUNDA";1903
"150390 JURUTI";1225
"150400 LIMOEIRO DO AJURU";714
"150405 MAE DO RIO";1126
"150410 MAGALHAES BARATA";341
"150420 MARABA";9026
"150430 MARACANA";1151
"150440 MARAPANIM";1093
"150442 MARITUBA";4233
"150445 MEDICILANDIA";975
"150450 MELGACO";618
"150460 MOCAJUBA";855
"150470 MOJU";2072
"150475 MOJUI DOS CAMPOS";604
"150480 MONTE ALEGRE";2292
"150490 MUANA";1065
"150495 NOVA ESPERANCA DO PIRIA";594
"150497 NOVA IPIXUNA";553
"150500 NOVA TIMBOTEUA";605
"150503 NOVO PROGRESSO";1249
"150506 NOVO REPARTIMENTO";1981
"150510 OBIDOS";1816
"150520 OEIRAS DO PARA";764
"150530 ORIXIMINA";2266
"150540 OUREM";620
"150543 OURILANDIA DO NORTE";953
"150548 PACAJA";1297
"150549 PALESTINA DO PARA";317
"150550 PARAGOMINAS";3534
"150553 PARAUAPEBAS";4529
"150555 PAU D'ARCO";273
"150560 PEIXE-BOI";375
"150563 PICARRA";514
"150565 PLACAS";695
"150570 PONTA DE PEDRAS";904
"150580 PORTEL";1292
"150590 PORTO DE MOZ";781
"150600 PRAINHA";1034
"150610 PRIMAVERA";413
"150611 QUATIPURU";508
"150613 REDENCAO";3418
"150616 RIO MARIA";888
"150618 RONDON DO PARA";2016
"150619 RUROPOLIS";1277
"150620 SALINOPOLIS";1520
"150630 SALVATERRA";752
"150635 SANTA BARBARA DO PARA";580
"150640 SANTA CRUZ DO ARARI";277
"150650 SANTA IZABEL DO PARA";2254
"150655 SANTA LUZIA DO PARA";778
"150658 SANTA MARIA DAS BARREIRAS";647
"150660 SANTA MARIA DO PARA";1015
"150670 SANTANA DO ARAGUAIA";1816
"150680 SANTAREM";12439
"150690 SANTAREM NOVO";212
"150700 SANTO ANTONIO DO TAUA";966
"150710 SAO CAETANO DE ODIVELAS";664
"150715 SAO DOMINGOS DO ARAGUAIA";836
"150720 SAO DOMINGOS DO CAPIM";913
"150730 SAO FELIX DO XINGU";2215
"150740 SAO FRANCISCO DO PARA";649
"150745 SAO GERALDO DO ARAGUAIA";1170
"150746 SAO JOAO DA PONTA";175
"150747 SAO JOAO DE PIRABAS";782
"150750 SAO JOAO DO ARAGUAIA";536
"150760 SAO MIGUEL DO GUAMA";1883
"150770 SAO SEBASTIAO DA BOA VISTA";717
"150775 SAPUCAIA";199
"150780 SENADOR JOSE PORFIRIO";537
"150790 SOURE";1006
"150795 TAILANDIA";1789
"150796 TERRA ALTA";364
"150797 TERRA SANTA";602
"150800 TOME-ACU";1906
"150803 TRACUATEUA";962
"150805 TRAIRAO";614
"150808 TUCUMA";1351
"150810 TUCURUI";4067
"150812 ULIANOPOLIS";1143
"150815 URUARA";1775
"150820 VIGIA";1898
"150830 VISEU";1961
"150835 VITORIA DO XINGU";462
"150840 XINGUARA";1797
"160005 SERRA DO NAVIO";143
"160010 AMAPA";274
"160015 PEDRA BRANCA DO AMAPARI";219
"160020 CALCOENE";299
"160021 CUTIAS";131
"160023 FERREIRA GOMES";165
"160025 ITAUBAL";120
"160027 LARANJAL DO JARI";1275
"160030 MACAPA";15345
"160040 MAZAGAO";478
"160050 OIAPOQUE";610
"160053 PORTO GRANDE";473
"160055 PRACUUBA";83
"160060 SANTANA";3616
"160070 TARTARUGALZINHO";319
"160080 VITORIA DO JARI";334
"170025 ABREULANDIA";128
"170030 AGUIARNOPOLIS";165
"170035 ALIANCA DO TOCANTINS";328
"170040 ALMAS";364
"170070 ALVORADA";478
"170100 ANANAS";405
"170105 ANGICO";128
"170110 APARECIDA DO RIO NEGRO";187
"170130 ARAGOMINAS";289
"170190 ARAGUACEMA";279
"170200 ARAGUACU";505
"170210 ARAGUAINA";6670
"170215 ARAGUANA";208
"170220 ARAGUATINS";1259
"170230 ARAPOEMA";325
"170240 ARRAIAS";568
"170255 AUGUSTINOPOLIS";692
"170270 AURORA DO TOCANTINS";160
"170290 AXIXA DO TOCANTINS";421
"170300 BABACULANDIA";494
"170305 BANDEIRANTES DO TOCANTINS";115
"170307 BARRA DO OURO";152
"170310 BARROLANDIA";293
"170320 BERNARDO SAYAO";217
"170330 BOM JESUS DO TOCANTINS";134
"170360 BRASILANDIA DO TOCANTINS";87
"170370 BREJINHO DE NAZARE";243
"170380 BURITI DO TOCANTINS";393
"170382 CACHOEIRINHA";79
"170384 CAMPOS LINDOS";241
"170386 CARIRI DO TOCANTINS";153
"170388 CARMOLANDIA";110
"170389 CARRASCO BONITO";137
"170390 CASEARA";185
"170410 CENTENARIO";113
"170460 CHAPADA DE AREIA";65
"170510 CHAPADA DA NATIVIDADE";141
"170550 COLINAS DO TOCANTINS";1417
"170555 COMBINADO";236
"170560 CONCEICAO DO TOCANTINS";182
"170600 COUTO MAGALHAES";240
"170610 CRISTALANDIA";430
"170625 CRIXAS DO TOCANTINS";79
"170650 DARCINOPOLIS";222
"170700 DIANOPOLIS";781
"170710 DIVINOPOLIS DO TOCANTINS";322
"170720 DOIS IRMAOS DO TOCANTINS";368
"170730 DUERE";209
"170740 ESPERANTINA";354
"170755 FATIMA";203
"170765 FIGUEIROPOLIS";315
"170770 FILADELFIA";361
"170820 FORMOSO DO ARAGUAIA";974
"170825 FORTALEZA DO TABOCAO";113
"170830 GOIANORTE";243
"170900 GOIATINS";498
"170930 GUARAI";1209
"170950 GURUPI";4013
"170980 IPUEIRAS";60
"171050 ITACAJA";332
"171070 ITAGUATINS";304
"171090 ITAPIRATINS";155
"171110 ITAPORA DO TOCANTINS";124
"171150 JAU DO TOCANTINS";183
"171180 JUARINA";114
"171190 LAGOA DA CONFUSAO";342
"171195 LAGOA DO TOCANTINS";124
"171200 LAJEADO";119
"171215 LAVANDEIRA";74
"171240 LIZARDA";199
"171245 LUZINOPOLIS";106
"171250 MARIANOPOLIS DO TOCANTINS";196
"171270 MATEIROS";63
"171280 MAURILANDIA DO TOCANTINS";132
"171320 MIRACEMA DO TOCANTINS";1132
"171330 MIRANORTE";646
"171360 MONTE DO CARMO";311
"171370 MONTE SANTO DO TOCANTINS";92
"171380 PALMEIRAS DO TOCANTINS";207
"171395 MURICILANDIA";125
"171420 NATIVIDADE";435
"171430 NAZARE";236
"171488 NOVA OLINDA";492
"171500 NOVA ROSALANDIA";190
"171510 NOVO ACORDO";148
"171515 NOVO ALEGRE";109
"171525 NOVO JARDIM";95
"171550 OLIVEIRA DE FATIMA";45
"171570 PALMEIRANTE";192
"171575 PALMEIROPOLIS";424
"171610 PARAISO DO TOCANTINS";2225
"171620 PARANA";459
"171630 PAU D'ARCO";208
"171650 PEDRO AFONSO";454
"171660 PEIXE";513
"171665 PEQUIZEIRO";218
"171670 COLMEIA";484
"171700 PINDORAMA DO TOCANTINS";209
"171720 PIRAQUE";141
"171750 PIUM";295
"171780 PONTE ALTA DO BOM JESUS";217
"171790 PONTE ALTA DO TOCANTINS";308
"171800 PORTO ALEGRE DO TOCANTINS";120
"171820 PORTO NACIONAL";2297
"171830 PRAIA NORTE";285
"171840 PRESIDENTE KENNEDY";189
"171845 PUGMIL";100
"171850 RECURSOLANDIA";141
"171855 RIACHINHO";179
"171865 RIO DA CONCEICAO";49
"171870 RIO DOS BOIS";128
"171875 RIO SONO";297
"171880 SAMPAIO";133
"171884 SANDOLANDIA";163
"171886 SANTA FE DO ARAGUAIA";274
"171888 SANTA MARIA DO TOCANTINS";127
"171889 SANTA RITA DO TOCANTINS";100
"171890 SANTA ROSA DO TOCANTINS";216
"171900 SANTA TEREZA DO TOCANTINS";111
"172000 SANTA TEREZINHA DO TOCANTINS";94
"172010 SAO BENTO DO TOCANTINS";167
"172015 SAO FELIX DO TOCANTINS";62
"172020 SAO MIGUEL DO TOCANTINS";409
"172025 SAO SALVADOR DO TOCANTINS";144
