 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 10 a 14 anos
Período:2014
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2099
"110002 ARIQUEMES";9428
"110003 CABIXI";462
"110004 CACOAL";6963
"110005 CEREJEIRAS";1390
"110006 COLORADO DO OESTE";1367
"110007 CORUMBIARA";707
"110008 COSTA MARQUES";1694
"110009 ESPIGAO D'OESTE";2711
"110010 GUAJARA-MIRIM";4624
"110011 JARU";4771
"110012 JI-PARANA";10713
"110013 MACHADINHO D'OESTE";3493
"110014 NOVA BRASILANDIA D'OESTE";1813
"110015 OURO PRETO DO OESTE";3233
"110018 PIMENTA BUENO";3198
"110020 PORTO VELHO";42983
"110025 PRESIDENTE MEDICI";1771
"110026 RIO CRESPO";322
"110028 ROLIM DE MOURA";4632
"110029 SANTA LUZIA D'OESTE";625
"110030 VILHENA";7782
"110032 SAO MIGUEL DO GUAPORE";2156
"110033 NOVA MAMORE";2801
"110034 ALVORADA D'OESTE";1418
"110037 ALTO ALEGRE DOS PARECIS";1294
"110040 ALTO PARAISO";1909
"110045 BURITIS";3627
"110050 NOVO HORIZONTE DO OESTE";799
"110060 CACAULANDIA";578
"110070 CAMPO NOVO DE RONDONIA";1365
"110080 CANDEIAS DO JAMARI";2314
"110090 CASTANHEIRAS";286
"110092 CHUPINGUAIA";945
"110094 CUJUBIM";2182
"110100 GOVERNADOR JORGE TEIXEIRA";885
"110110 ITAPUA DO OESTE";898
"110120 MINISTRO ANDREAZZA";965
"110130 MIRANTE DA SERRA";1134
"110140 MONTE NEGRO";1506
"110143 NOVA UNIAO";690
"110145 PARECIS";506
"110146 PIMENTEIRAS DO OESTE";210
"110147 PRIMAVERA DE RONDONIA";294
"110148 SAO FELIPE D'OESTE";463
"110149 SAO FRANCISCO DO GUAPORE";1781
"110150 SERINGUEIRAS";1195
"110155 TEIXEIROPOLIS";397
"110160 THEOBROMA";995
"110170 URUPA";1105
"110175 VALE DO ANARI";971
"110180 VALE DO PARAISO";671
"120001 ACRELANDIA";1539
"120005 ASSIS BRASIL";769
"120010 BRASILEIA";2631
"120013 BUJARI";1062
"120017 CAPIXABA";1219
"120020 CRUZEIRO DO SUL";10279
"120025 EPITACIOLANDIA";1827
"120030 FEIJO";4510
"120032 JORDAO";1109
