 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 10 a 14 anos
Período:2020
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1616
"110002 ARIQUEMES";8416
"110003 CABIXI";348
"110004 CACOAL";6196
"110005 CEREJEIRAS";1113
"110006 COLORADO DO OESTE";1036
"110007 CORUMBIARA";453
"110008 COSTA MARQUES";1593
"110009 ESPIGAO D'OESTE";2519
"110010 GUAJARA-MIRIM";4119
"110011 JARU";3771
"110012 JI-PARANA";9897
"110013 MACHADINHO D'OESTE";3376
"110014 NOVA BRASILANDIA D'OESTE";1372
"110015 OURO PRETO DO OESTE";2534
"110018 PIMENTA BUENO";2864
"110020 PORTO VELHO";42312
"110025 PRESIDENTE MEDICI";1219
"110026 RIO CRESPO";266
"110028 ROLIM DE MOURA";3999
"110029 SANTA LUZIA D'OESTE";409
"110030 VILHENA";8011
"110032 SAO MIGUEL DO GUAPORE";1695
"110033 NOVA MAMORE";2659
"110034 ALVORADA D'OESTE";982
"110037 ALTO ALEGRE DOS PARECIS";982
"110040 ALTO PARAISO";1647
"110045 BURITIS";3227
"110050 NOVO HORIZONTE DO OESTE";550
"110060 CACAULANDIA";456
"110070 CAMPO NOVO DE RONDONIA";1087
"110080 CANDEIAS DO JAMARI";2197
"110090 CASTANHEIRAS";173
"110092 CHUPINGUAIA";949
"110094 CUJUBIM";2255
"110100 GOVERNADOR JORGE TEIXEIRA";479
"110110 ITAPUA DO OESTE";863
"110120 MINISTRO ANDREAZZA";734
"110130 MIRANTE DA SERRA";720
"110140 MONTE NEGRO";1169
"110143 NOVA UNIAO";508
"110145 PARECIS";501
"110146 PIMENTEIRAS DO OESTE";159
"110147 PRIMAVERA DE RONDONIA";162
"110148 SAO FELIPE D'OESTE";300
"110149 SAO FRANCISCO DO GUAPORE";1617
"110150 SERINGUEIRAS";805
"110155 TEIXEIROPOLIS";277
"110160 THEOBROMA";716
"110170 URUPA";762
"110175 VALE DO ANARI";780
"110180 VALE DO PARAISO";436
"120001 ACRELANDIA";1346
"120005 ASSIS BRASIL";820
"120010 BRASILEIA";2472
"120013 BUJARI";919
"120017 CAPIXABA";1035
"120020 CRUZEIRO DO SUL";9351
"120025 EPITACIOLANDIA";1768
"120030 FEIJO";4143
"120032 JORDAO";1103
"120033 MANCIO LIMA";2054
"120034 MANOEL URBANO";1017
"120035 MARECHAL THAUMATURGO";2519
"120038 PLACIDO DE CASTRO";1887
"120039 PORTO WALTER";1569
"120040 RIO BRANCO";38924
"120042 RODRIGUES ALVES";2140
"120043 SANTA ROSA DO PURUS";778
"120045 SENADOR GUIOMARD";2148
"120050 SENA MADUREIRA";4660
"120060 TARAUACA";5331
"120070 XAPURI";1815
"120080 PORTO ACRE";1675
"130002 ALVARAES";1873
"130006 AMATURA";1291
"130008 ANAMA";1311
"130010 ANORI";2211
"130014 APUI";1671
"130020 ATALAIA DO NORTE";2309
"130030 AUTAZES";4052
"130040 BARCELOS";2533
"130050 BARREIRINHA";3520
"130060 BENJAMIN CONSTANT";5540
"130063 BERURI";2238
"130068 BOA VISTA DO RAMOS";2038
"130070 BOCA DO ACRE";3342
"130080 BORBA";4203
"130083 CAAPIRANGA";1353
"130090 CANUTAMA";1268
"130100 CARAUARI";2953
"130110 CAREIRO";3536
"130115 CAREIRO DA VARZEA";2753
"130120 COARI";9063
"130130 CODAJAS";2723
"130140 EIRUNEPE";3930
"130150 ENVIRA";2263
"130160 FONTE BOA";1923
"130165 GUAJARA";1747
"130170 HUMAITA";5038
"130180 IPIXUNA";3195
"130185 IRANDUBA";4915
"130190 ITACOATIARA";9910
"130195 ITAMARATI";776
