 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 10 a 14 anos
Período:2021
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1556
"110002 ARIQUEMES";8317
"110003 CABIXI";332
"110004 CACOAL";6065
"110005 CEREJEIRAS";1077
"110006 COLORADO DO OESTE";987
"110007 CORUMBIARA";434
"110008 COSTA MARQUES";1606
"110009 ESPIGAO D'OESTE";2478
"110010 GUAJARA-MIRIM";4041
"110011 JARU";3670
"110012 JI-PARANA";9679
"110013 MACHADINHO D'OESTE";3374
"110014 NOVA BRASILANDIA D'OESTE";1343
"110015 OURO PRETO DO OESTE";2446
"110018 PIMENTA BUENO";2799
"110020 PORTO VELHO";41794
"110025 PRESIDENTE MEDICI";1161
"110026 RIO CRESPO";263
"110028 ROLIM DE MOURA";3922
"110029 SANTA LUZIA D'OESTE";381
"110030 VILHENA";7954
"110032 SAO MIGUEL DO GUAPORE";1665
"110033 NOVA MAMORE";2670
"110034 ALVORADA D'OESTE";937
"110037 ALTO ALEGRE DOS PARECIS";963
"110040 ALTO PARAISO";1651
"110045 BURITIS";3207
"110050 NOVO HORIZONTE DO OESTE";525
"110060 CACAULANDIA";450
"110070 CAMPO NOVO DE RONDONIA";1077
"110080 CANDEIAS DO JAMARI";2210
"110090 CASTANHEIRAS";166
"110092 CHUPINGUAIA";952
"110094 CUJUBIM";2293
"110100 GOVERNADOR JORGE TEIXEIRA";449
"110110 ITAPUA DO OESTE";859
"110120 MINISTRO ANDREAZZA";714
"110130 MIRANTE DA SERRA";698
"110140 MONTE NEGRO";1156
"110143 NOVA UNIAO";491
"110145 PARECIS";496
"110146 PIMENTEIRAS DO OESTE";154
"110147 PRIMAVERA DE RONDONIA";156
"110148 SAO FELIPE D'OESTE";288
"110149 SAO FRANCISCO DO GUAPORE";1613
"110150 SERINGUEIRAS";789
"110155 TEIXEIROPOLIS";266
"110160 THEOBROMA";698
"110170 URUPA";729
"110175 VALE DO ANARI";775
"110180 VALE DO PARAISO";417
"120001 ACRELANDIA";1328
"120005 ASSIS BRASIL";804
"120010 BRASILEIA";2436
"120013 BUJARI";906
"120017 CAPIXABA";1035
"120020 CRUZEIRO DO SUL";9119
"120025 EPITACIOLANDIA";1731
"120030 FEIJO";4028
"120032 JORDAO";1094
"120033 MANCIO LIMA";2030
"120034 MANOEL URBANO";1001
"120035 MARECHAL THAUMATURGO";2498
"120038 PLACIDO DE CASTRO";1847
"120039 PORTO WALTER";1569
"120040 RIO BRANCO";37940
"120042 RODRIGUES ALVES";2136
"120043 SANTA ROSA DO PURUS";777
"120045 SENADOR GUIOMARD";2100
"120050 SENA MADUREIRA";4574
"120060 TARAUACA";5230
"120070 XAPURI";1781
"120080 PORTO ACRE";1654
"130002 ALVARAES";1876
"130006 AMATURA";1302
"130008 ANAMA";1332
"130010 ANORI";2240
"130014 APUI";1679
"130020 ATALAIA DO NORTE";2324
"130030 AUTAZES";4081
"130040 BARCELOS";2515
"130050 BARREIRINHA";3549
"130060 BENJAMIN CONSTANT";5558
"130063 BERURI";2266
"130068 BOA VISTA DO RAMOS";2067
"130070 BOCA DO ACRE";3339
"130080 BORBA";4220
"130083 CAAPIRANGA";1363
"130090 CANUTAMA";1261
"130100 CARAUARI";2953
"130110 CAREIRO";3556
"130115 CAREIRO DA VARZEA";2781
"130120 COARI";9023
"130130 CODAJAS";2753
"130140 EIRUNEPE";3921
"130150 ENVIRA";2284
"130160 FONTE BOA";1827
"130165 GUAJARA";1761
"130170 HUMAITA";5081
"130180 IPIXUNA";3239
"130185 IRANDUBA";4920
"130190 ITACOATIARA";9927
"130195 ITAMARATI";771
"130200 ITAPIRANGA";873
"130210 JAPURA";224
"130220 JURUA";1721
"130230 JUTAI";1489
"130240 LABREA";4734
"130250 MANACAPURU";9766
"130255 MANAQUIRI";3440
"130260 MANAUS";195468
"130270 MANICORE";5496
"130280 MARAA";2112
"130290 MAUES";7127
"130300 NHAMUNDA";1895
"130310 NOVA OLINDA DO NORTE";3693
"130320 NOVO AIRAO";2006
"130330 NOVO ARIPUANA";2187
"130340 PARINTINS";11442
"130350 PAUINI";2220
"130353 PRESIDENTE FIGUEIREDO";3592
"130356 RIO PRETO DA EVA";3047
"130360 SANTA ISABEL DO RIO NEGRO";3559
"130370 SANTO ANTONIO DO ICA";2206
"130380 SAO GABRIEL DA CACHOEIRA";5136
"130390 SAO PAULO DE OLIVENCA";4202
"130395 SAO SEBASTIAO DO UATUMA";1458
"130400 SILVES";919
"130406 TABATINGA";7536
"130410 TAPAUA";1530
"130420 TEFE";6308
"130423 TONANTINS";2172
"130426 UARINI";1483
"130430 URUCARA";1532
"130440 URUCURITUBA";2342
"140002 AMAJARI";1396
"140005 ALTO ALEGRE";1674
"140010 BOA VISTA";35249
"140015 BONFIM";1204
"140017 CANTA";1590
"140020 CARACARAI";1849
"140023 CAROEBE";835
"140028 IRACEMA";1025
"140030 MUCAJAI";1468
"140040 NORMANDIA";1330
"140045 PACARAIMA";1952
"140047 RORAINOPOLIS";2396
"140050 SAO JOAO DA BALIZA";718
"140060 SAO LUIZ";524
"140070 UIRAMUTA";1378
"150010 ABAETETUBA";13570
"150013 ABEL FIGUEIREDO";662
"150020 ACARA";5541
"150030 AFUA";4255
"150034 AGUA AZUL DO NORTE";2128
"150040 ALENQUER";5435
"150050 ALMEIRIM";3351
"150060 ALTAMIRA";10629
"150070 ANAJAS";3418
"150080 ANANINDEUA";41993
"150085 ANAPU";2922
"150090 AUGUSTO CORREA";4704
"150095 AURORA DO PARA";2690
"150100 AVEIRO";1571
"150110 BAGRE";3414
"150120 BAIAO";4404
"150125 BANNACH";260
"150130 BARCARENA";11811
"150140 BELEM";111076
"150145 BELTERRA";1508
"150150 BENEVIDES";5392
"150157 BOM JESUS DO TOCANTINS";1443
"150160 BONITO";1580
"150170 BRAGANCA";12025
"150172 BRASIL NOVO";1234
"150175 BREJO GRANDE DO ARAGUAIA";653
"150178 BREU BRANCO";6632
"150180 BREVES";10986
"150190 BUJARU";2825
"150195 CACHOEIRA DO PIRIA";3531
"150200 CACHOEIRA DO ARARI";2063
"150210 CAMETA";13522
"150215 CANAA DOS CARAJAS";3831
"150220 CAPANEMA";5631
"150230 CAPITAO POCO";4530
"150240 CASTANHAL";17928
"150250 CHAVES";2531
"150260 COLARES";1094
"150270 CONCEICAO DO ARAGUAIA";3826
"150275 CONCORDIA DO PARA";3503
"150276 CUMARU DO NORTE";1178
"150277 CURIONOPOLIS";1541
"150280 CURRALINHO";4046
"150285 CURUA";1422
"150290 CURUCA";3378
"150293 DOM ELISEU";5601
"150295 ELDORADO DOS CARAJAS";3143
"150300 FARO";697
"150304 FLORESTA DO ARAGUAIA";1790
"150307 GARRAFAO DO NORTE";2282
"150309 GOIANESIA DO PARA";3750
"150310 GURUPA";3655
"150320 IGARAPE-ACU";3160
"150330 IGARAPE-MIRI";6172
"150340 INHANGAPI";1031
"150345 IPIXUNA DO PARA";6102
"150350 IRITUIA";2894
"150360 ITAITUBA";8695
"150370 ITUPIRANGA";5050
"150375 JACAREACANGA";782
"150380 JACUNDA";5667
"150390 JURUTI";5885
"150400 LIMOEIRO DO AJURU";2920
"150405 MAE DO RIO";2801
"150410 MAGALHAES BARATA";751
"150420 MARABA";27744
"150430 MARACANA";2345
"150440 MARAPANIM";2128
"150442 MARITUBA";11095
"150445 MEDICILANDIA";2795
"150450 MELGACO";3325
"150460 MOCAJUBA";3046
"150470 MOJU";8411
"150475 MOJUI DOS CAMPOS";1238
"150480 MONTE ALEGRE";4671
"150490 MUANA";4066
"150495 NOVA ESPERANCA DO PIRIA";2095
"150497 NOVA IPIXUNA";1504
"150500 NOVA TIMBOTEUA";1191
"150503 NOVO PROGRESSO";2911
"150506 NOVO REPARTIMENTO";7318
"150510 OBIDOS";5021
"150520 OEIRAS DO PARA";3642
"150530 ORIXIMINA";7490
"150540 OUREM";1539
