 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Faixa Etária 1: 10 a 14 anos
Período:2015
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1997
"110002 ARIQUEMES";9388
"110003 CABIXI";420
"110004 CACOAL";6761
"110005 CEREJEIRAS";1313
"110006 COLORADO DO OESTE";1274
"110007 CORUMBIARA";646
"110008 COSTA MARQUES";1690
"110009 ESPIGAO D'OESTE";2648
"110010 GUAJARA-MIRIM";4582
"110011 JARU";4630
"110012 JI-PARANA";10601
"110013 MACHADINHO D'OESTE";3485
"110014 NOVA BRASILANDIA D'OESTE";1729
"110015 OURO PRETO DO OESTE";3092
"110018 PIMENTA BUENO";3147
"110020 PORTO VELHO";42940
"110025 PRESIDENTE MEDICI";1669
"110026 RIO CRESPO";312
"110028 ROLIM DE MOURA";4565
"110029 SANTA LUZIA D'OESTE";560
"110030 VILHENA";7851
"110032 SAO MIGUEL DO GUAPORE";2069
"110033 NOVA MAMORE";2836
"110034 ALVORADA D'OESTE";1328
"110037 ALTO ALEGRE DOS PARECIS";1264
"110040 ALTO PARAISO";1880
"110045 BURITIS";3634
"110050 NOVO HORIZONTE DO OESTE";729
"110060 CACAULANDIA";564
"110070 CAMPO NOVO DE RONDONIA";1342
"110080 CANDEIAS DO JAMARI";2323
"110090 CASTANHEIRAS";259
"110092 CHUPINGUAIA";950
"110094 CUJUBIM";2264
"110100 GOVERNADOR JORGE TEIXEIRA";811
"110110 ITAPUA DO OESTE";864
"110120 MINISTRO ANDREAZZA";902
"110130 MIRANTE DA SERRA";1080
"110140 MONTE NEGRO";1465
"110143 NOVA UNIAO";644
"110145 PARECIS";503
"110146 PIMENTEIRAS DO OESTE";197
"110147 PRIMAVERA DE RONDONIA";261
"110148 SAO FELIPE D'OESTE";425
"110149 SAO FRANCISCO DO GUAPORE";1758
"110150 SERINGUEIRAS";1155
"110155 TEIXEIROPOLIS";363
"110160 THEOBROMA";930
"110170 URUPA";1040
"110175 VALE DO ANARI";949
"110180 VALE DO PARAISO";610
"120001 ACRELANDIA";1492
"120005 ASSIS BRASIL";779
"120010 BRASILEIA";2638
"120013 BUJARI";1045
"120017 CAPIXABA";1206
"120020 CRUZEIRO DO SUL";10220
"120025 EPITACIOLANDIA";1832
"120030 FEIJO";4466
"120032 JORDAO";1126
"120033 MANCIO LIMA";2061
"120034 MANOEL URBANO";1109
"120035 MARECHAL THAUMATURGO";2453
"120038 PLACIDO DE CASTRO";2113
"120039 PORTO WALTER";1556
"120040 RIO BRANCO";39076
"120042 RODRIGUES ALVES";2387
"120043 SANTA ROSA DO PURUS";817
"120045 SENADOR GUIOMARD";2401
"120050 SENA MADUREIRA";5052
"120060 TARAUACA";5347
"120070 XAPURI";1996
"120080 PORTO ACRE";1923
"130002 ALVARAES";1958
"130006 AMATURA";1096
"130008 ANAMA";1388
"130010 ANORI";2089
"130014 APUI";1822
"130020 ATALAIA DO NORTE";2012
"130030 AUTAZES";4033
"130040 BARCELOS";2702
"130050 BARREIRINHA";3658
"130060 BENJAMIN CONSTANT";4578
"130063 BERURI";2296
"130068 BOA VISTA DO RAMOS";2108
"130070 BOCA DO ACRE";3480
"130080 BORBA";4251
"130083 CAAPIRANGA";1343
"130090 CANUTAMA";1420
"130100 CARAUARI";3190
"130110 CAREIRO";3732
"130115 CAREIRO DA VARZEA";2653
"130120 COARI";9064
"130130 CODAJAS";3101
"130140 EIRUNEPE";3864
"130150 ENVIRA";2168
"130160 FONTE BOA";2243
"130165 GUAJARA";1922
"130170 HUMAITA";5406
"130180 IPIXUNA";3264
"130185 IRANDUBA";4974
"130190 ITACOATIARA";9975
"130195 ITAMARATI";918
"130200 ITAPIRANGA";952
"130210 JAPURA";551
"130220 JURUA";1661
"130230 JUTAI";1866
"130240 LABREA";4799
"130250 MANACAPURU";10178
"130255 MANAQUIRI";3167
"130260 MANAUS";182397
"130270 MANICORE";5591
"130280 MARAA";2275
"130290 MAUES";6683
