 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 20 a 29 anos
Período:2004
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2320
"110002 ARIQUEMES";7974
"110003 CABIXI";596
"110004 CACOAL";7354
"110005 CEREJEIRAS";1611
"110006 COLORADO DO OESTE";1911
"110007 CORUMBIARA";863
"110008 COSTA MARQUES";984
"110009 ESPIGAO D'OESTE";2644
"110010 GUAJARA-MIRIM";3763
"110011 JARU";5378
"110012 JI-PARANA";11100
"110013 MACHADINHO D'OESTE";2421
"110014 NOVA BRASILANDIA D'OESTE";1830
"110015 OURO PRETO DO OESTE";3856
"110018 PIMENTA BUENO";3140
"110020 PORTO VELHO";37626
"110025 PRESIDENTE MEDICI";2263
"110026 RIO CRESPO";270
"110028 ROLIM DE MOURA";4790
"110029 SANTA LUZIA D'OESTE";949
"110030 VILHENA";6253
"110032 SAO MIGUEL DO GUAPORE";1984
"110033 NOVA MAMORE";1796
"110034 ALVORADA D'OESTE";1757
"110037 ALTO ALEGRE DOS PARECIS";1148
"110040 ALTO PARAISO";1310
"110045 BURITIS";2803
"110050 NOVO HORIZONTE DO OESTE";1064
"110060 CACAULANDIA";507
"110070 CAMPO NOVO DE RONDONIA";1083
"110080 CANDEIAS DO JAMARI";1417
"110090 CASTANHEIRAS";331
"110092 CHUPINGUAIA";603
"110094 CUJUBIM";1022
"110100 GOVERNADOR JORGE TEIXEIRA";1080
"110110 ITAPUA DO OESTE";638
"110120 MINISTRO ANDREAZZA";1004
"110130 MIRANTE DA SERRA";1170
"110140 MONTE NEGRO";1238
"110143 NOVA UNIAO";739
"110145 PARECIS";349
"110146 PIMENTEIRAS DO OESTE";223
"110147 PRIMAVERA DE RONDONIA";347
"110148 SAO FELIPE D'OESTE";620
"110149 SAO FRANCISCO DO GUAPORE";1248
"110150 SERINGUEIRAS";1039
"110155 TEIXEIROPOLIS";471
"110160 THEOBROMA";1021
"110170 URUPA";1307
"110175 VALE DO ANARI";741
"110180 VALE DO PARAISO";841
"120001 ACRELANDIA";911
"120005 ASSIS BRASIL";456
"120010 BRASILEIA";1632
"120013 BUJARI";605
"120017 CAPIXABA";501
"120020 CRUZEIRO DO SUL";7185
"120025 EPITACIOLANDIA";1201
"120030 FEIJO";2725
"120032 JORDAO";400
"120033 MANCIO LIMA";1119
"120034 MANOEL URBANO";608
"120035 MARECHAL THAUMATURGO";847
"120038 PLACIDO DE CASTRO";1345
"120039 PORTO WALTER";562
"120040 RIO BRANCO";30578
"120042 RODRIGUES ALVES";953
"120043 SANTA ROSA DO PURUS";242
"120045 SENADOR GUIOMARD";1664
"120050 SENA MADUREIRA";3031
"120060 TARAUACA";2556
"120070 XAPURI";1192
"120080 PORTO ACRE";1024
"130002 ALVARAES";1037
"130006 AMATURA";709
"130008 ANAMA";692
"130010 ANORI";1191
"130014 APUI";1377
"130020 ATALAIA DO NORTE";1016
"130030 AUTAZES";2242
"130040 BARCELOS";2050
"130050 BARREIRINHA";1842
"130060 BENJAMIN CONSTANT";2283
"130063 BERURI";1047
"130068 BOA VISTA DO RAMOS";989
"130070 BOCA DO ACRE";2586
"130080 BORBA";2614
"130083 CAAPIRANGA";832
"130090 CANUTAMA";1107
"130100 CARAUARI";2125
"130110 CAREIRO";2803
"130115 CAREIRO DA VARZEA";1749
"130120 COARI";6615
"130130 CODAJAS";1747
"130140 EIRUNEPE";2423
"130150 ENVIRA";1288
"130160 FONTE BOA";2297
"130165 GUAJARA";1010
