 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 20 a 29 anos
Período:2018
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1920
"110002 ARIQUEMES";9748
"110003 CABIXI";400
"110004 CACOAL";7572
"110005 CEREJEIRAS";1431
"110006 COLORADO DO OESTE";1312
"110007 CORUMBIARA";656
"110008 COSTA MARQUES";1591
"110009 ESPIGAO D'OESTE";2750
"110010 GUAJARA-MIRIM";3942
"110011 JARU";4542
"110012 JI-PARANA";11197
"110013 MACHADINHO D'OESTE";3341
"110014 NOVA BRASILANDIA D'OESTE";1749
"110015 OURO PRETO DO OESTE";3124
"110018 PIMENTA BUENO";3191
"110020 PORTO VELHO";46768
"110025 PRESIDENTE MEDICI";1524
"110026 RIO CRESPO";308
"110028 ROLIM DE MOURA";4986
"110029 SANTA LUZIA D'OESTE";534
"110030 VILHENA";8954
"110032 SAO MIGUEL DO GUAPORE";2143
"110033 NOVA MAMORE";2549
"110034 ALVORADA D'OESTE";1199
"110037 ALTO ALEGRE DOS PARECIS";1112
"110040 ALTO PARAISO";1827
"110045 BURITIS";3505
"110050 NOVO HORIZONTE DO OESTE";691
"110060 CACAULANDIA";528
"110070 CAMPO NOVO DE RONDONIA";1154
"110080 CANDEIAS DO JAMARI";2338
"110090 CASTANHEIRAS";264
"110092 CHUPINGUAIA";984
"110094 CUJUBIM";2204
"110100 GOVERNADOR JORGE TEIXEIRA";664
"110110 ITAPUA DO OESTE";882
"110120 MINISTRO ANDREAZZA";891
"110130 MIRANTE DA SERRA";950
"110140 MONTE NEGRO";1313
"110143 NOVA UNIAO";590
"110145 PARECIS";480
"110146 PIMENTEIRAS DO OESTE";170
"110147 PRIMAVERA DE RONDONIA";231
"110148 SAO FELIPE D'OESTE";435
"110149 SAO FRANCISCO DO GUAPORE";1786
"110150 SERINGUEIRAS";1058
"110155 TEIXEIROPOLIS";352
"110160 THEOBROMA";814
"110170 URUPA";942
"110175 VALE DO ANARI";930
"110180 VALE DO PARAISO";600
