 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 20 a 29 anos
Período:2021
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";1766
"110002 ARIQUEMES";9984
"110003 CABIXI";363
"110004 CACOAL";7313
"110005 CEREJEIRAS";1313
"110006 COLORADO DO OESTE";1152
"110007 CORUMBIARA";595
"110008 COSTA MARQUES";1785
"110009 ESPIGAO D'OESTE";2752
"110010 GUAJARA-MIRIM";3988
"110011 JARU";4358
"110012 JI-PARANA";10855
"110013 MACHADINHO D'OESTE";3543
"110014 NOVA BRASILANDIA D'OESTE";1679
"110015 OURO PRETO DO OESTE";2897
"110018 PIMENTA BUENO";3129
"110020 PORTO VELHO";47521
"110025 PRESIDENTE MEDICI";1333
"110026 RIO CRESPO";321
"110028 ROLIM DE MOURA";4862
"110029 SANTA LUZIA D'OESTE";431
"110030 VILHENA";9316
"110032 SAO MIGUEL DO GUAPORE";2125
"110033 NOVA MAMORE";2772
"110034 ALVORADA D'OESTE";1073
"110037 ALTO ALEGRE DOS PARECIS";1107
"110040 ALTO PARAISO";1967
"110045 BURITIS";3657
"110050 NOVO HORIZONTE DO OESTE";619
"110060 CACAULANDIA";546
"110070 CAMPO NOVO DE RONDONIA";1193
"110080 CANDEIAS DO JAMARI";2550
"110090 CASTANHEIRAS";242
"110092 CHUPINGUAIA";1077
"110094 CUJUBIM";2567
"110100 GOVERNADOR JORGE TEIXEIRA";577
"110110 ITAPUA DO OESTE";930
"110120 MINISTRO ANDREAZZA";828
"110130 MIRANTE DA SERRA";905
"110140 MONTE NEGRO";1369
"110143 NOVA UNIAO";542
"110145 PARECIS";485
"110146 PIMENTEIRAS DO OESTE";167
"110147 PRIMAVERA DE RONDONIA";225
"110148 SAO FELIPE D'OESTE";401
"110149 SAO FRANCISCO DO GUAPORE";1893
"110150 SERINGUEIRAS";1041
"110155 TEIXEIROPOLIS";325
"110160 THEOBROMA";797
"110170 URUPA";825
"110175 VALE DO ANARI";967
"110180 VALE DO PARAISO";543
"120001 ACRELANDIA";1527
"120005 ASSIS BRASIL";693
"120010 BRASILEIA";2499
"120013 BUJARI";932
"120017 CAPIXABA";1277
"120020 CRUZEIRO DO SUL";8277
"120025 EPITACIOLANDIA";1812
"120030 FEIJO";2989
"120032 JORDAO";788
"120033 MANCIO LIMA";1767
"120034 MANOEL URBANO";818
"120035 MARECHAL THAUMATURGO";1727
"120038 PLACIDO DE CASTRO";1720
"120039 PORTO WALTER";1077
"120040 RIO BRANCO";39116
"120042 RODRIGUES ALVES";1895
"120043 SANTA ROSA DO PURUS";665
"120045 SENADOR GUIOMARD";2091
"120050 SENA MADUREIRA";4335
"120060 TARAUACA";3789
"120070 XAPURI";1835
"120080 PORTO ACRE";1705
"130002 ALVARAES";1419
"130006 AMATURA";1168
"130008 ANAMA";1325
"130010 ANORI";2208
"130014 APUI";2344
"130020 ATALAIA DO NORTE";2052
"130030 AUTAZES";3448
"130040 BARCELOS";2704
"130050 BARREIRINHA";2889
"130060 BENJAMIN CONSTANT";3786
"130063 BERURI";1718
"130068 BOA VISTA DO RAMOS";1817
"130070 BOCA DO ACRE";3065
"130080 BORBA";3779
"130083 CAAPIRANGA";1222
"130090 CANUTAMA";1318
"130100 CARAUARI";2691
"130110 CAREIRO";3637
"130115 CAREIRO DA VARZEA";2721
"130120 COARI";8000
"130130 CODAJAS";2983
"130140 EIRUNEPE";3198
"130150 ENVIRA";1901
"130160 FONTE BOA";1387
"130165 GUAJARA";1565
"130170 HUMAITA";5361
"130180 IPIXUNA";2693
"130185 IRANDUBA";4215
"130190 ITACOATIARA";9273
"130195 ITAMARATI";728
"130200 ITAPIRANGA";826
"130210 JAPURA";148
"130220 JURUA";1478
"130230 JUTAI";1092
"130240 LABREA";4273
"130250 MANACAPURU";9223
"130255 MANAQUIRI";3197
"130260 MANAUS";209028
"130270 MANICORE";5478
"130280 MARAA";1646
"130290 MAUES";5743
"130300 NHAMUNDA";1935
"130310 NOVA OLINDA DO NORTE";3678
"130320 NOVO AIRAO";1756
"130330 NOVO ARIPUANA";2443
"130340 PARINTINS";10545
"130350 PAUINI";1680
"130353 PRESIDENTE FIGUEIREDO";3696
"130356 RIO PRETO DA EVA";3014
"130360 SANTA ISABEL DO RIO NEGRO";2212
"130370 SANTO ANTONIO DO ICA";2028
"130380 SAO GABRIEL DA CACHOEIRA";4224
"130390 SAO PAULO DE OLIVENCA";3746
"130395 SAO SEBASTIAO DO UATUMA";1322
"130400 SILVES";758
"130406 TABATINGA";6238
"130410 TAPAUA";1438
"130420 TEFE";5224
"130423 TONANTINS";1827
"130426 UARINI";1257
"130430 URUCARA";1384
