 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 20 a 29 anos
Período:2015
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2061
"110002 ARIQUEMES";9468
"110003 CABIXI";428
"110004 CACOAL";7778
"110005 CEREJEIRAS";1520
"110006 COLORADO DO OESTE";1474
"110007 CORUMBIARA";691
"110008 COSTA MARQUES";1359
"110009 ESPIGAO D'OESTE";2732
"110010 GUAJARA-MIRIM";3852
"110011 JARU";4732
"110012 JI-PARANA";11526
"110013 MACHADINHO D'OESTE";3053
"110014 NOVA BRASILANDIA D'OESTE";1780
"110015 OURO PRETO DO OESTE";3358
"110018 PIMENTA BUENO";3241
"110020 PORTO VELHO";46132
"110025 PRESIDENTE MEDICI";1709
"110026 RIO CRESPO";286
"110028 ROLIM DE MOURA";5108
"110029 SANTA LUZIA D'OESTE";630
"110030 VILHENA";8556
"110032 SAO MIGUEL DO GUAPORE";2098
"110033 NOVA MAMORE";2284
"110034 ALVORADA D'OESTE";1322
"110037 ALTO ALEGRE DOS PARECIS";1109
"110040 ALTO PARAISO";1633
"110045 BURITIS";3308
"110050 NOVO HORIZONTE DO OESTE";739
"110060 CACAULANDIA";504
"110070 CAMPO NOVO DE RONDONIA";1093
"110080 CANDEIAS DO JAMARI";2079
"110090 CASTANHEIRAS";279
"110092 CHUPINGUAIA";874
"110094 CUJUBIM";1810
"110100 GOVERNADOR JORGE TEIXEIRA";757
"110110 ITAPUA DO OESTE";802
"110120 MINISTRO ANDREAZZA";936
"110130 MIRANTE DA SERRA";979
"110140 MONTE NEGRO";1228
"110143 NOVA UNIAO";616
"110145 PARECIS";477
"110146 PIMENTEIRAS DO OESTE";172
"110147 PRIMAVERA DE RONDONIA";230
"110148 SAO FELIPE D'OESTE";460
"110149 SAO FRANCISCO DO GUAPORE";1638
"110150 SERINGUEIRAS";1046
"110155 TEIXEIROPOLIS";369
"110160 THEOBROMA";806
"110170 URUPA";1065
"110175 VALE DO ANARI";862
"110180 VALE DO PARAISO";647
"120001 ACRELANDIA";1198
"120005 ASSIS BRASIL";613
"120010 BRASILEIA";2192
"120013 BUJARI";798
"120017 CAPIXABA";859
"120020 CRUZEIRO DO SUL";7752
"120025 EPITACIOLANDIA";1561
"120030 FEIJO";2744
"120032 JORDAO";599
"120033 MANCIO LIMA";1474
"120034 MANOEL URBANO";710
"120035 MARECHAL THAUMATURGO";1327
"120038 PLACIDO DE CASTRO";1449
"120039 PORTO WALTER";764
"120040 RIO BRANCO";36162
"120042 RODRIGUES ALVES";1364
"120043 SANTA ROSA DO PURUS";501
"120045 SENADOR GUIOMARD";1856
"120050 SENA MADUREIRA";3890
"120060 TARAUACA";3237
"120070 XAPURI";1542
"120080 PORTO ACRE";1413
"130002 ALVARAES";1261
"130006 AMATURA";1040
"130008 ANAMA";1090
"130010 ANORI";1765
"130014 APUI";2008
"130020 ATALAIA DO NORTE";1817
"130030 AUTAZES";2931
"130040 BARCELOS";2633
"130050 BARREIRINHA";2332
"130060 BENJAMIN CONSTANT";3524
"130063 BERURI";1390
"130068 BOA VISTA DO RAMOS";1436
"130070 BOCA DO ACRE";2775
"130080 BORBA";3406
"130083 CAAPIRANGA";1067
"130090 CANUTAMA";1253
"130100 CARAUARI";2401
"130110 CAREIRO";3093
"130115 CAREIRO DA VARZEA";2398
"130120 COARI";8051
"130130 CODAJAS";2641
"130140 EIRUNEPE";3030
"130150 ENVIRA";1614
"130160 FONTE BOA";1761
"130165 GUAJARA";1383
"130170 HUMAITA";4714
"130180 IPIXUNA";2232
"130185 IRANDUBA";3739
"130190 ITACOATIARA";8286
"130195 ITAMARATI";671
"130200 ITAPIRANGA";791
"130210 JAPURA";419
"130220 JURUA";1176
"130230 JUTAI";1306
"130240 LABREA";3766
"130250 MANACAPURU";8452
"130255 MANAQUIRI";2525
"130260 MANAUS";193735
"130270 MANICORE";4821
"130280 MARAA";1550
"130290 MAUES";4902
"130300 NHAMUNDA";1695
"130310 NOVA OLINDA DO NORTE";3327
"130320 NOVO AIRAO";1560
"130330 NOVO ARIPUANA";2176
"130340 PARINTINS";9701
"130350 PAUINI";1590
"130353 PRESIDENTE FIGUEIREDO";2776
"130356 RIO PRETO DA EVA";2723
"130360 SANTA ISABEL DO RIO NEGRO";1827
"130370 SANTO ANTONIO DO ICA";2172
"130380 SAO GABRIEL DA CACHOEIRA";3508
"130390 SAO PAULO DE OLIVENCA";3186
"130395 SAO SEBASTIAO DO UATUMA";1104
"130400 SILVES";693
"130406 TABATINGA";5675
"130410 TAPAUA";1611
"130420 TEFE";5422
"130423 TONANTINS";1705
"130426 UARINI";1148
"130430 URUCARA";1367
"130440 URUCURITUBA";1960
"140002 AMAJARI";777
"140005 ALTO ALEGRE";1111
"140010 BOA VISTA";32344
"140015 BONFIM";813
"140017 CANTA";1147
"140020 CARACARAI";1729
"140023 CAROEBE";802
"140028 IRACEMA";927
"140030 MUCAJAI";1395
"140040 NORMANDIA";744
"140045 PACARAIMA";1022
"140047 RORAINOPOLIS";2520
"140050 SAO JOAO DA BALIZA";699
"140060 SAO LUIZ";763
"140070 UIRAMUTA";714
"150010 ABAETETUBA";15044
"150013 ABEL FIGUEIREDO";605
"150020 ACARA";4839
"150030 AFUA";3179
"150034 AGUA AZUL DO NORTE";2622
"150040 ALENQUER";4554
"150050 ALMEIRIM";3066
"150060 ALTAMIRA";10094
"150070 ANAJAS";2377
"150080 ANANINDEUA";48801
"150085 ANAPU";2255
"150090 AUGUSTO CORREA";3779
"150095 AURORA DO PARA";2884
"150100 AVEIRO";1259
"150110 BAGRE";2630
"150120 BAIAO";3894
"150125 BANNACH";237
"150130 BARCARENA";11308
"150140 BELEM";131913
"150145 BELTERRA";1384
"150150 BENEVIDES";5448
"150157 BOM JESUS DO TOCANTINS";1344
"150160 BONITO";1459
"150170 BRAGANCA";11564
"150172 BRASIL NOVO";1279
"150175 BREJO GRANDE DO ARAGUAIA";659
"150178 BREU BRANCO";5784
"150180 BREVES";8434
"150190 BUJARU";2442
"150195 CACHOEIRA DO PIRIA";2775
"150200 CACHOEIRA DO ARARI";2015
"150210 CAMETA";12404
