 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 20 a 29 anos
Período:2010
"Município";"População_residente"
"110001 ALTA FLORESTA D'OESTE";2162
"110002 ARIQUEMES";8933
"110003 CABIXI";501
"110004 CACOAL";7636
"110005 CEREJEIRAS";1546
"110006 COLORADO DO OESTE";1711
"110007 CORUMBIARA";694
"110008 COSTA MARQUES";1176
"110009 ESPIGAO D'OESTE";2704
"110010 GUAJARA-MIRIM";3679
"110011 JARU";5128
"110012 JI-PARANA";11675
"110013 MACHADINHO D'OESTE";2702
"110014 NOVA BRASILANDIA D'OESTE";1684
"110015 OURO PRETO DO OESTE";3673
"110018 PIMENTA BUENO";3241
"110020 PORTO VELHO";44477
"110025 PRESIDENTE MEDICI";1885
"110026 RIO CRESPO";282
"110028 ROLIM DE MOURA";5176
"110029 SANTA LUZIA D'OESTE";726
"110030 VILHENA";7712
"110032 SAO MIGUEL DO GUAPORE";1976
"110033 NOVA MAMORE";1993
"110034 ALVORADA D'OESTE";1414
"110037 ALTO ALEGRE DOS PARECIS";1075
"110040 ALTO PARAISO";1379
"110045 BURITIS";3073
"110050 NOVO HORIZONTE DO OESTE";822
"110060 CACAULANDIA";489
"110070 CAMPO NOVO DE RONDONIA";1027
"110080 CANDEIAS DO JAMARI";1788
"110090 CASTANHEIRAS";270
"110092 CHUPINGUAIA";758
"110094 CUJUBIM";1403
"110100 GOVERNADOR JORGE TEIXEIRA";839
"110110 ITAPUA DO OESTE";672
"110120 MINISTRO ANDREAZZA";883
"110130 MIRANTE DA SERRA";1043
"110140 MONTE NEGRO";1210
"110143 NOVA UNIAO";598
"110145 PARECIS";434
"110146 PIMENTEIRAS DO OESTE";180
"110147 PRIMAVERA DE RONDONIA";262
"110148 SAO FELIPE D'OESTE";503
"110149 SAO FRANCISCO DO GUAPORE";1385
"110150 SERINGUEIRAS";970
"110155 TEIXEIROPOLIS";371
"110160 THEOBROMA";817
"110170 URUPA";1176
"110175 VALE DO ANARI";777
"110180 VALE DO PARAISO";697
"120001 ACRELANDIA";1020
"120005 ASSIS BRASIL";544
"120010 BRASILEIA";1924
"120013 BUJARI";717
"120017 CAPIXABA";636
"120020 CRUZEIRO DO SUL";7580
"120025 EPITACIOLANDIA";1432
"120030 FEIJO";2717
"120032 JORDAO";509
"120033 MANCIO LIMA";1356
"120034 MANOEL URBANO";654
"120035 MARECHAL THAUMATURGO";1163
"120038 PLACIDO DE CASTRO";1339
"120039 PORTO WALTER";683
"120040 RIO BRANCO";35505
"120042 RODRIGUES ALVES";1182
"120043 SANTA ROSA DO PURUS";412
"120045 SENADOR GUIOMARD";1767
"120050 SENA MADUREIRA";3538
"120060 TARAUACA";2875
"120070 XAPURI";1322
"120080 PORTO ACRE";1202
"130002 ALVARAES";1086
"130006 AMATURA";870
"130008 ANAMA";882
"130010 ANORI";1404
"130014 APUI";1838
"130020 ATALAIA DO NORTE";1438
"130030 AUTAZES";2448
"130040 BARCELOS";2545
"130050 BARREIRINHA";1878
"130060 BENJAMIN CONSTANT";2913
"130063 BERURI";1173
"130068 BOA VISTA DO RAMOS";1167
"130070 BOCA DO ACRE";2543
"130080 BORBA";2981
"130083 CAAPIRANGA";945
"130090 CANUTAMA";1197
"130100 CARAUARI";2128
"130110 CAREIRO";2838
"130115 CAREIRO DA VARZEA";1857
"130120 COARI";7480
"130130 CODAJAS";2103
"130140 EIRUNEPE";2560
"130150 ENVIRA";1410
"130160 FONTE BOA";2061
"130165 GUAJARA";1140
"130170 HUMAITA";4073
"130180 IPIXUNA";1933
"130185 IRANDUBA";3404
"130190 ITACOATIARA";7440
"130195 ITAMARATI";735
"130200 ITAPIRANGA";675
"130210 JAPURA";675
"130220 JURUA";919
"130230 JUTAI";1478
"130240 LABREA";3266
"130250 MANACAPURU";7610
"130255 MANAQUIRI";1996
"130260 MANAUS";190364
"130270 MANICORE";4039
"130280 MARAA";1559
"130290 MAUES";4140
"130300 NHAMUNDA";1431
"130310 NOVA OLINDA DO NORTE";2768
"130320 NOVO AIRAO";1318
"130330 NOVO ARIPUANA";1877
"130340 PARINTINS";8625
"130350 PAUINI";1669
"130353 PRESIDENTE FIGUEIREDO";2318
"130356 RIO PRETO DA EVA";2576
"130360 SANTA ISABEL DO RIO NEGRO";1381
"130370 SANTO ANTONIO DO ICA";2098
"130380 SAO GABRIEL DA CACHOEIRA";3055
"130390 SAO PAULO DE OLIVENCA";2688
"130395 SAO SEBASTIAO DO UATUMA";900
"130400 SILVES";570
"130406 TABATINGA";4884
"130410 TAPAUA";1648
"130420 TEFE";5567
"130423 TONANTINS";1463
"130426 UARINI";1032
"130430 URUCARA";1264
"130440 URUCURITUBA";1466
"140002 AMAJARI";682
"140005 ALTO ALEGRE";1208
"140010 BOA VISTA";30749
"140015 BONFIM";752
"140017 CANTA";886
"140020 CARACARAI";1486
"140023 CAROEBE";709
"140028 IRACEMA";749
"140030 MUCAJAI";1231
"140040 NORMANDIA";635
"140045 PACARAIMA";815
"140047 RORAINOPOLIS";2252
"140050 SAO JOAO DA BALIZA";665
"140060 SAO LUIZ";704
"140070 UIRAMUTA";587
"150010 ABAETETUBA";13965
"150013 ABEL FIGUEIREDO";626
"150020 ACARA";4608
"150030 AFUA";2805
"150034 AGUA AZUL DO NORTE";2684
"150040 ALENQUER";4016
"150050 ALMEIRIM";2925
"150060 ALTAMIRA";9836
"150070 ANAJAS";2086
"150080 ANANINDEUA";50491
"150085 ANAPU";1831
"150090 AUGUSTO CORREA";3353
"150095 AURORA DO PARA";2607
"150100 AVEIRO";1159
"150110 BAGRE";2144
"150120 BAIAO";3421
"150125 BANNACH";291
"150130 BARCARENA";10299
"150140 BELEM";145519
"150145 BELTERRA";1248
"150150 BENEVIDES";5126
"150157 BOM JESUS DO TOCANTINS";1382
"150160 BONITO";1345
"150170 BRAGANCA";11058
"150172 BRASIL NOVO";1326
"150175 BREJO GRANDE DO ARAGUAIA";626
"150178 BREU BRANCO";4980
"150180 BREVES";7596
"150190 BUJARU";2117
"150195 CACHOEIRA DO PIRIA";2500
"150200 CACHOEIRA DO ARARI";1860
"150210 CAMETA";11091
"150215 CANAA DOS CARAJAS";2888
"150220 CAPANEMA";6159
"150230 CAPITAO POCO";4685
"150240 CASTANHAL";18436
"150250 CHAVES";1645
"150260 COLARES";955
"150270 CONCEICAO DO ARAGUAIA";3786
"150275 CONCORDIA DO PARA";2713
"150276 CUMARU DO NORTE";875
"150277 CURIONOPOLIS";1534
"150280 CURRALINHO";2317
"150285 CURUA";972
"150290 CURUCA";2861
"150293 DOM ELISEU";5124
"150295 ELDORADO DOS CARAJAS";2757
"150300 FARO";645
"150304 FLORESTA DO ARAGUAIA";1475
"150307 GARRAFAO DO NORTE";2147
"150309 GOIANESIA DO PARA";3551
"150310 GURUPA";2386
"150320 IGARAPE-ACU";3324
"150330 IGARAPE-MIRI";5523
"150340 INHANGAPI";953
"150345 IPIXUNA DO PARA";4983
"150350 IRITUIA";2615
"150360 ITAITUBA";9419
"150370 ITUPIRANGA";4563
"150375 JACAREACANGA";1217
"150380 JACUNDA";5484
"150390 JURUTI";4067
"150400 LIMOEIRO DO AJURU";2147
"150405 MAE DO RIO";2712
"150410 MAGALHAES BARATA";653
"150420 MARABA";24808
"150430 MARACANA";2161
"150440 MARAPANIM";2075
"150442 MARITUBA";11865
"150445 MEDICILANDIA";2401
"150450 MELGACO";2064
"150460 MOCAJUBA";2293
"150470 MOJU";6238
"150475 MOJUI DOS CAMPOS";1188
"150480 MONTE ALEGRE";4415
"150490 MUANA";3093
"150495 NOVA ESPERANCA DO PIRIA";1793
"150497 NOVA IPIXUNA";1250
"150500 NOVA TIMBOTEUA";1234
"150503 NOVO PROGRESSO";2275
"150506 NOVO REPARTIMENTO";5583
"150510 OBIDOS";3995
"150520 OEIRAS DO PARA";2326
"150530 ORIXIMINA";5452
"150540 OUREM";1391
"150543 OURILANDIA DO NORTE";2803
"150548 PACAJA";3447
"150549 PALESTINA DO PARA";648
"150550 PARAGOMINAS";10633
"150553 PARAUAPEBAS";18761
"150555 PAU D'ARCO";491
"150560 PEIXE-BOI";683
"150563 PICARRA";1070
"150565 PLACAS";2333
"150570 PONTA DE PEDRAS";2359
"150580 PORTEL";4396
"150590 PORTO DE MOZ";2961
"150600 PRAINHA";2285
"150610 PRIMAVERA";844
"150611 QUATIPURU";1020
"150613 REDENCAO";7225
"150616 RIO MARIA";1639
"150618 RONDON DO PARA";4527
"150619 RUROPOLIS";3691
"150620 SALINOPOLIS";3559
"150630 SALVATERRA";1719
"150635 SANTA BARBARA DO PARA";1597
"150640 SANTA CRUZ DO ARARI";777
"150650 SANTA IZABEL DO PARA";5681
"150655 SANTA LUZIA DO PARA";1800
"150658 SANTA MARIA DAS BARREIRAS";1280
"150660 SANTA MARIA DO PARA";2231
"150670 SANTANA DO ARAGUAIA";5707
"150680 SANTAREM";27266
"150690 SANTAREM NOVO";523
"150700 SANTO ANTONIO DO TAUA";2436
"150710 SAO CAETANO DE ODIVELAS";1425
"150715 SAO DOMINGOS DO ARAGUAIA";1975
"150720 SAO DOMINGOS DO CAPIM";2353
"150730 SAO FELIX DO XINGU";10095
"150740 SAO FRANCISCO DO PARA";1359
"150745 SAO GERALDO DO ARAGUAIA";2337
"150746 SAO JOAO DA PONTA";441
"150747 SAO JOAO DE PIRABAS";1703
"150750 SAO JOAO DO ARAGUAIA";1038
"150760 SAO MIGUEL DO GUAMA";4818
"150770 SAO SEBASTIAO DA BOA VISTA";2068
"150775 SAPUCAIA";446
"150780 SENADOR JOSE PORFIRIO";1061
"150790 SOURE";2076
"150795 TAILANDIA";9118
"150796 TERRA ALTA";833
"150797 TERRA SANTA";1483
"150800 TOME-ACU";5230
"150803 TRACUATEUA";2335
"150805 TRAIRAO";1709
"150808 TUCUMA";3336
"150810 TUCURUI";10125
"150812 ULIANOPOLIS";4679
"150815 URUARA";4411
"150820 VIGIA";4497
"150830 VISEU";4669
"150835 VITORIA DO XINGU";1313
"150840 XINGUARA";3988
"160005 SERRA DO NAVIO";394
"160010 AMAPA";688
"160015 PEDRA BRANCA DO AMAPARI";964
"160020 CALCOENE";753
"160021 CUTIAS";404
"160023 FERREIRA GOMES";442
"160025 ITAUBAL";323
"160027 LARANJAL DO JARI";3829
"160030 MACAPA";42623
"160040 MAZAGAO";1266
"160050 OIAPOQUE";1885
"160053 PORTO GRANDE";1445
"160055 PRACUUBA";321
"160060 SANTANA";10528
"160070 TARTARUGALZINHO";951
"160080 VITORIA DO JARI";1118
"170025 ABREULANDIA";203
"170030 AGUIARNOPOLIS";527
"170035 ALIANCA DO TOCANTINS";412
"170040 ALMAS";576
"170070 ALVORADA";730
"170100 ANANAS";843
"170105 ANGICO";246
"170110 APARECIDA DO RIO NEGRO";333
"170130 ARAGOMINAS";411
"170190 ARAGUACEMA";480
"170200 ARAGUACU";647
"170210 ARAGUAINA";16653
"170215 ARAGUANA";410
"170220 ARAGUATINS";2717
"170230 ARAPOEMA";550
"170240 ARRAIAS";815
"170255 AUGUSTINOPOLIS";1536
"170270 AURORA DO TOCANTINS";262
"170290 AXIXA DO TOCANTINS";813
"170300 BABACULANDIA";850
"170305 BANDEIRANTES DO TOCANTINS";265
"170307 BARRA DO OURO";312
"170310 BARROLANDIA";427
"170320 BERNARDO SAYAO";338
"170330 BOM JESUS DO TOCANTINS";325
"170360 BRASILANDIA DO TOCANTINS";170
"170370 BREJINHO DE NAZARE";422
"170380 BURITI DO TOCANTINS";968
"170382 CACHOEIRINHA";174
"170384 CAMPOS LINDOS";628
"170386 CARIRI DO TOCANTINS";285
"170388 CARMOLANDIA";187
"170389 CARRASCO BONITO";329
"170390 CASEARA";371
"170410 CENTENARIO";193
"170460 CHAPADA DE AREIA";96
"170510 CHAPADA DA NATIVIDADE";207
"170550 COLINAS DO TOCANTINS";2989
"170555 COMBINADO";424
"170560 CONCEICAO DO TOCANTINS";277
"170600 COUTO MAGALHAES";375
"170610 CRISTALANDIA";529
"170625 CRIXAS DO TOCANTINS";103
"170650 DARCINOPOLIS";416
"170700 DIANOPOLIS";1740
"170710 DIVINOPOLIS DO TOCANTINS";478
"170720 DOIS IRMAOS DO TOCANTINS";520
"170730 DUERE";372
"170740 ESPERANTINA";869
"170755 FATIMA";304
"170765 FIGUEIROPOLIS";417
"170770 FILADELFIA";612
"170820 FORMOSO DO ARAGUAIA";1461
"170825 FORTALEZA DO TABOCAO";196
"170830 GOIANORTE";360
"170900 GOIATINS";910
"170930 GUARAI";2140
"170950 GURUPI";7851
"170980 IPUEIRAS";151
"171050 ITACAJA";504
"171070 ITAGUATINS";479
"171090 ITAPIRATINS";240
"171110 ITAPORA DO TOCANTINS";190
"171150 JAU DO TOCANTINS";242
"171180 JUARINA";186
"171190 LAGOA DA CONFUSAO";856
"171195 LAGOA DO TOCANTINS";264
"171200 LAJEADO";239
"171215 LAVANDEIRA";125
"171240 LIZARDA";217
"171245 LUZINOPOLIS";232
"171250 MARIANOPOLIS DO TOCANTINS";350
"171270 MATEIROS";177
"171280 MAURILANDIA DO TOCANTINS";235
"171320 MIRACEMA DO TOCANTINS";1848
"171330 MIRANORTE";1041
"171360 MONTE DO CARMO";417
"171370 MONTE SANTO DO TOCANTINS";155
"171380 PALMEIRAS DO TOCANTINS";487
"171395 MURICILANDIA";234
"171420 NATIVIDADE";728
"171430 NAZARE";346
"171488 NOVA OLINDA";904
"171500 NOVA ROSALANDIA";259
"171510 NOVO ACORDO";280
"171515 NOVO ALEGRE";207
"171525 NOVO JARDIM";196
"171550 OLIVEIRA DE FATIMA";88
"171570 PALMEIRANTE";338
"171575 PALMEIROPOLIS";636
"171610 PARAISO DO TOCANTINS";4356
"171620 PARANA";790
"171630 PAU D'ARCO";348
"171650 PEDRO AFONSO";1113
"171660 PEIXE";755
"171665 PEQUIZEIRO";370
"171670 COLMEIA";667
"171700 PINDORAMA DO TOCANTINS";347
"171720 PIRAQUE";228
"171750 PIUM";529
"171780 PONTE ALTA DO BOM JESUS";280
"171790 PONTE ALTA DO TOCANTINS";544
"171800 PORTO ALEGRE DO TOCANTINS";222
"171820 PORTO NACIONAL";4769
"171830 PRAIA NORTE";636
"171840 PRESIDENTE KENNEDY";277
"171845 PUGMIL";180
"171850 RECURSOLANDIA";265
"171855 RIACHINHO";355
"171865 RIO DA CONCEICAO";148
"171870 RIO DOS BOIS";205
"171875 RIO SONO";410
"171880 SAMPAIO";322
"171884 SANDOLANDIA";261
"171886 SANTA FE DO ARAGUAIA";604
"171888 SANTA MARIA DO TOCANTINS";215
"171889 SANTA RITA DO TOCANTINS";158
"171890 SANTA ROSA DO TOCANTINS";322
"171900 SANTA TEREZA DO TOCANTINS";180
"172000 SANTA TEREZINHA DO TOCANTINS";214
"172010 SAO BENTO DO TOCANTINS";399
"172015 SAO FELIX DO TOCANTINS";92
"172020 SAO MIGUEL DO TOCANTINS";925
"172025 SAO SALVADOR DO TOCANTINS";250
"172030 SAO SEBASTIAO DO TOCANTINS";355
"172049 SAO VALERIO";287
"172065 SILVANOPOLIS";365
"172080 SITIO NOVO DO TOCANTINS";807
"172085 SUCUPIRA";140
"172090 TAGUATINGA";1206
"172093 TAIPAS DO TOCANTINS";155
"172097 TALISMA";206
"172100 PALMAS";27800
"172110 TOCANTINIA";549
"172120 TOCANTINOPOLIS";2104
"172125 TUPIRAMA";118
"172130 TUPIRATINS";134
"172208 WANDERLANDIA";990
"172210 XAMBIOA";1005
"210005 ACAILANDIA";10560
"210010 AFONSO CUNHA";502
"210015 AGUA DOCE DO MARANHAO";1052
"210020 ALCANTARA";1965
"210030 ALDEIAS ALTAS";2075
"210040 ALTAMIRA DO MARANHAO";669
"210043 ALTO ALEGRE DO MARANHAO";2521
"210047 ALTO ALEGRE DO PINDARE";2662
"210050 ALTO PARNAIBA";827
"210055 AMAPA DO MARANHAO";572
"210060 AMARANTE DO MARANHAO";3212
"210070 ANAJATUBA";2275
"210080 ANAPURUS";1329
"210083 APICUM-ACU";1413
"210087 ARAGUANA";1345
"210090 ARAIOSES";3708
"210095 ARAME";2798
"210100 ARARI";2755
"210110 AXIXA";1059
"210120 BACABAL";9817
"210125 BACABEIRA";1596
"210130 BACURI";1498
"210135 BACURITUBA";468
"210140 BALSAS";8834
"210150 BARAO DE GRAJAU";1741
"210160 BARRA DO CORDA";7257
"210170 BARREIRINHAS";5086
"210173 BELAGUA";535
"210177 BELA VISTA DO MARANHAO";971
"210180 BENEDITO LEITE";405
"210190 BEQUIMAO";1820
"210193 BERNARDO DO MEARIM";506
"210197 BOA VISTA DO GURUPI";609
"210200 BOM JARDIM";3365
"210203 BOM JESUS DAS SELVAS";2859
"210207 BOM LUGAR";1454
"210210 BREJO";3052
"210215 BREJO DE AREIA";889
"210220 BURITI";2219
"210230 BURITI BRAVO";1790
"210232 BURITICUPU";6204
"210235 BURITIRANA";1218
"210237 CACHOEIRA GRANDE";696
"210240 CAJAPIO";1006
"210250 CAJARI";1667
"210255 CAMPESTRE DO MARANHAO";1307
"210260 CANDIDO MENDES";1736
"210270 CANTANHEDE";1873
"210275 CAPINZAL DO NORTE";919
"210280 CAROLINA";1902
"210290 CARUTAPERA";2037
"210300 CAXIAS";14669
"210310 CEDRAL";896
"210312 CENTRAL DO MARANHAO";631
"210315 CENTRO DO GUILHERME";1109
